english,ekegusii
"County Governor of Kisii County Joash Maangi has stated that the road construction work will be completed soon and the remaining sections will be done properly, adding that Minto FM reports that Maangi said the project will be completed and the road construction will continue, and he also added that this road is very important for the residents of this area.","Omokonyi bwo Omogavana bwe Ecounty ya Kisii Joash Maangi otebire buna esegi mamicha yo obokurumi nigo eranyarekana ekero oboisati naboigo obweene bokobwateraniwa ase esegi eywoo,gokwana amo na minto fm nigo maangi atebire buna ekero siasa ekobwateriniwa no obokurumi nigo erabee akongu gokora embwaa eywooo ime ye ense."
"It has been reported that due to heavy rainfall, areas of Kisii and Nyamira Counties have been rendered impassable. These affected areas include roads which have become dangerous for travel, and bridges have collapsed making movement difficult.","Nigo egotwa botuko na mogaso. Embura, eyio yarentire etoigo enyinge ime ya Kisii na Nyamira Counties nigo egendererete gotwa ase obonge. Ase chinsemo chinyinge, ogoichora kw' amache kwagerire chinyomba chiaguure, n' ebimeri gosareka ase chindemero."
"Residents of Kinonga, West Mugirango, led by Anna Moraa, 95 years old, were left stranded after heavy rains destroyed their homes. The NTV crew in West Mugirango, in Nyamira County, reported this.","Aaria ase ekenyoro gia' Kinonga, West Mugirango, omongina Anna Moraa, 95 tabwati enyomba, nyuma y' embura enyinge n' amache koiyeria enyomba yaye. Igwa bono korwa NTV aaria West Mugirango, in Nyamira County."
Villagers are saying that the election was rigged because of the results announced by the electoral commission headed by Isaac Hassan. People are wondering why they were given results different from what they saw at the polling stations. The people of Bomachoge have rejected Omojumbe led by Joel Onyancha Omangwa claiming there was a lot of cheating. They say they understand how the results were manipulated by Omotienyi and Sita so that they could win.,Abakori emeremo be chikura baansire korikwa erinde bachie gokora egasi ya okobara chikura ase Bomachoge ekero chikura chigocha goakwa. E Nation nigo egoteba inga omoteneneri bwe chikura Issack Hassan otebire bo. Abaaki chikura naende goika berike ase obuya erinde bamanye goaka chikura echio. Bomachoge tiyanya gotwara Omojumbe gesa Joel Onyancha Omagwa abuwa ekina ase ekoti enene. Bari batagete egasi ya okobara chikura imbabwate impaka chitariki isano Omotienyi o Sita erinde berike.
The truth about this matter is: Report in Nation,Magokoro ingoaka are ekura yaye:Korwa e Nation
The tourism sector has lost approximately 80 billion shillings due to the Covid-19 pandemic.,Esekta yobotali nigo yasiria chibilion 80 kobwatekana noborwaire bwa covid 19
The tourism sector has lost approximately 80 billion shillings due to the Covid-19 pandemic.,esekta yobotali nigo yasiria chibilion 80 kobwatekana noborwaire bwa covid 19
"Also, Tourism and Wildlife Cabinet Secretary Najib Balala said that about two million people in the tourism sector could lose their jobs because of the pandemic.",ayio noreng’na nomowaziri bwobotali Najib Balala oyio otebire buna abanto goeani chimilion 2 abwo konyora bagokora emeremo ase esekta yobotali nigo basiria emeremo yabo kobwatekana noborwaire obwo
Balala also said that Kenya is working to ensure that tourists do not travel more than once a year.,balala nigo atebire buna kenya nabo erachi kobaaregania abatali korwa omotienyi o 1 bwomwaka ogocha
"Bomachoge is a renowned elder. It has been reported that this elder Joel Onyancha retired and returned home. This retirement occurred in 2007, and many people were saddened. However, this elder intends to continue serving his community. The date of his return is being awaited by those who support the elder and have not given up. Hopefully, those supporters will be rewarded, Bomachoge is a renowned elder. So let us unite.","Bomachoge tebwati omogambi. Nigo kiabete inga oyo orenge omogambi Joel Onyancha tairete chikura buya. Ekero chikura chiaagetwe omwaka 2007, amagosa narenge aroro. Bono chikura naende goika chiaakwe buya. Chitariki chia ogoaka chikura tichirabekwa ase engencho abateneneri be chikura batarachorwa. Imbaka abateneneri bachoririrwe, Bomachoge tebwati omogambi.Bono tiga toganye."
This matter concerns the elder of Bomachoge Joel Onyancha.,Oyo okabeire omogambi o Bomachoge Joel Onyancha
Minto FM: The Advocates Complaints Commission has issued a warning regarding complaints about advocates.,Minto FM: Ensemo Ye’abisi Ya Advocates Complaints Commission Ase Esegi Mamincha Yo’bokurumi
"It has been noted that some advocates are failing to respond to clients' concerns and are neglecting their duties (lawyers), which affects their practice. Furthermore, some lawyers are not properly handling client funds and are exploiting their clients, leading to dissatisfaction with the services provided. Tom Ombori Momanyi was appointed to the Advocates Complaints Commission to investigate and address these issues concerning advocates.","Chingaki ebina bikogambwa nonya mbiria bi’obokurumi omoteja nigo akorigia omwegereri (Omowakili) erio komogambera ekina. Nonya nabo abawakili mbareo batari gokora buya na kobwatia richiko ase obokoreri bwabo, na kobakorera bobe abateja babo, naboigo abande babwateranigwa ne ebikorwa bi’ obokurumi. Tom Ombori Momanyi korwa abisi ya Advocates Complaints Commission ngotosemia are igoro ye ensemo yabo ase esegi mamincha yo’.bokurumi."
440 people were found to be infected with coronavirus today,440 abayia bakoenekigwa koambokerigwa ebinyinyi bia korona korwa igoro
today's figure shows 440 people were found to be infected with coronavirus today,ase ekero ekio ewizara yobochenu yaenekirie abanto 440 abayia bakoenekigwa koambokerigwa ebinyinyi bia korona korwa igoro
"there are now 3,197 total cases reported today","aya nmagega yabanto 3,197 gopimwa korwa igoro"
"however, some people have recovered from this disease and so far 285 cases have been discharged, 5 died due to the illness today",boigo baria bakure kobwatekana nendwari eyio nigo oikire abanto 285 magega yanato bande 5 gosiria amagima abo korwa igoro
today's figure also shows 90 people are currently on ventilators in intensive care units,ase ekero ekio abanto 90 baigire buna na kobwatokwa gochia ase chinsobo
"The Gusii people and their neighbors. The old woman who has been known to cause problems with land. With the arrival of mobile printers and digital cameras, the old woman is now being seen spreading rumors like wildfires in Kitutu Masaba.","Omogusii no omongaini. Omoaki chibicha oyo namanyete koroisia etongoro. Ase engencho ya mobile printers ne chikamera chia digital, omoaki chibicha oyo nigo arerorekana ase omoyeya bwe ebirero aaria Kitutu Masaba."
"She also stole the property of mourners, stealing Ks550 and a cooking pot. This and the Kenyan neighbor who knows her secret of obstructing the implementation of Vision 2030.","Nigo agoaka chibicha chia abareri, omanya kobachioneria goansera Ks550 na gochia igoro. Oyo no Omokenya omongaini omanyire enchera yaye yo ogocha goikerania Vision 2030."
Minto FM: Honorable Christopher Obure celebrates Mashujaa Day,Minto FM: Hon Christopher Obure gokwanera Mashujaa Day
Appreciations for the good work done is now being received by heroes of the Gusii people and their descendants during this year's event at Kisii Stadium. The county secretary and others have welcomed this initiative which aims to honor those who served well. The 'CAS Bw'obosombi and colleague Chris Obure celebrate the people of Gusii on Mashujaa Day 2020,Omoyega bwo ogochengera chimburu chiato nigo okoariganigwa ase riroba rialto ria Gusii ase entunde entang’ani kegima ime ya Kisii Stadium. Eserekari ye ecounty neria enene nigo chiabeire chikobwaterana ase oboamo koenekia buna rituko eri n’omoyega oyio ogweneire. Omo ‘CAS Bw’obosombi noboagachi Chris Obure gokwanera Omogusii igoro ya Mashujaa Day 2020
The rental of Nyamira is announced,Okoborwa oborendi Nyamira
Nyamira county residents should know that they have been directed to villages due to the outbreak of covid 19 and the government has started distributing food aid,Abamenyi bekaunti ya Nyamira anene mono ase baria bagendererete komigwa noborwaire bwa koft 19 baboririr eserekali gotuka ogokurumwa gwechibesa chiabwenerete korwania oborwaire obe
Those from Ting'a ward and Bosamaro sub-county residents have been informed that tomorrow there will be distribution of this aid and those who live far away should come closer,Bagokwana ase ensemo ya Ting’a ase ewadi ya Bosamaro abamenyi abwo nigo batebire buna nobosoku ekero chibesa chio chigendererete gotumekwa bobe ekero abaanchi bagendererete gochandeka
They have also been told by the government to pay attention to the announcement regarding travel to Nairobi and other areas,Boigo nigo baboriri eserekali gokeyia chisabari chiabanto korwa Nairobi gochia ase chinsemo chiamasamba
These are the results:,Aya amwabo aya:
"Caroline Nyakagwa from Keroka Technical Institute was number 1. She participated in the running competition which took place near Kebirigo, in Nyamira County, and Caroline won with her speed in the Gusii Road Race Championship. Also, Edwin Mokua, who is currently in form three at Sameta High School, was also number 1.","Caroline Nyakagwa korwa Keroka Technical Institute nere namba 1. Ase amaamereranio y' okominyoka ayio arenge aaria Kebirigo, ime ya Nyamira County, Caroline nigo atigara n' obobui bwaye bwa Gusii Road Race Championship. Ase abasacha, Edwin Mokua, oyio ore ase ekerasi gia form three aaria Sameta High School nere oba namba 1."
"Regarding the teams, runners and cyclists have been selected to compete in the marathon in Nairobi at the Nairobi Standard Chartered Marathon. The whole event was broadcast on NTV.","Korwa aaiga, ababui batato korwa ase abasacha amo na abasubati mbaariganiwe kogeda kominyoka aaria Nairobi ase Nairobi Standard Chartered Marathon. Igwa bono onsi korwa NTV"
MINTO FM: Female Genital Mutilation (FGM) Cases in the Gusii community have increased during the Covid-19 period.,MINTO FM: Ogosarwa Kwo’mwana Omoiseke (FGM) Ime ya Gusii chingaki echi chia Covid-19.
"Due to school closures, cases of child defilement in the Gusii region have risen significantly alongside the increase in teenage pregnancies due to children staying at home during the coronavirus pandemic.","Kobwatekana ne chiropoti chia bwango iga, Ogosarwa kwo omwana omonyaroka ime ya Gusii kwamentekanire mono anene mono chingaki echi chio oborwaire bwa COVID-19 abwo ase abana batari chisukuru kobwatekana no ogosiekwa kwabo chingaki echi chie endwari ya corona."
"Dr. Janet Komenda, a child psychology expert, has urged Gusii elders to come together and address this issue so that girls can protect their lives.",Dr. Janet Komenda oywo ore omomanyi bwa amang’ana ya abana ne-chisemi(Education psycology expert) nigo aboririe abaibori ba gusii koerusanania korwa ase embwa yo ogosara abaiseke ekiagera nigo bakobasareria obogima bwabo bwa ankio.
Kenya has recorded a large increase in people with coronavirus.,Kenya yaenekirie omobaro omonene bwabanto bare na korona
The whole of Kenya is therefore recording a large number because people are being found with symptoms of coronavirus due to this disease which is spreading throughout the country.,ense ya kenya rero yaenekirie omobaro omonene kegima yabanto bakoenekigwa gotwara ebinyinyi bia korona korwa oborwaire obwo bosoa ime yense
"Yesterday at Afya House, the CS for Health Mutahi Kagwe announced that 80 people have been found with coronavirus symptoms, bringing the total number of people tested to 3000.",kagokwana ase amaagcho a afya house omogso o rero omowaziri bwobochenu mutahi kagwe nigoa aenekirie buna abanto 80 nigo batogete benyinyi bia korona korwa igoro magega yabanto goetani 3000 gopimwa
This is why Kenyans are urged to continue following government directives to prevent the spread of this disease.,bono nigo aboriri abakenya kogenderera koerenda na koigwera amachiko eserekali ebegete erio gokonya gotanga okoambokerana kwoborwaire obwo
"Those involved in shootings in Tulsa are being investigated for allegedly killing one person and injuring another during a shooting on Saturday night, authorities said. A preliminary investigation revealed that the shooting occurred, according to Tulsa County Sheriff’s Capt. Billy McKelvey, and the victim was transported to the hospital where their condition is unknown and they were treated by doctors who tried to save them.","Omochakano bw’ ebirambauti aaria Tulsa nigo oichanirie abange buna oita omonto oyomo goika ekerengo ki’ ogokwa na gotigera abange chingoma chimbe.Rituko riatato nigo riachaka n’ omoichano omonene buna ,Tulsa County Sheriff’s Capt. Billy McKelvey agoteba, omonto oyio nigo arenge kogosoria ase egetii kere ang’e na mwaye eyio ere aare ase abanto bakomenya o bare abomobaro omoke."
"Investigators say several witnesses reported hearing gunshots near a bar, and evidence at the scene suggests a dispute may have led to the shooting, although the motive remains unclear.","Temanyekaneti buna mbarenga banyora chingoma ko nabo ekororekana chingaki chi’ ebirambauti chiabeire ang’e magega yogotarora nonya nekemo omotienyi omogima, amange nchera are."
These are their words:,Aya amwabo aya:
"Is Mwanyagetinge pondering something? Listen: If a person finds themselves in trouble, will they be able to overcome obstacles?","Egetandawili minto Mwanyagetinge? Tega: Kaa gento ki gekoagacha mwaye, korende tikebwati magoko?"
"I heard him pondering, but obstacles did not overwhelm him. Indeed, Google is this thing: Thinking about things that bother his heart...","Nigo akong'etie koagacha, ko n' magoko tabwati. Inee, Google ngo Omobayeno oyo: Egetinkinye ekeng'aini keagache enyomba yaye......."
"MESSAGE: A bird. A bird is caught with its feet. So the bird ponders its situation, struggles and tries, but this bird has no hands to help it! The bird considers the things that bother his heart, seeking advice from the leaders who were chosen by him.","RICHIBU: Enyoni. Enyoni n'egetogwa ki'ogokumia. Nigo enyoni ekoagacha egeswa kiaye, erinde kiaba na komenya, neba buna enyoni eye teri na maboko ekoagachera! Enyoni nigo egosomba ebinto biokoagacha enyomba yaye, goikera biaisana na magoko y'okobogoria yatongetwe naro."
"Someone who skillfully creates videos and uploads them to YouTube, please come forward. Very good. Yes indeed. My heart rejoices. Let us eat sweets together. Bananas and meat. Let people respect iron. Creators are important to the Abagusii community on YouTube and those with iron. Skilled creators. Soon we will see things happening on websites that can help a lot. They will show things that have been respected greatly. Videos bring hearts together and encourage people to consume sweets which are also respected like iron. Someone skilled should continue creating videos for another year, and come forward. Kenya is progressing.","Onye gotagete amangana amayia rakini amakoro ase Youtube, koranche genda Irongo. Imbuya mono. Eee bono. Magokoro okanire. Nigo ateba inga ebisukari. Amatoke amo ne chinkara. Bionsi bibekwe irongo. Amang'ana are muhimu ase Abagusii korwa Youtube nao are irongo. Amang'ana amakoro. Sokoro nigo atebete inga ewebusaiti eye yaansire koba siloo. Agateba inga ebinto binde bibekwe kiage. Rakini magokoro akamwebereria na komotebia inga tiga ebisukari ebio bibekwe irongo. Onye gotagete kororora amangana amayia abete omwaka oria, aye genda irongo. Kenya egenderere."
"Regarding the case, a hearing has been scheduled at the ICC and lawyers are preparing their arguments for the next session concerning case number P0727. In addition to the hearing, this case is not being handled well. Those supporting Ruto and Sang are alleging that this case is being deliberately delayed to prevent them from presenting evidence and all documents are being hidden during the ongoing investigations which are not being understood. It is alleged that this case is no longer important.","Ekeombe kia obosoeri aaria chinsemo chia ICC nigo bamogorerana rituko ria rero ase okogenderera kobora gwa kirori P0727. Koreng’ana na obosoeri, kirori oyio noyobengencho enene. Korwa abakweegerera Ruto na Sang’, nigo baangire kirori oyioo taganywa ekiagera babakoreire chimgaki na ebiro gose koegwa ribaga ria bene komoringooria orogendo rwaye oborori bwaye botarategererwa. Nigo ekageire buna kirori oyio nere oyo’ omoerio."
"Today, an announcement was made regarding the issues surrounding the witnesses who were unable to cooperate.",Ankio nigo ekegambero kerarwe ribaga ase ebiombe ebio bibere kogayana ogotaigwana okwo.
MINTO FM: Does anyone know how to prepare delicious food using green bananas?,MINTO FM: Inee nomanyete nabo okorosia chibesa korwa ase oboremi bwa amatoke?
"Preparing green bananas is a traditional skill passed down through generations among the Gusii people. Now listen, what ingredients does one need to make good green banana stew? What spices are needed? Tune in to Oboremi's program, featuring interviews with farmers and Nancy Kemunto and Evelyn Ongaga from the Biovision Africa Trust, also known as BvAT.","Oboremi bwa amatoke n’ enchera eyemo y’ okoenyorera enibo ime ye riroba riato ria Gusii. Inee rende, nchera ki oromenta rigesa ria amatoke? Echiro ero rende? Ase omoroberio bwo Oboremi bwaito, nyora amachibu ya amaborio aya na Nancy Kemunto amo na Evelyn Ongaga korwa ekeombe kia Biovision Africa Trust gose BvAT."
"Bananas are often dried for preservation, making them a convenient snack.","Ritoke nabo rikorosigwa ejuice, obosie bwe erongori ne chichapati."
Three former governors,Tiga gochanda abagavana
the council speaker when they released governors Wycliffe Oparanya and minister for county Eugene Wamalwa they called upon all leaders of all counties across Kenya to support the bill on extending the term of governors and also the committee of law they supported the government and the county leadership,omonyakerogo bwebaraza yabagavana Wycliffe Oparanya nomowaziri bwechikaunty Eugene Wamalwa babakureire abamca ase chikaunty chionsi aiga kenya kobeka ensemo emeswada yokobarusia abagavana ase obora nase ribaga erio babeke omokia korwania korona
their reason was because of the good work done by Oparanya and Wamalwa which has helped the country to fight against the coronavirus pandemic,bagokwana ase egeikaro kia bene Oparanya na wamalwa nigo bateba buna chinakunty nchiraearegania buya na igoro ere buya okobwatana koba aroro ekero eke kenya ekorwania endwari ya korona
those people have agreed to cooperate with the committee formed by the national government and the county governments,abarai abwo nigo barenge koyakwan ayio ase egeikaro egetang’ani giekomiti yoboamate obuya gati yeserekali enen na chiria chiechkanty
"Today people are busy with their affairs and rarely have time for God. However, today we must seek Jehovah, the God of the Bible and Creator of all things. We should not be busy avoiding Jesus Christ and neglecting the company of Christians. Rather, let us use our time wisely to help people approach the Bible and God's teachings. And let us always remember that Jehovah God and His teachings are sufficient, so that we may be among Jehovah's Witnesses.","Nigo tokorwa ase ebisaku n’emenwa emenge, korende nigo tore nobomo bw’ebirenga. Goetania onsi, nigo totagete komosika Yehova, Nyasae bw’Ebibilia na Omotongi bw’ebinto bionsi. Nigo togokora onsi tokonyara komwegia Yeso Kristo na gwetogeria korokwa Abakristo. Botambe kera oyomo oito ngotumia are chingaki gokoonya abanto koegera Ebibilia na Oboruoti bwa Nyasae. Ase engencho tokorwa oborori, gose gokwanera, igoro ya Yehova Nyasae amo n’Oboruoti bwaye, nigo tomanyekanete buna Birori ba Yehova."
Visit this website. Read the Bible online. Spend time with it and appreciate its value.,Taarera egwebusaiti yaito. Soma Ebibilia ase eintaneti. Egera amange igoro yaito na okwegena gwaito.
fall down with sorrow when it matures and they also invited the father who loves his child whom his mother raised for fifteen years and a gun of a lion. then he agreed because that elder invited him to a meeting which causes trouble and many things of reconciliation so that the child can go and seek things from them.,okobora kwa omosori bwe ritunda mayaye nabo kwairerete omogaka oyomo komobutoria omwana oye omomura bw’ emiaka ikomi na etano na etato risasi rie’ chinyonga. nigo egotebekana buna Omoibori oyio nigo airete egetambokero ekio kiogochaka korasa chintunde chinyinge magega y’ okomokanya aire ng’ora ko omomura oyio akagenderera gosaria ebinto ase oboenenu.
"But that young man who is not guilty of a lion, Duke's wife gave him a gift of money worth sixty thousand dollars to the musicians from Louisiana.","Bono omosacha oyio ore ise nyakoraswa chinyonga, erieta Dukes nigo abekire chingayo ime yegetaseni kia abanyanyimbo aaria Lousiana na kobekerwa oroboni rwa chidola, 60,000."
That child was accused of theft because he had no drum but he defended his life.,Omomura oyo nigo aminyogetigwe nyagetari ko tari na ngoma mbe chikogosereria obogima.
"Last year, we remembered things that pleased God very much. This year, let us work hard. Are you well? Good. Are you still alive? Very well. Remember this thing. That is it. Let us give thanks to God very much.","Last year, ntwabarete ebinto biragere otebie Omonene Nyasae buna mbuya mono. This year, kobara tikoiyo. Nkwaboka bono rimaambia? Good. Nkoeyana ore still? Buya sana. Tigera igo bono. That is it. Bono rirorio gaki, tebia Omonene Nyasae buna mbuya mono."
"Anyone who remembers this will not forget the goodness of being alive, giving thanks to Jesus very much. The child named Ruth Wamuyu has received gifts very much, and she was told “Thank you”. Very much from the family of Mwanyagetinge and Happy Thanksgiving 2011.","Onye goikera bono titoragenda echiro kogora embeo y' okoeyana, rirorio naende tiga totebie Yeso buna mbuya mono. Omwana omino, Ruth Wamuyu nigo abegete kera egento buya mono, ase ogotera kwaye gokorokwa ""Asante"". Mbuya mono abana b' Mwanyagetinge and Happy Thanksgiving 2011."
"Petronillah Ogoti, Gusii.com","Petronillah Ogoti, Gusii.com"
These are the words:,Aya amwabo aya:
"Is tradition still present with Minto Mwanyagetinge? Listen: Subordinates should respect their leaders. A person gives birth to another, and another gives birth to a generation. Are there still subordinates today?","Egetandawiri ngocha nde Minto Mwanyagetinge? Tega: Asubati mbare babere mwabo. Oyomo akobiara oyonde, n' oyonde obiara oria omotang'ani. Inee abasubati aba mbarabi?"
"Today I will tell a story. It is said that wealth and poverty are related, and they cooperate today.","Naende emorogoba ekare gocha. Ekero obotuko bwaerire, nigo bokorenta omogaso naende"
"MESSAGE: Wealth and Poverty. Wealth and poverty are both connected to people who give birth to children today; wealth increases while poverty decreases, and poverty helps wealth grow.","RICHIBU: Botuko na Mogaso. Obotuko n' omogaso nabo bikobwekanigwa n' omosubati okobiara omwana naende oyo ocha okina obiara, omogaso koerire nigo obotuko bogocha, na obotuko bokoera omogaso ororekana."
Minto FM: Celebrate Heroes and Gusii Culture,Minto FM: Togokere Mashujaa na amagenderero aito Gusii
