English,Kiswahili,Ekegusii,Domain
"List of common mental disorders: anxiety, depression, bipolar disorder, PTSD, schizophrenia","Orodha ya matatizo ya akili ya kawaida: wasiwasi, mfadhaiko, ugonjwa wa bipolar, PTSD, skizofrenia","Ebimanyererio ase oborwaire bwobongo: engareka, okoererwa chinguru,ogotarora buya, oborwaire kegima,okonyegerigwa nyuma yokogoswa, obongo borwaire",Health
TOday GBV-capacity workshop with NPS and community figures across Kisumu subcounties,Leo warsha ya uwezo wa GBV na NPS na watu mashuhuri katika jamii katika kaunti ndogo za Kisumu,Rero ogomomia gokinia okomanya igoro yogokorera bobe abande ase yeki bare ase abasikari nabanto bande bebinyoro basikire ase amechie emeke yonsi inse ye'kaonti ya Kisumu,Security
KUCCPS opened its portal for 2015 KCSE candidates to apply for TVET diploma and certificate courses with a deadline of May 31 2016.,"KUCCPS ilifungua lango lake kwa watahiniwa wa KCSE wa 2015 kutuma maombi ya kozi za stashahada na cheti cha TVET huku tarehe ya mwisho ikiwa Mei 31, 2016.",Ekeombe keria ekenene getenerete korangeria abana gochia eyunifasiti KUCCPS kiaigoire emeroberio yaye yeintanetui gokonya abana baria bakorire amasomo esekenderi KCSE gotoma ogosaba kwabo ase omwaka 2015  gosoa TVET gosomera edipuloma nyuma yechitariki 31 chiomotieny 5 omwaka 2016.,Education
"Adolescent mothers need extra emotional, nutritional, and medical support. Communities are urged to reduce stigma and promote inclusive care.","Akina mama vijana wanahitaji msaada wa ziada wa kihisia, lishe, na matibabu. Jamii zinahimizwa kupunguza unyanyapaa na kukuza utunzaji jumuishi.","Abang'ina abasae mbaganatie obokonyi bwa ebirengererio,endagera na oborwaria.Ebisaku biasabirwe gokeia oboiroku na gosira oborendi bwa amo.",Health
"How to boost your immune system against the COVID-19;
1. Stay hydrated - drink 3-4 litres of water daily.
2. Take antioxidant-rich diet - amla, guava, green leafy veggies, spinach, garlic, green tea, peppers, turmeric
3. Exercise
4. Meditation
5. Quality sleep","Jinsi ya kuimarisha kinga yako dhidi ya COVID-19;
1. Endelea kuwa na maji mwilini - kunywa lita 3-4 za maji kila siku.
2. Chukua lishe yenye vioksidishaji vingi - amla, guava, mboga za majani mabichi, mchicha, kitunguu saumu, chai ya kijani, pilipili hoho, manjano
3. Mazoezi
4. Kutafakari
5. Usingizi bora","Enchera yokomenta ogwetanga korwa Covid 19
 1.Kanywe amache amange - chilita 3-4 kera rituko
 2.Kari chindagera buna amapera, chinyeni chiekegusii, egetunguo saumu, n.k
 3.Tarataria omobere
 4.Okoiranerera
 5.Chitoro chiisaine",Health
Sugary juices and sodas are harmful to babies and increase the risk of obesity and tooth decay.,Juisi na soda zenye sukari ni hatari kwa watoto wachanga na huongeza hatari ya unene kupita kiasi na kuoza kwa meno.,Ebinyugwa bigwansa nechisota neɓibe ase abana naende binkomenta ekenoro na ogosareka amaino,Health
"The â€œpushâ€“pullâ€ technology is one example of this, using one plant species that pushes fall armyworm away from maize and another species that pulls them ...","Teknolojia ya ""kusukuma - kuvuta"" ni mfano mmoja wa hili, kwa kutumia spishi moja ya mimea inayosukuma viwavi jeshi kutoka mahindi na spishi nyingine inayowavuta ...","Etekinorochi ya â€œpushâ€“pullâ€ nekiorokererio ekemo, ase ogotumia ekemeri ekemo goseria amakonde gose chingeti korwa ase ebituma naboigo ekeri kende ekio kegochingusa...",Agriculture
Teach children stranger danger rules and ensure they travel in groups. Report missing children immediately.,Wafundishe watoto sheria za hatari wageni na hakikisha wanasafiri kwa vikundi. Watoe taarifa kwa watoto waliopotea mara moja.,Somia abana tibakwana omonto batamanyeti gose kobwatia amang'ana yomonto batamanyeti buna enchere engiya yokwerenda na gotara amo abanto abange. Karwe amangana igoro yomonto otaoyi otari konyorwa gochia ase abambi gose porisi.,Security
Keep car doors locked and windows up when driving in high-risk areas.,Weka milango ya gari imefungwa na madirisha wazi unapoendesha gari katika maeneo yenye hatari kubwa.,Sieka emerangu yerori yao na koyeroki buya ekero okogendia erori yao ase chirori nabanto bare abange gose obosaria bwa igoro.,Security
"A malaria vaccine tested in Kenya gains WHO prequalification, costing as low as Sh300, becoming the world's second vaccine on the global prequalified list.","Chanjo ya malaria iliyojaribiwa nchini Kenya yapata sifa ya awali ya WHO, ikigharimu hadi Sh300, na kuwa chanjo ya pili duniani kwenye orodha ya chanjo zilizoidhinishwa awali duniani.","Eriogo ria esindani y'ogotanga Esosera, riabeire rigotemwa ase Ense ya Kenya rianyarire goancherwa na goetigwa ase ekerengo egetang'ani na WHO. Nigo rikoonigwa sh.300, naende riabeire esindani ya kabere ase amariogo aria aetirigwe ase ekerengo ekio .",Health
"Understand the importance of using certified seeds for tea to ensure high germination, varietal purity, and yield potential.","Elewa umuhimu wa kutumia mbegu zilizoidhinishwa kwa ajili ya chai ili kuhakikisha kuota kwa wingi, usafi wa aina mbalimbali, na uwezo wa kutoa mavuno mengi.","Manya obuya bwogotumia embusiro erengire yebimeri biechae goikerania  okomera okuya, oboikeranu bwembego yechae ao ao, na buna rigesa raiye rire ria igoro.",Agriculture
Parents: Pay zero fees for public secondary ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ report any school demanding money to 0800721490 now.,Wazazi: Lipa ada sifuri kwa shule za sekondari za umma âƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ ripoti shule yoyote inayodai pesa kwa 0800721490 sasa.,"Abaibori: Timoakana besa ende yonsi gochia esukuru yesekenderi, karwe amang'ana igoro yesukuru ende yonsi egosaba chibesa goetera esimi 0800721490 bono.",Education
Always check expiry dates on food products to avoid food poisoning.,Daima angalia tarehe za mwisho wa matumizi ya bidhaa za chakula ili kuepuka sumu ya chakula.,Kera engaki mongera chitariki chiendagera kogunda otaragora erio bwerende gotara na koria endagera eng'undo ekoretere obokong'u.,Security
Suspected child abuse should be reported immediately to police or through the *116# anonymous helpline.,Unyanyasaji unaoshukiwa kwa watoto unapaswa kuripotiwa mara moja kwa polisi au kupitia simu ya usaidizi ya *116# isiyojulikana.,Abana ekageire gokorerwa bobe gose gotibongwa goika eripoti erugwe gotachererwa gochia ase abasikari goetera enamba eye yesimi *116# otari kwemanyekania.,Security
Government distributes mosquito nets in malaria fight. Kilifi County is one of the beneficiaries. Nets program was flagged over procurement irregularities. MOH wants to distribute 15M nets in 22 counties,Serikali yasambaza vyandarua katika mapambano dhidi ya malaria. Kaunti ya Kilifi ni mojawapo ya wanufaika. Programu ya vyandarua iliangaziwa kwa ukiukwaji wa sheria za ununuzi. Wizara ya Afya inataka kusambaza vyandarua milioni 15 katika kaunti 22,Eserekali yaenanire chineti as esegi ya Malaria. Ekaunti ya Kilifi neyemo yabo ase chiria chigochi konyora. Omoroberio bwe’chineti nigo oetwe oborabu igoro ya ogotabwati amachiko y’ogochigora. Ewizara ya Afya nigo etagete koenana chineti milioni 15 ase chikaunti 22,Health
REPORT CORRUPTION @EACCKenya urges Kenyans to report all forms of corruption for investigation. EACC treats all reports with the utmost confidentiality and subjects them to a meticulous analysis process. Below is the reporting process.,RIPOTI RUSHWA @EACCKenya inawasihi Wakenya kuripoti aina zote za rushwa kwa ajili ya uchunguzi. EACC hushughulikia ripoti zote kwa usiri mkubwa na kuziweka chini ya mchakato wa uchambuzi wa kina. Hapa chini ni mchakato wa kuripoti.,ENANA AMANG'ANA IGORO YOBOKURUMI@EACCkenya yababoririe abakenya koenana amang'ana igoro yobokurumi honde bwensi ase obotuki bene. EACC nigo ekeonekia ng'a amang'ana onsi okoenana abekirwe ase obobisi nakoringorigwa bene. Nabo okoenanana amang'ana ao goetera enchera eye.,Governance
Ensure compliance with 2008 school safety manual.,Hakikisha kufuata mwongozo wa usalama wa shule wa 2008.,Rora nga noikeranetie amachiko boronge igoro yegetabu kiomoroberio bwoborendi bwesukuru 2008.,Education
Security audit in all national schools starts Monday ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ cooperate with officers!,Ukaguzi wa usalama katika shule zote za kitaifa unaanza Jumatatu shirikianeni na maafisa!,"Bwatia komanya buya buna esukuru egendererete ase chibesa nebinto biaye goikerania oboteneneri obuya na gptanga oboibi nechake etichirimo, bwaterana nabateneneri.",Education
"Clean schools, healthy students! Maintain sanitation to stop cholera.","Safisha shule, wanafunzi wenye afya njema! Dumisha usafi wa mazingira ili kuzuia kipindupindu.","Sibia chisukuru, abana bare na afia engiya! Renda obochenu bwechicoo na amache gotanga endwari yogosaa.",Education
Reduce class sizes 2022.,Punguza ukubwa wa madarasa 2022.,Keania abana ase ebirasi 2022.,Education
"If the cord stump bleeds or oozes pus, seek medical attention immediately.","Ikiwa kisiki cha kamba kitatoka damu au kutoa usaha, tafuta matibabu mara moja.","Onye ekenyogu gekorwa amanyinga gose amaira, rora omonyagitari bwango",Health
Keep hot drinks and cooking pots away from childrens reach to prevent burn injuries.,Weka vinywaji vya moto na vyungu vya kupikia mbali na watoto ili kuzuia majeraha ya kuungua.,Beka are ebinyugwa bire morero na chisuguria chiokorugerwa korwa ase abana gotanga emebasokano,Health
"However, he assured the public that the Ministry of Education had put in place emergency measures to ensure candidates in affected areas continue their exams without interruption.","Hata hivyo, aliwahakikishia umma kwamba Wizara ya Elimu imeweka hatua za dharura ili kuhakikisha watahiniwa katika maeneo yaliyoathiriwa wanaendelea na mitihani yao bila kukatizwa.","Nonya nigo, naenekeretie abanto bonsi ng'a Eministiri yesichisemi pyeariganirie nemeberoberio temebasekano erio korenda nga abana baria bagochia gokora amatemwa ase chingongo chiria chire neminano bagenderere gokora amatemwa abwo bokong'u botaito.",Governance
Bura MP Urges Tana River Residents to Register as Voters,Mbunge wa Bura Awahimiza Wakazi wa Tana River Kujiandikisha kama Wapiga Kura,omochumbe o'bura obaboririe abamenyi batana river kwerikia buna abaaki chikura.,Governance
Register for KCPE 2020 despite delays.,Jisajili kwa KCPE 2020 licha ya kuchelewa.,Erike gokora amatemwa KCPE omwaka 2020 nonya okonyorwa koreo.,Education
KNEC to conduct training for teachers on new e-assessment tools for continuous assessment.,KNEC itatoa mafunzo kwa walimu kuhusu zana mpya za tathmini ya kielektroniki kwa ajili ya tathmini endelevu.,Ekeombe keria ekenene getenerete amatemwa KNEC ngesomia abarimu igoro yokorengwa kwa abana okoyia nakogenderera.,Education
Security operations intensified in Kitale and North Rift to combat cattle rustling with specialized units deployed.,Shughuli za usalama ziliimarishwa Kitale na North Rift ili kupambana na wizi wa mifugo huku vikosi maalum vikiwekwa.,Emeroberio yoborendi aaria Kitale na North Rift bangangane gokora aboibi bwechiombe ase okobwaterana nebitengo bieserikari bia beene biatomirwe aroro.,Security
"Public launch of rice products fortified with iron, folic acid, B-vitamins, iodine and zinc, aligned with government fortification standards.","Uzinduzi wa umma wa bidhaa za mchele zilizoongezewa madini ya chuma, asidi ya foliki, vitamini B, iodini na zinki, unaoendana na viwango vya serikali vya urutubishaji.","Ogochakigwa gwechindagera chinde chire ase omochere omentire ebioma bia asidi ya foliki, ebitamunusi B, ayodini na zinki, gochia amo neserekari erobereti",Health
AP News covered Mwangi’s release on bail and rights groups’ criticism of terrorism charge misuse during protests.,AP News iliripoti kuhusu kuachiliwa kwa Mwangi kwa dhamana na ukosoaji wa makundi ya haki za binadamu kuhusu matumizi mabaya ya shtaka la ugaidi wakati wa maandamano.,Managana amayia yabasikari boborai (AP) nyarigete igoo yokobwatokwa kwa Mwangi ase ogotenenerwa nebiombe biokoegerera ebio biangete okobekererwa kwobosaria bwobokegago bwokoruta chipomu ekero bakorobererekana.,Security
Download KCSE sample papers from KNEC portal.,Pakua karatasi za sampuli za KCSE kutoka kwa lango la KNEC.,Nyora ebikworokereria amatemwa amatemwa esekenderi (KCSE) korwa ekeombe keria ekenene getenerete amatemwa (KNEC).,Education
Breast milk contains nutrients vital for a babys brain development.,Maziwa ya mama yana virutubisho muhimu kwa ukuaji wa ubongo wa mtoto.,Amàbere angina nabwate obuya bwengecho ase okoagacha ogokina kwa obongo,Health
"The police chief further urged the public to stay alert, adding that all rescued individuals had been documented and allowed to return home as investigations continue.","Mkuu wa polisi pia aliwasihi umma kuwa macho, akiongeza kuwa watu wote waliookolewa wameandikishwa na kuruhusiwa kurudi nyumbani huku uchunguzi ukiendelea.","Omosikari omonene akagenderera gosaba abanto ng'a babe maiso, na kogesa nga baria bonsi bakonyetwe mbarikire bonsi na bancheirwe koirana chinka chiabo ekero obotuki bogendererete.",Governance
Raise awareness! Educate students on protest safety.,Kuongeza uelewa! Waelimishe wanafunzi kuhusu usalama wa maandamano.,manyia abanto! Somia abana buna  barakore korobererkana miochando otaiyo.,Education
Children experiencing trauma need psychological support available through free counseling services.,Watoto wanaopitia kiwewe wanahitaji usaidizi wa kisaikolojia unaopatikana kupitia huduma za ushauri nasaha bila malipo.,Abana bare ase ogochandeka bwebirengererio mbagabeti ogokonywa kobakonya gokinania omochando oyio bosa goetera chinkwana nomonyagitari konyora chinguru chiogokinana nebirengererio.,Security
"Get your soil tested by KALRO Soil Testing Lab to understand its nutrient levels and pH, guiding you on the right fertilization for beans.","Pima udongo wako na Maabara ya Kupima Udongo ya KALRO ili kuelewa viwango vyake vya virutubisho na pH, na kukuongoza kwenye mbolea sahihi kwa maharagwe.","Renga riroba riomogondo oo na KALRO erio komanya ebirengo biobotobu bwaye , ekio keragokonye gose gokoraa komanya mbwoyo I omogondo oo aganetie ase oboremi bwechingende.",Agriculture
Stay cautious! Avoid strangers and report risks to teachers.,Kuwa mwangalifu! Epuka wageni na uripoti hatari kwa walimu.,Renda kegima! Kabe are nabanto otamanyeti na karwe amangana gochia ararete bokongu bonde bwonsi gochia ase abarimu.,Education
Songs submitted via Instagram,Nyimbo zilizowasilishwa kupitia Instagram,Chingero chitomire goetera Instagram,Education
"Talk openly! Schools, promote mental health awareness.","Zungumzeni waziwazi! Shule, endeleeni uelewa wa afya ya akili.","Kwana otari kobisa! Chisukuru, segeta okomnyigwa igoro yobuya bwenkoro yomorembe.",Education
Commissioner Cherera urges women to mobilise and bring out those not registered to enlist as voters,Kamishna Cherera awahimiza wanawake kuhamasisha na kuwaleta nje wale ambao hawajajiandikisha kujiandikisha kama wapiga kura,Omokomishona Cherera oboririe abangina gocha amo na koerikia buna abaaki chikura,Governance
Rift Valley Technical Training Institute leads in competency-based TVET.,Taasisi ya Mafunzo ya Ufundi ya Bonde la Ufa inaongoza katika TVET inayotegemea uwezo.,Ekorechi ya Rift Valley Technical Training Institute netang'aine ase amasomo obobundi TVET.,Education
UN concerned over protest deaths; calls for accountability.,Umoja wa Mataifa una wasiwasi kuhusu vifo vya waandamanaji; wito wa uwajibikaji.,Obiomo bwechinse chikwegambera (UN) nechandegete igoro yamakweri abaria bare koroberekana; baboririe eserikari kobogoria obobe obwo.,Security
Women in politics face violence aimed at limiting participation. Electoral laws protect candidates and voters from gender-based harm.,Wanawake katika siasa wanakabiliwa na vurugu zinazolenga kupunguza ushiriki. Sheria za uchaguzi huwalinda wagombea na wapiga kura kutokana na madhara yanayotokana na jinsia.,Obakungu bagokora siasa nigo bagokorerwa bobe korengete gokeania esiasa yabo gochia ase abasqacha. Amachiko obochori nkorenda are abarigia chikura nabaaki chikura korwa gokorerwa bobe ekiagera eki bare.,Security
"Invest in cold storage to significantly extend the shelf life of perishable fruits, allowing you to sell at better prices and reduce waste.","Wekeza katika hifadhi ya baridi ili kuongeza muda wa matumizi ya matunda yanayoharibika, na kukuwezesha kuuza kwa bei nzuri na kupunguza upotevu.","Rosia chinyomba chiobokendu ase okogacha chindagera chiria chigosareka bwango buna enchera eyemo yogochigesa amatuko koganyete gochiira echiro  buna chinyanya nechingeni na amabere, eye nigo ekogonya gochigaka erio gochionia chingaki chia motwe ase rigori rigiya na gotanga asara.",Agriculture
Organize debate clubs 2020.,Panga vilabu vya mijadala 2020.,Roberia koba nebiombe biokoenena obosemia 2020.,Education
"Kenya signs six Global Fund grants amounting to Sh59.7 billion to support HIV, TB and malaria interventions; funding to strengthen health and community systems over three years.","Kenya yasaini ruzuku sita za Mfuko wa Kimataifa zenye thamani ya Sh59.7 bilioni kusaidia uingiliaji kati wa VVU, Kifua Kikuu na malaria; ufadhili wa kuimarisha mifumo ya afya na jamii kwa miaka mitatu.","Kenya kobeka eseii obokonyi bwa chibilioni sh.59.7 korua ase ekegancha gi'ense'/Global Fund, echio chigokonya gosira emeroberio ya oborwaria Bwa Enyamoreo Esese na Esosera, ogoakana oko nigo kogokong'ia oborwaria naboigo chitini chiebisaku ase emiaka etato",Health
"KNEC opens KCSE remarking window ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pay Ksh 1,000 per paper before Nov 30!","KNEC yafungua dirisha la kuashiria KCSE ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ lipa Ksh 1,000 kwa kila karatasi kabla ya Novemba 30!","KNEC opens KCSE remarking window ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pay Ksh 1,000 per paper before Nov 30!",Education
There is no health without mental health,Hakuna afya bila afya ya akili,Borwaria tiboiyo one oborwaria bw'obongo tiboiyo,Health
Residents in flood and conflict‑prone areas ordered to evacuate with routes and shelters listed.,Wakazi katika maeneo yanayokumbwa na mafuriko na migogoro wameamriwa kuhama huku njia na makazi yakiorodheshwa.,Abamenyi bari bare aase emegoko gose aregire chimanano bachikirwe kong'anya korwa ase ande onsi ararete emechando gochia ase atebire neserikari gose chinyomba chiria eserikariyatebire.,Security
Pilot providing mobile seed kits and training to women's groups to grow nutritious food in informal settlements.,Pilot akitoa vifaa vya mbegu vinavyohamishika na mafunzo kwa vikundi vya wanawake ili kukuza chakula chenye lishe katika makazi yasiyo rasmi.,Omorundi chindege okorwa ebikoreri biechintetere am na koegeria ebiombe bia abakungu gosimeka chindagera chibwate amadini ase babegete obomenyo.,Health
"Mental health boost in Kenya: 32 counselors graduate in Thika to tackle depression, trauma, and substance abuse. Africana College Director Dr. Susan Gitau urges government to fund county-level counseling centers to expand access to lifesaving psychosocial support.","Kuimarika kwa afya ya akili nchini Kenya: Washauri 32 wahitimu huko Thika ili kukabiliana na mfadhaiko, kiwewe, na matumizi mabaya ya dawa za kulevya. Mkurugenzi wa Chuo cha Africana Dkt. Susan Gitau anahimiza serikali kufadhili vituo vya ushauri nasaha vya ngazi ya kaunti ili kupanua ufikiaji wa usaidizi wa kisaikolojia unaookoa uhai.","Ogosegetwa okonene ase amarwaire yobongo: Abasemia bo'bongo 32 babete bagosoka bene korwa esukuru ya thika erio gokonya ase ebirengererio ebinge, emechando yogosiria amo na nayande abwetekaine  obongo.",Governance
All TTC students must complete civic education module before graduation ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ KICD directive.,"Wanafunzi wote wa TTC lazima wamalize moduli ya elimu ya uraia kabla ya kuhitimu ""agizo la KICD"".","Abarimu baria bagosomera obwarimu goika babe bakorire amasomo yobogesaku nyuma batakora korwa chikorechi chiabo, ogochika korwa  KICD.",Education
Consider joining or forming a business watch program in commercial areas.,Fikiria kujiunga au kuunda programu ya kuangalia biashara katika maeneo ya kibiashara.,Nere buya kobwatana nabanyabiasara ase oborendi bwebiasara biano aaria ase ebiasara.,Security
Access education! Enroll pastoralist children in mobile schools.,Pata elimu! Waandikishe watoto wafugaji katika shule zinazohamishika.,"Ekera chisemi! Rika abana babatugi ase omoroberio bwechisukuru chiokong,anyang,anya.",Education
"The Director highlighted the role of Missions in harnessing Diaspora Investments. He Urged Kenyans abroad to register at their nearest Kenya Embassy, stressing that the missions are the first point of contact between the nation and its diaspora citizens.","Mkurugenzi huyo aliangazia jukumu la Misheni katika kutumia Uwekezaji wa Diaspora. Aliwahimiza Wakenya walio nje ya nchi kujiandikisha katika Ubalozi wao wa karibu wa Kenya, akisisitiza kwamba misheni hizo ndizo sehemu ya kwanza ya mawasiliano kati ya taifa na raia wake walio nje ya nchi.",kwerikia bene ase chiobisi chie chinse chiasiko asengecho eyuo Nero enchera yeritang'ani yokomanyekana koba ase chinse echio.,Governance
Train teachers! Prepare for terror threats in schools.,Wafundishe walimu! Jiandae kwa vitisho vya ugaidi shuleni.,Somia abarimu! Eariganie igoro yobokebago bonde bwonsi esukuru.,Education
"Integrate trees with your livestock farming (agroforestry) for shade, windbreaks, fruit, timber, and improved soil health.","Unganisha miti na kilimo chako cha mifugo (kilimo mseto) kwa ajili ya kivuli, vizuizi vya upepo, matunda, mbao, na afya bora ya udongo.","Borukania oboremi bwao bwetugo amo nemente (agroforestry)ase okonyora ekiriri, gokanya embeo enene, konyora amatunda, chibao timber, na obotobu ase riroba.",Agriculture
Kisumu Governor Nyong'o orders all restaurants shut in the county for failing to adhere to MoH measures against Covid-19.,Gavana wa Kisumu Nyong'o aamuru migahawa yote ifungwe katika kaunti hiyo kwa kushindwa kufuata sheria za Wizara ya Afya dhidi ya Covid-19.,"Omogabana o Kisumu, Nyong’o, orure richiko riogosieka chinsemo chiokoragera magega yogotaigwera amachiko arure na MOH yokorwania COVID 19",Health
"It warned the public about the widespread misinformation online regarding claims that registration was open, stating these claims are fraudulent.","Ilionya umma kuhusu taarifa potofu zilizoenea mtandaoni kuhusu madai kwamba usajili ulikuwa wazi, ikisema madai haya ni ya ulaghai.","Yarwete ogokurerwa ase abanto igoro yamangama ankuma gose oborimo goetera eintaneti igoeo yokongainereria nga okwerika gwechikura nkwaigoretwe, na komanyia abanto nga chinkwana echio nechioborimo.",Governance
Use security cameras with cloud storage to preserve evidence if needed.,Tumia kamera za usalama zenye hifadhi ya wingu ili kuhifadhi ushahidi inapohitajika.,Beka chikamera chiria chibwatanirie neintaneti chikobwata abanto buna bagosoa na gosoka gose ebinto bigendererete kogonya obosaiti ekero boganeirie.,Security
"A judicial ruling found former officers guilty of murder, reinforcing accountability for serious misconduct.","Uamuzi wa mahakama ulibaini maafisa wa zamani kuwa na hatia ya mauaji, na hivyo kuimarisha uwajibikaji kwa utovu mkubwa wa nidhamu.","Ekoti yanyorete abasikari namamocho yogoita, egekoro kiabegete chinguru gokora emeremo buya gwanchereria gotaiyo goikerania korora ng’a kera omosikari ebogorerie emeremo yaye.",Security
UK urges caution in urban centers due to terrorism threats.,Uingereza yatoa wito wa tahadhari katika vituo vya mijini kutokana na vitisho vya ugaidi.,Obomo bwa Boraya (UK) bwasabire abanto koba maiso gatigati yechitaoni ase engencho yokogoswa nobokebago bwokoruta chipomu.,Security
High threat of kidnapping targeting foreigners in northern and coastal areas and travelers are urged to avoid high risk zones.,Tishio kubwa la utekaji nyara unaolenga wageni katika maeneo ya kaskazini na pwani na wasafiri wanahimizwa kuepuka maeneo yenye hatari kubwa.,Obwoba bwa igoro bwokobwatwa na kobiswa kwabanto korengete abarwa isiko bamenyete aaria Irianyi mbarabare nenyancha na baria bonsi bagotumia chigari ase rogendo baboriigwe gotaika ange nchinsemo echio chiregire nobokebago.,Security
Find the nearest aggregation points where buyers collect tea in bulk. This can reduce transport costs and improve market access for smallholder producers.,Tafuta sehemu zilizo karibu zaidi za kukusanya chai ambapo wanunuzi hukusanya chai kwa wingi. Hii inaweza kupunguza gharama za usafiri na kuboresha upatikanaji wa soko kwa wazalishaji wadogo.,Rigia komanya ase chiafukado chiria chachoririrwe na goatananwa as chigotoka  na kogorwa ase ebirengo ebi'nene. Eye nekonnabiogo kwororobia engencho ya oogosoa echiro ase abaremi bebirengo ebike.,Agriculture
Katiba Institute reported constitutional rights violations during protests and urged judicial safeguards and rights-based policing.,Taasisi ya Katiba iliripoti ukiukwaji wa haki za kikatiba wakati wa maandamano na kuhimiza ulinzi wa mahakama na polisi inayozingatia haki.,Ekeombe gia Katiba Institute nkiamanyetie buna okobunwa kwa amachiko nabasikari kware gokorwa kwegosa gotaiyo chingaki chiokorobererekana na gosaba bororo ng'a amachiko atumeke korenda abakorobererekana buna oboronge bwabo.,Security
"Further, technologies that boost farm yields such as climate smart crop varieties and adaptable livestock breeds; resilience-enhancing ...","Zaidi ya hayo, teknolojia zinazoongeza mavuno ya kilimo kama vile aina za mazao zinazozingatia hali ya hewa na mifugo inayoweza kubadilika; zinazoongeza ustahimilivu ...","Mono kobua, chitekinorochia chiria chikogesa regesa buna chiria chiogochora chimbusuro ao ao chikoremereria rire amo nembego yetugo eria ekeremereria  rire-yangoi ...",Agriculture
