English,Ekegusii,Domain
Building partnerships with counties strengthens accountability. Say no to graft.,Koagacha oboamate obuya gati yechikaonti nigo kogokong'ia obotenereri obuya. Kana obokengeka.,Security
Toolkit empowering communities to counter violent extremism under the NIWETU multi stakeholder initiative.,Egetabu kegosomia abanainchi buna baranyare gokinana nobokebago bwogosaria obongo goetera amasomo amabe inse yomoroberi o'NIWETU omoroberio bwabakoreri ao ao.,Security
"Stay alert, share your info with imposters. Report and block any suspicious accounts.","Kaba maiso,sanga amanga ago nemekora",Governance
"The climate-smart management of orchards and plantations involves the efficient use of water and energy for husbandry operations, and the transportation and ...","Oboremi boria bokoremereria ogosareka kwerire ase ase oboremi bwemegondo emenene yamatunda neganetie gotumia amache nechinguru buya chiomorero buya ase okoenana embego, amo nobobogoria amo...",Agriculture
"List of common mental disorders: anxiety, depression, bipolar disorder, PTSD, schizophrenia","Ebimanyererio ase oborwaire bwobongo: engareka, okoererwa chinguru,ogotarora buya, oborwaire kegima,okonyegerigwa nyuma yokogoswa, obongo borwaire",Health
TOday GBV-capacity workshop with NPS and community figures across Kisumu subcounties,Rero ogomomia gokinia okomanya igoro yogokorera bobe abande ase yeki bare ase abasikari nabanto bande bebinyoro basikire ase amechie emeke yonsi inse ye'kaonti ya Kisumu,Security
Research by KEMRI has confirmed that Invermectin controls the spread the spread of malaria in a special way,Oboringoria bwa KEMRI bwaenekirie ing'a Ivermectin nigo egokeania okwambokeria gw'Esosera ase engecho enene.,Health
KUCCPS opened its portal for 2015 KCSE candidates to apply for TVET diploma and certificate courses with a deadline of May 31 2016.,Ekeombe keria ekenene getenerete korangeria abana gochia eyunifasiti KUCCPS kiaigoire emeroberio yaye yeintanetui gokonya abana baria bakorire amasomo esekenderi KCSE gotoma ogosaba kwabo ase omwaka 2015  gosoa TVET gosomera edipuloma nyuma yechitariki 31 chiomotieny 5 omwaka 2016.,Education
"Adolescent mothers need extra emotional, nutritional, and medical support. Communities are urged to reduce stigma and promote inclusive care.","Abang'ina abasae mbaganatie obokonyi bwa ebirengererio,endagera na oborwaria.Ebisaku biasabirwe gokeia oboiroku na gosira oborendi bwa amo.",Health
The National Drugs Investigation has launched training for religious learder as a move to prevent self suicide,Ekeombe Ekenene Kiobotuki bwa Amariogo giachakirie amaegerio yamatemu ase abarai abanene bechidini ase ogotanga okweng'enta buna amasomo gokinia obongo,Health
"TSC releases guidelines for recruiting 44,000 teachers on permanent terms.","Ekeombe ekene kia abarimu (TSC) yarure omoroberio buna okorikwa kwa abarimu 44,000 korabe bapamanenti.",Education
"How to boost your immune system against the COVID-19;
1. Stay hydrated - drink 3-4 litres of water daily.
2. Take antioxidant-rich diet - amla, guava, green leafy veggies, spinach, garlic, green tea, peppers, turmeric
3. Exercise
4. Meditation
5. Quality sleep","Enchera yokomenta ogwetanga korwa Covid 19
 1.Kanywe amache amange - chilita 3-4 kera rituko
 2.Kari chindagera buna amapera, chinyeni chiekegusii, egetunguo saumu, n.k
 3.Tarataria omobere
 4.Okoiranerera
 5.Chitoro chiisaine",Health
Sugary juices and sodas are harmful to babies and increase the risk of obesity and tooth decay.,Ebinyugwa bigwansa nechisota neɓibe ase abana naende binkomenta ekenoro na ogosareka amaino,Health
"The â€œpushâ€“pullâ€ technology is one example of this, using one plant species that pushes fall armyworm away from maize and another species that pulls them ...","Etekinorochi ya â€œpushâ€“pullâ€ nekiorokererio ekemo, ase ogotumia ekemeri ekemo goseria amakonde gose chingeti korwa ase ebituma naboigo ekeri kende ekio kegochingusa...",Agriculture
Teach children stranger danger rules and ensure they travel in groups. Report missing children immediately.,Somia abana tibakwana omonto batamanyeti gose kobwatia amang'ana yomonto batamanyeti buna enchere engiya yokwerenda na gotara amo abanto abange. Karwe amangana igoro yomonto otaoyi otari konyorwa gochia ase abambi gose porisi.,Security
Keep car doors locked and windows up when driving in high-risk areas.,Sieka emerangu yerori yao na koyeroki buya ekero okogendia erori yao ase chirori nabanto bare abange gose obosaria bwa igoro.,Security
"Make up a good agri business plan, incorporating irrigation or dairy farming . Learn basic tips and loans acquisition.",Rosia omoreberio omuya bwoboonchoreria bwoboremi bwao as ogosiarera amache gose omoremi bwechiombe chia amabere. Egera igor yechinsemo chibwenerete chiragokonye ase okonyora eroni yoboremi,Agriculture
Announcement on educating people in the whole region on poor eating habits in the counties,Okoraria kwa amaegerio ase orogongo orogima erio gosegeta emeroberio yobobwenia ase ogotanga koragera orachi ase chikaunti,Health
"A malaria vaccine tested in Kenya gains WHO prequalification, costing as low as Sh300, becoming the world's second vaccine on the global prequalified list.","Eriogo ria esindani y'ogotanga Esosera, riabeire rigotemwa ase Ense ya Kenya rianyarire goancherwa na goetigwa ase ekerengo egetang'ani na WHO. Nigo rikoonigwa sh.300, naende riabeire esindani ya kabere ase amariogo aria aetirigwe ase ekerengo ekio .",Health
Detailed research done in Northern Nigeria with AATF and partners has borne great perspective among maize farmers .,"Obokongoria bwabeene bwakoretwe aria Irianyi ya Nigeria na AATF, na abamwabo mbwaorokerertie ng'a ogotareng'ana gati yomonto omosacha na okungu ase engencho yobogambi na ekemira igoro yoboremi bwabobuna nomochando omonene as oboremi bwebituma.",Agriculture
"Understand the importance of using certified seeds for tea to ensure high germination, varietal purity, and yield potential.","Manya obuya bwogotumia embusiro erengire yebimeri biechae goikerania  okomera okuya, oboikeranu bwembego yechae ao ao, na buna rigesa raiye rire ria igoro.",Agriculture
"To attain market access and to support such institutional programs in a country is a central support..availability and grants on agricultural markets and insured agriculture . In County, priorities are taken seriously..","Goikera echiro yoboremi na gosira emeroberio yekeombe ekio kiogokonya oboremi. As ense, omoroberio ogati orengete gosira ...",Agriculture
Parents: Pay zero fees for public secondary ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ report any school demanding money to 0800721490 now.,"Abaibori: Timoakana besa ende yonsi gochia esukuru yesekenderi, karwe amang'ana igoro yesukuru ende yonsi egosaba chibesa goetera esimi 0800721490 bono.",Education
"Upgraded polio vaccine being administered. Some mothers complain of ‘serious’ symptoms. Ministry says symptoms, reactions are normal","Echancho ya polio engikeranu yarurwe Abangina bande bemurunganiri ase ebimanyererio 'ebibe' Ewizara yatebire, ebimanyererio nebia botambe",Health
TVETA launches a mobile learning app providing access to tutorials and assessments for TVET students on the go.,Aborai bwekeombe keria ekenene getenerete chikorechi chiobobundi nechisemi chiokwegendereria TVETA lyaansire amasomo goetera egekoreri gieintaneti gekworokereria buan abarimu bakorenga abana namasomo abo ase TVET na kogenderera .,Education
"A good sweet potatoes variety planted in Nakuru Kenya are eaten across East Africa. Maize has maintained as a core crop over time. However, it has been hit with diseases since then. This has brought about harvest losses and a threat to food security in Kenya. For this reason, from 2008, kenyan government decided to remove dependency on maize by adopting potatoes.","Embusuro engiya yamarabwoni agosimekwa aria Nakuru Kenya nigo akoriegwa Afrika ya mocha engima.Ebituma nabio endagera enene ase emiaka amagicho . Korende, oboremi obo ase engaki entambe bwebibituma bwagosirwe nendwari . Goetera endwari eye rigesa riebutuma riakeanire na igo komenta enhara. Ase igo, korwa omwaka 2008, borai bweserakari ya Kenya nogendereta korigwa endagera rika rie bituma na goikera oboremi bwa amarabwoni buna obwengencho.",Agriculture
Always check expiry dates on food products to avoid food poisoning.,Kera engaki mongera chitariki chiendagera kogunda otaragora erio bwerende gotara na koria endagera eng'undo ekoretere obokong'u.,Security
UNODC and Kenya partnership to enhance legal frameworks and build investigative capacity against terrorism.,Ekeombe kiobomo bwechinse chiria chikwegambera korwania amariogo agotindia (UNODC) goetera okobwaterana na Kenya mbabwateranete goikerania amachiko yokorwania obokebago na gokinia chinguru chiobotuki bwobokebago bwokoruta chipomu.,Security
Suspected child abuse should be reported immediately to police or through the *116# anonymous helpline.,Abana ekageire gokorerwa bobe gose gotibongwa goika eripoti erugwe gotachererwa gochia ase abasikari goetera enamba eye yesimi *116# otari kwemanyekania.,Security
Kitale National Polytechnic introduces drone technology training.,Kitale National Polytechnic yachakire gosomia abana chisemi chiokogendia chindege chitari nomogendia (Drone).,Education
AATF ( African Agricultural Technology Foundation) is a non profit making organisation with sensitization programs among small scale farmers in desert Africa.,AATF (African Agricultural Technology Foundation aiga Afrika nekemo kiebiombe getari korosia obaita aiga Afrika kegendereretie koereria chisemi as abaremi bemegondo emeke aiga Afrika yensemo enyomo,Agriculture
Government distributes mosquito nets in malaria fight. Kilifi County is one of the beneficiaries. Nets program was flagged over procurement irregularities. MOH wants to distribute 15M nets in 22 counties,Eserekali yaenanire chineti as esegi ya Malaria. Ekaunti ya Kilifi neyemo yabo ase chiria chigochi konyora. Omoroberio bwe’chineti nigo oetwe oborabu igoro ya ogotabwati amachiko y’ogochigora. Ewizara ya Afya nigo etagete koenana chineti milioni 15 ase chikaunti 22,Health
"Emplyers are able to know their employees suffering from mental problems when at work by obserbing their change in character, through absenteeism, non productivity or isolating from other workers","Abariki chigasi nabo bakonyara komanya ebiorokereri biobokong'u bwoborwaire bw'obongo ekero bare ase egasi ase okorora oboonchoreria bwebikoru biabo, buna okoriya emeremo, ogotaikerania emeremo buya gose kwerusanania korwa ase abokori emeremo bamwabo.",Health
REPORT CORRUPTION @EACCKenya urges Kenyans to report all forms of corruption for investigation. EACC treats all reports with the utmost confidentiality and subjects them to a meticulous analysis process. Below is the reporting process.,ENANA AMANG'ANA IGORO YOBOKURUMI@EACCkenya yababoririe abakenya koenana amang'ana igoro yobokurumi honde bwensi ase obotuki bene. EACC nigo ekeonekia ng'a amang'ana onsi okoenana abekirwe ase obobisi nakoringorigwa bene. Nabo okoenanana amang'ana ao goetera enchera eye.,Governance
Discussion of Kenya’s intelligence led counter terrorism operations informed by past attacks.,"Chinkwana chiobotuki bwa Kenya nekeombe keria kiobotuki gokinana nobokebago bwokoruta chipomu, nemeremo yakoretwe nigo yasiretwe nokomanya kwa ayakoregete nyuma.",Security
Ensure compliance with 2008 school safety manual.,Rora nga noikeranetie amachiko boronge igoro yegetabu kiomoroberio bwoborendi bwesukuru 2008.,Education
Security audit in all national schools starts Monday ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ cooperate with officers!,"Bwatia komanya buya buna esukuru egendererete ase chibesa nebinto biaye goikerania oboteneneri obuya na gptanga oboibi nechake etichirimo, bwaterana nabateneneri.",Education
"Clean schools, healthy students! Maintain sanitation to stop cholera.","Sibia chisukuru, abana bare na afia engiya! Renda obochenu bwechicoo na amache gotanga endwari yogosaa.",Education
Reduce class sizes 2022.,Keania abana ase ebirasi 2022.,Education
"..farm produce, together with agibusiness sector, the market has a favour of oligopolistic dimension to attain their market needs..though there's pressure from large scale farmers, posing a challenge from reaching markets with their produce..","…oboremi nerigesa, naboigo goikerania echiro yoboremi bwabo bwoboonchoreria nigo bamigire nabaremi bake bemegondo emenene na yabeire akong'u goikera echiro yerigesa riabo…..",Agriculture
Ministry of Education conducts VR-based teacher training workshops to familiarize educators with immersive teaching tools.,Eminisitiri yechisemi nkoba ere nemeroberio bwokoroberia na koira amasomosomo abeene ase abarimu goetera etekinorochia yebiorokererio goetera chitibi gati yomwana nowarimu.,Education
"Good yields have been noticed with mixing maize and desmodium for introducing shades, the push-pull approach.",201. Rigesa rigiya ndianyorekanete koburania ebituma nekemeria gia deimidiam as engencho yogosegeta koburukania ebimeri biendagera amo nebimeri binde amo nemete gokoreta ekiriri as ebimeri.,Agriculture
"The launch of the plan to defend digital services, to promote good encouragement through nowardays organizations to leverage foods from FOP, and policy change.","Ogochakigwa kwomoroberio bwokoegerera obokoreri bwegedichitali, gosegeta ogotiotereri okuya amo nebiombe bia bono erio koaranani chindagera, okobeka amang'ana a'FOP, na oboonchoreri bwamachiko",Health
"If the cord stump bleeds or oozes pus, seek medical attention immediately.","Onye ekenyogu gekorwa amanyinga gose amaira, rora omonyagitari bwango",Health
Keep hot drinks and cooking pots away from childrens reach to prevent burn injuries.,Beka are ebinyugwa bire morero na chisuguria chiokorugerwa korwa ase abana gotanga emebasokano,Health
"However, he assured the public that the Ministry of Education had put in place emergency measures to ensure candidates in affected areas continue their exams without interruption.","Nonya nigo, naenekeretie abanto bonsi ng'a Eministiri yesichisemi pyeariganirie nemeberoberio temebasekano erio korenda nga abana baria bagochia gokora amatemwa ase chingongo chiria chire neminano bagenderere gokora amatemwa abwo bokong'u botaito.",Governance
Bura MP Urges Tana River Residents to Register as Voters,omochumbe o'bura obaboririe abamenyi batana river kwerikia buna abaaki chikura.,Governance
Ministry of Education rolls out program to equip secondary schools with ICT labs and train teachers on usage.,Eminisitiri yechisemi  nkochakia ere omoroberio bwokobeka chisukuru chiesekenderi chibwate ebitabu biamasomo yokobwata na koenana amangana (ICT) naboigo kwegeria abarimi buna bakobitumia.,Education
"'The government must facilitate people's right to protest, an important way for citizens to express themselves and participate in governance processes,' said Mugambi Kiai, ARTICLE 19 Eastern Africa Regional Director.","Eserikari goika erwe ribaga rioboronge bwabanto facilitate people's right to protest, an important way for citizens korwa ebirengererio biabo, koboria amaswari na goteba buna bategete ase obogambi bwabo,' buna atebete Mugambi Kiai, Omoteneneri Omonene bworogongo rwa Africa ya Mocha RICHIKO19.",Governance
Register for KCPE 2020 despite delays.,Erike gokora amatemwa KCPE omwaka 2020 nonya okonyorwa koreo.,Education
KNEC to conduct training for teachers on new e-assessment tools for continuous assessment.,Ekeombe keria ekenene getenerete amatemwa KNEC ngesomia abarimu igoro yokorengwa kwa abana okoyia nakogenderera.,Education
Security operations intensified in Kitale and North Rift to combat cattle rustling with specialized units deployed.,Emeroberio yoborendi aaria Kitale na North Rift bangangane gokora aboibi bwechiombe ase okobwaterana nebitengo bieserikari bia beene biatomirwe aroro.,Security
PSA encouraging use of organic fertilizers to improve soil health.,PSA nogo egosegeta enchera yogotumia obwoyo bwekweroseria goera eubi ao ao erio kogesa afia engiya ase riroba riao,Agriculture
"Climate-smart agriculture practices include holistic integration, crop adaptation, livestock management, land/water management, and efficient energy use.","Kwegera omoroberio bwoboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura nigo orengete okobwaterana chinsemo chinyinge buna, gosimeka ebimeri biria bikoremereria rire, oboremi bwetugo obuya, oborendi obuya bwemegondo/amache, na ogotumeka okuya gwechinguru chiomorero.",Agriculture
Ministry of Education launches a digital portal for school health and nutrition data collection and management.,Eminisitiri yechisemi yaansire emeroberio yegeintaneti arengete afia yechisukuru na gosangereria amang'ana na koyatumia buya igoro yoborageria obuya.,Education
"Public launch of rice products fortified with iron, folic acid, B-vitamins, iodine and zinc, aligned with government fortification standards.","Ogochakigwa gwechindagera chinde chire ase omochere omentire ebioma bia asidi ya foliki, ebitamunusi B, ayodini na zinki, gochia amo neserekari erobereti",Health
"All gatherings, sports,celebrtions and worship gatherings have been suspended. Religious meetings may continue with their worshing programs if they observe prevention measures. Schools will also remain open if they observe protocols but sports have been suspended.","Emesangererekano yonsi, chigosori, emeyega amo na emesangererekano yechikanisa yatenenigwe. Chikanisa nabo chikoba nesangererekano yamasabo onye rioka chikobeka esabuni yogosibia amaboko. Chisukuru nabo chigotigara koigorwa korende chigosori gati ye chisukuru chiatenenigwe.",Health
AP News covered Mwangi’s release on bail and rights groups’ criticism of terrorism charge misuse during protests.,Managana amayia yabasikari boborai (AP) nyarigete igoo yokobwatokwa kwa Mwangi ase ogotenenerwa nebiombe biokoegerera ebio biangete okobekererwa kwobosaria bwobokegago bwokoruta chipomu ekero bakorobererekana.,Security
Download KCSE sample papers from KNEC portal.,Nyora ebikworokereria amatemwa amatemwa esekenderi (KCSE) korwa ekeombe keria ekenene getenerete amatemwa (KNEC).,Education
Breast milk contains nutrients vital for a babys brain development.,Amàbere angina nabwate obuya bwengecho ase okoagacha ogokina kwa obongo,Health
"The police chief further urged the public to stay alert, adding that all rescued individuals had been documented and allowed to return home as investigations continue.","Omosikari omonene akagenderera gosaba abanto ng'a babe maiso, na kogesa nga baria bonsi bakonyetwe mbarikire bonsi na bancheirwe koirana chinka chiabo ekero obotuki bogendererete.",Governance
"Other factors that are likely to affect agricultural TFPG are access to markets and credit, and a number of farm-specific factors like farm management and ...","Ebinto binde biranyare kogocha oboremi TFPG nokonyorwa goikera echiro na amakobeso, na amangana ande abeene buna ebwenerete korenda oboremi amo na ...",Agriculture
KICD announces partnerships with publishers for the development and distribution of digital textbooks for CBC.,Ekeombe keria getenerete buna amasomo akorosigwa (KICD) kiararirie okobwaterana amo nabariki ebitabu korika nakobaga ebitabi biegedichitari biogosoma bia CBC.,Education
Raise awareness! Educate students on protest safety.,manyia abanto! Somia abana buna  barakore korobererkana miochando otaiyo.,Education
USDA promotes regenerative agriculture for livestock.,USDA negendererete gosegeta oboremi bokorenda obotobu bweriroba as afia yetugo.,Agriculture
Children experiencing trauma need psychological support available through free counseling services.,Abana bare ase ogochandeka bwebirengererio mbagabeti ogokonywa kobakonya gokinania omochando oyio bosa goetera chinkwana nomonyagitari konyora chinguru chiogokinana nebirengererio.,Security
"Get your soil tested by KALRO Soil Testing Lab to understand its nutrient levels and pH, guiding you on the right fertilization for beans.","Renga riroba riomogondo oo na KALRO erio komanya ebirengo biobotobu bwaye , ekio keragokonye gose gokoraa komanya mbwoyo I omogondo oo aganetie ase oboremi bwechingende.",Agriculture
Stay cautious! Avoid strangers and report risks to teachers.,Renda kegima! Kabe are nabanto otamanyeti na karwe amangana gochia ararete bokongu bonde bwonsi gochia ase abarimu.,Education
Busia women rep urges the government to implement the county Revenue Bill.,omobunge omochore ase ekaunti ya Busia orure okoboria gochia ase  eserekari yekaunti eyuo goikerania ebirenga biebango ase ekaunti eyuo.,Governance
Songs submitted via Instagram,Chingero chitomire goetera Instagram,Education
Announcement that the Kenya National Commission on Human rights to include mental health in its services as part of human rights,Okorari ng'a Ekeombe Ekenene Giokoegerera Mwanyabanto kemente obochenu bwobongo buna obomaene bwa mwanyabanto,Health
"Talk openly! Schools, promote mental health awareness.","Kwana otari kobisa! Chisukuru, segeta okomnyigwa igoro yobuya bwenkoro yomorembe.",Education
Commissioner Cherera urges women to mobilise and bring out those not registered to enlist as voters,Omokomishona Cherera oboririe abangina gocha amo na koerikia buna abaaki chikura,Governance
Rift Valley Technical Training Institute leads in competency-based TVET.,Ekorechi ya Rift Valley Technical Training Institute netang'aine ase amasomo obobundi TVET.,Education
UN concerned over protest deaths; calls for accountability.,Obiomo bwechinse chikwegambera (UN) nechandegete igoro yamakweri abaria bare koroberekana; baboririe eserikari kobogoria obobe obwo.,Security
An association in Kenya (AMS) 2023-2032 focuses on the use of digital technology in improving productivity in markets for small scale farmers.,Ekeombe gia Kenya ekio kerengete emeroberio yoboonia (AMS) 2023-2032 nkworokereria kere buna okoreng'ania obokoreri bwegedichitari na etekinorochia erio kwangoyia ogosoa echiro ase abaremi bemogondo emeke.,Agriculture
"The Ministry of Health has launched a marathon on HIV AIDS in the month on 1 of December, aimed eliminating the disease by 2030","Ewizara ya obochenu yachakirie chimbero chia Marathoni chia oborwaire bwenyamoreo chirakoreke omotiènyi o'ikomi na kabere, etariki eyemo, erengete gosiria oborwaire egoka omwaka 2030",Health
Women in politics face violence aimed at limiting participation. Electoral laws protect candidates and voters from gender-based harm.,Obakungu bagokora siasa nigo bagokorerwa bobe korengete gokeania esiasa yabo gochia ase abasqacha. Amachiko obochori nkorenda are abarigia chikura nabaaki chikura korwa gokorerwa bobe ekiagera eki bare.,Security
Ministry of Education partners with universities to sponsor national math olympiads for gifted students in secondary schools.,Eminisitiri yechisemi nkobwatana ere nechiyunifasiti nkorwa bare chibesa nebiganeirie ase abana bechisekenderi baria bare nebiegwa ase chisabu gokoamererania nabande korwa isiko.,Education
"Invest in cold storage to significantly extend the shelf life of perishable fruits, allowing you to sell at better prices and reduce waste.","Rosia chinyomba chiobokendu ase okogacha chindagera chiria chigosareka bwango buna enchera eyemo yogochigesa amatuko koganyete gochiira echiro  buna chinyanya nechingeni na amabere, eye nigo ekogonya gochigaka erio gochionia chingaki chia motwe ase rigori rigiya na gotanga asara.",Agriculture
Organize debate clubs 2020.,Roberia koba nebiombe biokoenena obosemia 2020.,Education
The Ministry to fulfil its in reducing opoor eating habits in villages,Ewizara goikarania amaorokererio gokeania okoragera orachi ase ebinyoro,Health
Farmers and business people in Asia-Pacific have progressed their agriculture Through digital technology. IFSD and Grow Asia they recently released...,Abaremi na abanyabiasara boboremi as ense ya Asia-Pacific bagendereirie oboremi bwabo goetera enchera yegetekinorogi yegechidichitari. IFAD na Grow Asia bwango iga mbasogetie a ...,Agriculture
National Counter Terrorism Centre organized a five day workshop to contextualize a national manual on gender mainstreaming in counter terrorism.,Ekeombe keria ekenene gekorwania obokebago bwokoruta chipomu (NCTC) nkiaroberetie ogasanga amo kwegera komanya egetabu gekworokia buna okobwaterana na banto bechingencho ao ao nobomanyi bwabo erakonye korwania obokebago bwokoruta chipomu.,Security
"Kenya signs six Global Fund grants amounting to Sh59.7 billion to support HIV, TB and malaria interventions; funding to strengthen health and community systems over three years.","Kenya kobeka eseii obokonyi bwa chibilioni sh.59.7 korua ase ekegancha gi'ense'/Global Fund, echio chigokonya gosira emeroberio ya oborwaria Bwa Enyamoreo Esese na Esosera, ogoakana oko nigo kogokong'ia oborwaria naboigo chitini chiebisaku ase emiaka etato",Health
KNEC begins pilot rollout of e-assessment systems in selected primary schools to improve evaluation methods.,Amatemwa esekenderi KNEC giansire korenga chisukuru nke chiachoretwe goikerania okorengwa gwechisukuru.,Education
"KNEC opens KCSE remarking window ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pay Ksh 1,000 per paper before Nov 30!","KNEC opens KCSE remarking window ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pay Ksh 1,000 per paper before Nov 30!",Education
"World Accounty, through its company incharge of distribution of drugs and other medical gadgets, is distributing nets in various counties in Kenya with high malaria burden","Ekegancha gi'ense, goetera ase ekampuni y'okobaga amariogo amo na ebinto ao ao bi'oborwaria, nkobaga kere chineti ase chinsemo ao ao chi'Ense ya Kenya chiria chibwate Esosera kera engaki .",Health
UK enhances bovine tuberculosis testing and vaccination to protect dairy herds.,Ense ya UK yaichoiri ebirengo biogopima endwari yekuba ekene ase etugo na okobeta chisindani .,Agriculture
TSC launches comprehensive digital literacy training program for all teachers to improve ICT integration.,Ekeombe ekene kia abarimu (TSC) giansire omoroberion omoikeranu igoro yechisemi chiegedichitari goetera kwegeria abarimu bionsi bobwatania amasomo etekinorochia yamangana na koererania ICT.,Education
"Continue breast feeding the child at night, and eat foods that add milk to your body for the child to breast feed",Genderera kogonkia omwana botuko na komenta amabere,Health
"Kiosks of Mombasa Covid 19: Testing kiosks without toutching is implemented in 6 elective counties in which there is no physical contact with the doctor and the patient. These kiosks test safely and with security, very fast and in plenty. These kiosks are build in this areas have become game changer",Ebisa bia Mombasa Covid-19: Ebisa biogopimwa otari gokunwa nkoenanu bire ase amajimbo 6 y’obochori. Ebisa tibibwati gokunana konde gwonsi gati y’omonyagitari amo n’omorwaire. Ebisa ebi nigo bigoanchera ogopimwa kobwate oborendi naende kwa bwango na obonge. Ebisa ebi biroseiri ime y’ensemo eyio biarokirie obokoreri oboyia.,Health
There is no health without mental health,Borwaria tiboiyo one oborwaria bw'obongo tiboiyo,Health
"Acceptance of climate smart agriculture (CSA). For example, when trying smart farming alongside weather understanding for a long period,inheritance land security is important.","Ogoitabeka kwoboremi bokogenda nerire (CSA). Buna ekiorokererio, buna ogotema oboremi obuya werire bogendererete cgokorwa neganeirie ogotugekwa ogotambe, na amachiko amaya igoro yobteneneri bwemegondo ase gokomboa emegondo...",Agriculture
Residents in flood and conflict‑prone areas ordered to evacuate with routes and shelters listed.,Abamenyi bari bare aase emegoko gose aregire chimanano bachikirwe kong'anya korwa ase ande onsi ararete emechando gochia ase atebire neserikari gose chinyomba chiria eserikariyatebire.,Security
IEBC designs interactive games to teach electoral processes.,IEBC designs interactive games to teach electoral processes.,Education
Pilot providing mobile seed kits and training to women's groups to grow nutritious food in informal settlements.,Omorundi chindege okorwa ebikoreri biechintetere am na koegeria ebiombe bia abakungu gosimeka chindagera chibwate amadini ase babegete obomenyo.,Health
"The launch of digital coordination for farmers, schools and traders in leveraging feeding in school openly","Ogochakigwa kwa oboereri ase dichitol kobwatani abaremi, chisukuru na abaonchoreria kobeka teneni okoragera okuya ase chisukuru",Health
Teachers receive training on effective use of digital learning tools and platforms in classrooms,Abarimu nkonyora bare okwegerigwa buna ebwenerete gotumia amasomo igoro yebikoreri biegedichitari na ase gosomia chisukuru chiabo.,Education
Technology of cold storage of AkoFresh has helped farmers in preservation of their produce for upto 21 days. This solar energy technology has proved effective and dependable in preserving fresh perishable produce.,"Etekinorochia ya AkoFresh cold storage ngokonya ere abaremi ase okogacha rigesa riabo as enkendu yerigesa riendagera riria rigosareka bwango korwa mogondo goika amatuko nonya 21. Etekinorochia eye egotumia chinguru chierisase yabbeire eyengencho kegima, na...",Agriculture
The push-pull technology by ICIPE in the fight of fall army worms.ICIPE. plantwiseplus knowledge bank information of Video Factsheet 12 September 2024.,Ebitambokero goetera ebio ICIPE bigosegeta etekinorochia mbire nobobui goita amakonde buna chingeti. ICIPE. PlantwisePlus Knowledge BankVideo Factsheet 12 September 2024.,Agriculture
