English,Domain,Source,SourceFile
County is characterized by both bushland and grasslands across the predominant livelihood zones.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
The rainfall received during the month of April and May 2025 had impacted positively on vegetation across the livelihood zones.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
It is worth noting that Baringo County is heavily infested with invasive plant species such Prosopis Juliflora particularly in areas surrounding Lake Baringo.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
These invasive plant species could be indicating higher vegetation greenness which is non palatable to livestock.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Satellite derived data shows rapid improvement in vegetation greenness as depicted in normalized difference vegetation index (NDVI) in the figure 3 below.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Normalized Difference Vegetation Index (NDVI) for the of March 2025 indicated steady improvement and was above the 2003 – 2022 years average as per the satellite driven imagery (Figure 3).,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Pasture and Browse Condition Despite the rainfall received, there was limited vegetation greenness observed in several areas of the county, attributed to poor pasture regeneration.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
The current conditions are below average.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
remains in fair condition.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Around 63–78% of key community informants noted that the forage condition was fair, while 33% reported the pasture as poor.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Only 4% and 15% of informants said that the pasture and browse were in good condition (Figure 4).,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Majority of households relied on open surface water sources for the month of March and April 2025.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
This is due to commencement of the long rains season that has so far been characterized intermittent and depressed storms.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"During the month under review, households mainly depend on rivers, traditional water wells, and water pans for their domestic and livestock water needs.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Some slight recharge was observed in open water sources in a few areas.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"However, water turbidity was high due to surface runoff caused by soil erosion.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"The proportion of households accessing water from rivers and traditional river wells increased to 25% and 28%, respectively, up from 21% and 25% recorded in March 2025.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Meanwhile, the proportion of households relying on pans and dams slightly decreased to 20% from 21% in the previous month.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
The use of other water sources remained relatively consistent with the figures recorded in the prior month (Figure 5).,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"In the reported month, the average household trekking distance was 3.6 km, reflecting a 10% decrease compared to the previous month.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
This distance is 20% below the long-term average.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Pastoral zone walked 3.3 km, and households in the Irrigated Cropping zone trekked only 1 km.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Water consumption at the household level remained low, ranging from 5 to 10 liters per person per day, which is significantly below the recommended SPHERE standards.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"The average trekking distance for livestock from grazing areas to watering points was 5.4 km, which represents a slight decrease from the 5.7 km reported in February 2025.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"sites, reaching up to 10 km to 8 km.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
distance is 32% lower (Figure 7).,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"rainfall expected to peak in May 2025, there is a likelihood of further forage rejuvenation and increased recharge of water sources.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
This is expected to further reduce the trekking distances between grazing fields and watering points.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Body condition scoring (BCS) for cattle enables producers to evaluate the fat reserves of cows at different stages of production.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Most livestock owners (59%) indicated that their animals had a moderate body condition, neither fat nor thin this was an improvement as compared to 50% the previous month.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Meanwhile, 19% reported that their livestock displayed borderline conditions, with the fore ribs not visible but the 12th and 13th ribs visible a reduction in comparison to 37.5% previously.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Furthermore 22% noted that their livestock had a good, smooth appearance in terms of body condition.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
There was no livestock disease outbreak reported within the county.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"However, livestock disease surveillance reports indicated existence of endemic cases of diseases such as Peste des petits ruminants (PPR), Contagious caprine pleuropneumonia (CCPP) were reported across the livelihood zones.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
No unusual livestock deaths were experienced within the period under review.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
average of 1.9 liters of milk per day.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
This marks a 27% increase compared to the previous month's average of around 1.5 liters per household per day.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
the remainder given to children under five years old.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Compared to the long-term average, the current daily milk production of 1.5 liters per household is 64% higher than the typical amount for this time of year (Figure 8).",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"During the month the crops in the Irrigated, mixed, Marginal mixed, and Agro pastoral livelihood zones are at knee high, and others are at weeding stage.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"However, a few farmers are still planting their farms across the livelihood zones.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
4.0.0 MARKET PERFORMANCE 4.1.0 Livestock Marketing 4.1.1 Cattle Prices.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Cattle selling prices have been slowly declining however it stabilizes compared to last month average price.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
The decline is attributed to low presence of external traders in main markets due to imperfect market operations coupled with road banditry.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"observed, attributed to better nutrition from regenerating rangeland resources.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Currently, the average live weight retail price for a 3–4- year-old heifer or bull stands at Ksh 23,981, reflecting a two percent increase from the previous month's average of Ksh 23,489.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Markets such as Marigat, Loruk, Sibilio, and Kokwatoto reported higher prices, ranging between Ksh 30,000 and Ksh 35,000 for healthy, medium-sized cattle.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"In contrast, markets like Kamurio, Nginyang, Chepngeret, and Ngoron recorded lower prices, averaging between Ksh 10,500 and Ksh 17,000, largely due to insecurity or their inaccessibility to external traders.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Despite the decrease, the retail prices compared to the three-year short-term average, is 64 percent higher for the same time of year. (Figure 9).",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Unlike cattle prices, goat prices recorded a slight decrease compared to the previous month's average.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"The current average retail price stands at Ksh 4,489, down from Ksh 4,604 recorded last month.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
numbers were limited due to households preferring to sell them at a younger age to meet basic needs.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Compared to the short-term three-year average, the current goat price is 48 percent higher for the same period. (Figure 10).",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Maize market prices have continued to rise gradually, impacting the cost of maize flour, a staple food for many households in the county.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
kilogram retailed at Ksh 90.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"varying prices, ranging from Ksh 50 to Ksh 75 per kilogram.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"2024), the current maize price remains five percent lower for this time of year.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Prices are expected to continue rising as household stocks diminish until the next harvest season, anticipated around August 2025.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"The average price of beans remained relatively stable, recorded at Ksh 176.7 per kilogram compared to Ksh 175.6 the previous month.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Most sampled markets reported prices ranging between Ksh 180 and Ksh 200 per kilogram, while Marigat had the lowest price at Ksh 140 per kilogram.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"average (STA), the current price is 10 percent higher than the three-year average for the same period (Figure 13).",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"3 Terms of Trade Households in pastoral and parts of Agro-pastoral livelihood zones primarily rely on livestock sales, especially goats, to meet basic needs such as food, clothing, and school fees.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Goat-to-maize terms of trade remained above average, supported by strong goat prices in local markets.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
The income obtained by selling one goat could purchase approximately 66 kilograms of maize in the market.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"This favorable exchange rate benefits pastoral households, as it ensures that selling a single goat can significantly support their food needs, assuming all proceeds are spent on maize.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"kilograms due to lower maize prices; agro-pastoral households averaged 66 kilograms, while pastoral households averaged 63 kilograms.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"condition of livestock and the ongoing calving of cows, camels, and kidding of goats.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Overall, the reported average was 60% higher than the long-term seasonal average.as shown (Figure 15).",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Programme’s Vulnerability Analysis & Mapping defines the Food Consumption Score (FCS) as a composite measure that reflects dietary diversity, food frequency, and the nutritional value of various food groups, based on a seven-day recall of household food consumption.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Overall, most households recorded either borderline or acceptable food consumption patterns.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Borderline consumption, characterized by daily intake of staples and vegetables with occasional consumption of oil and pulses, was observed in 54.3% of households.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Meanwhile, 39.4% of households exhibited acceptable consumption, which includes daily staples and vegetables along with regular intake of meat or dairy products.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Pastoral livelihood zones, approximately 7.1% of households had poor food consumption, meaning they relied primarily on staples and vegetables with little to no access to protein-rich foods like meat and dairy.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"with access to variety of protein rich food such as eggs, milk and fish from Lake Baringo.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"related stresses, and limited access to essential services.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
were particularly noted in the Pastoral and Agro-Pastoral livelihood zones.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Circumference (MUAC), stood at 22.6% in April.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Most households in Pastoral and Agro-Pastoral areas reported consuming only 1–2 meals per day, which falls short of the recommended 3–4 meals.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Hotspot areas for malnutrition included Akoret, Komolion, Ribko, and Orus, all within pastoral zones.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
The current proportion of children at risk is 53% higher than the long-term average for the same period. (Figure 16).,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
No human diseases outbreak that was reported during the period under review.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"There were reports that children have suffered illness which are either diarrhea, fever with difficulty in breathing or fever with chills like malaria.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
4 Coping Strategies 5.4.1 Coping Strategy Index Households facing acute food shortages adopted various coping strategies to meet their immediate food needs.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Common approaches included relying on less preferred or cheaper foods and cutting back on non-food expenditures.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"A small number of households, especially those near urban centers, turned to charcoal burning as a way to cope.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"The Coping Strategy Index (CSI), which measures how often households resort to harmful strategies when they lack sufficient food or money, recorded a mean score of 12.11 in April — a slight decrease from 13.16 in March 2025.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Overall, 53.3% of households engaged in stress-level coping strategies such as borrowing money or using up their savings.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Another 30.7% adopted crisis-level strategies, like selling productive assets, while 15.9% reported not employing any food-related coping measures.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"CSI scores varied by livelihood zone, averaging 15.1 in Pastoral areas, 9.8 in Agro-Pastoral zones, and 3 in Irrigated Cropping zones. (Figure 18).",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
distribution of specialized nutrition commodities7.6MT- RUSF.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Road banditry has been rampant along the Marigat to Chemolingot road.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
vehicles were attacked claiming human lives and several injuries.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
The incidences had negative impact to Nginyang Market operations which is the key market for livestock and food stuffs in the Pastoral livelihood zone.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"Banditry makes it dangerous for traders and transporters to travel, leading to delays, reduced supplies, and higher prices for goods.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"April 2025 rainfall outlook shows that counties within the Lake Victoria Basin (Siaya, Kisumu, Homa Bay, Migori, Busia, Highlands West of the Rift Valley (Bungoma, Kisii, Nyamira, Bomet, Nandi, Kakamega, Vihiga, West Pokot, Elgeyo Marakwet, Trans Nzoia and Uasin Gishu), Central and South Rift Valley (Baringo, Nakuru, Narok and Western parts of Laikipia County): The total amounts of rainfall expected are likely to be near to above average.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Occasional storms are also likely to be experienced.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
activities through the month of May 2025.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
above average rainfall in the month of May 2025.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
and central during the peak of the rains.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
trigger more Agricultural labor-based activities in the irrigated farms.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
markets for food through end of June 2025.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
8.0 RECOMMENDATIONS 8.1.0 Proposed Recommendations 8.1.1.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
harvesting and storage techniques.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"such as rivers, Lake and dams.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"malnutrition, including inpatient and outpatient care.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
"women, for malnutrition using anthropometric measurements and intensifying support for integrated medical outreaches in hotspot areas.",Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Promote community rangeland management practices in terms of pasture conservation through rotational/deferred grazing systems.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Support farmers with extension services across the crop growing zones.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Baringo and those in landslide high risk areas.,Agriculture/Disaster,NDMA Baringo Drought Early Warning Bulletin April 2025,Baringo_DEW_Bulletin_April_202520250516125942.pdf
Situation & EW Phase Classification Biophysical Indicators Rainfall The county received insignificant rainfall during the month of November.,Agriculture/Disaster,NDMA Mandera Drought Early Warning Bulletin November 2025,Mandera_DEW_Bulletin_November_202520251219081652.pdf
⚫ The vegetation condition Index (VCI-3Month) recorded during the month under review was 28.64 compared 34 of the previous month.,Agriculture/Disaster,NDMA Mandera Drought Early Warning Bulletin November 2025,Mandera_DEW_Bulletin_November_202520251219081652.pdf
