English,Kiswahili,Domain,Ekegusii
"NATIONAL TREASURY INITIATES TRANSITION TO ACCRUAL BASIS ACCOUNTING The National Treasury is pleased to announce the commencement of the transition from cash -basis accounting to the International Public Sector Accounting Standards (IPSAS) accrual basis, marking an important step in public financial management reform.","HAZINA YA TAIFA YAANZISHA MAPITO YA UHASIBU WA MSINGI UTAYARISHAJI Hazina ya Kitaifa inafuraha kutangaza kuanza kwa mageuzi kutoka kwa uhasibu wa msingi wa fedha kwenda kwa viwango vya kimataifa vya uhasibu katika sekta ya umma (IPSAS), kuashiria hatua muhimu katika mageuzi ya usimamizi wa fedha za umma.",Governance,
Embu (Mbeere) County: Drought Early Warning Bulletin for August 2024,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,Disaster/Health,
The Solutions and Mobility Index (SMI) for Tana River County aims to assess progress toward durable solutions for displaced populations (IDPs and IDP returnees).,"Uhamisho wa watu katika kaunti ni changamani, unachangiwa na hatari za asili kama vile ukame au mafuriko, ukosefu wa usalama na uhaba wa rasilimali.",Governance,
"The KCC's approach is guided by the understanding that how assistance is delivered, the scale of delivery, and what partners are engaged, account for the largest gains and losses in efficiency and effectiveness.","Mtazamo wa KCC unaongozwa na ufahamu kwamba jinsi usaidizi unavyotolewa, ukubwa wa utoaji, na washirika gani wanashirikishwa, huchangia faida na hasara kubwa zaidi katika ufanisi na ufanisi.",Disaster/Health,
"PAUSTI which is hosted at Jomo Kenyatta University of Agriculture and Technology in Nairobi, Kenya, opened its doors to the pioneer students in November 2012. The inaugural cohort graduated in record time in November 2014.","PAUSTI ambayo inaandaliwa katika Chuo Kikuu cha Kilimo na Teknolojia cha Jomo Kenyatta huko Nairobi, Kenya, ilifungua milango yake kwa wanafunzi waanzilishi mnamo Novemba 2012. Kundi la waanzilishi walihitimu katika muda wa rekodi mnamo Novemba 2014.",General,
Overcoming scarcity: how local innovations are transforming Western Kenya's agricultural landscapes (December 2025),Kushinda uhaba: jinsi ubunifu wa ndani unavyobadilisha mandhari ya kilimo ya Magharibi mwa Kenya (Desemba 2025),Disaster/Health,
"The Pan African University Institute for Basic Sciences, technology and Innovation (PAUSTI) prides itself as a postgraduate hub of research and innovation featuring a highly diverse faculty, and students drawn from whole of Africa.","Taasisi ya Chuo Kikuu cha Pan African cha Sayansi ya Msingi, teknolojia na Ubunifu (PAUSTI) inajivunia kama kitovu cha uzamili cha utafiti na uvumbuzi unaojumuisha kitivo cha anuwai, na wanafunzi wanaotolewa kutoka Afrika nzima.",General,
The H.E. will also engage on the importance of accelarating local manufacturing of vaccines & access to a future Covid-19 vaccine. #KomeshaCorona update.,H.E. pia itahusisha umuhimu wa kuongeza kasi ya utengenezaji wa chanjo nchini na upatikanaji wa chanjo ya baadaye ya Covid-19. #KomeshaCorona sasisho.,Public Health,
We call upon the County governments to make use of the guidelines on nutritional Management of COVID-19 to educate the communities on how they can boost their immunity. health.go.ke #KomeshaCorona update,Tunatoa wito kwa serikali za Kaunti kutumia miongozo kuhusu Usimamizi wa lishe wa COVID-19 ili kuelimisha jamii kuhusu jinsi wanavyoweza kuimarisha kinga yao. health.go.ke #KomeshaCorona sasisho,Public Health,
Kilifi County: Drought Early Warning Bulletin for June 2022,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2022,Disaster/Health,
"These areas, along with surrounding regions, have numerous informal and non-designated border crossing points that were not monitored by security or health officials.",Ukaribu wa kijiografia wa sehemu hizi za kuingilia ulisisitiza hatari kubwa ya maambukizi ya kuvuka mipaka inayoendeshwa na mwingiliano wa mara kwa mara wa kijamii na kiuchumi.,Health,
"Kenya - Floods, update (Kenya Met, media) (ECHO Daily Flash of 26 April 2024)","Kenya - Mafuriko, sasisho (Kenya Met, vyombo vya habari) (ECHO Daily Flash ya 26 Aprili 2024)",Disaster/Health,
"Let us continue to observe the containment measures of hand washing, maintaining social and physical distance and wearing of face masks among others. #KomeshaCorona update.","Wacha tuendelee kuzingatia hatua za kuzuia za kunawa mikono, kudumisha umbali wa kijamii na mwili na uvaaji wa barakoa kati ya zingine. #KomeshaCorona sasisho.",Public Health,
"Validation of elimination of mother-to -child transmission of HIV, syphilis and hepatitis B","Uthibitishaji wa kutokomeza maambukizi ya VVU kutoka kwa mama kwenda kwa mtoto, kaswende na hepatitis B",General,
"InMarsabit county(North Horr), KRCS reports reaching5,200+ householdsthrough such integrated packages, including targeted feed support alongside emergency water and food, an approach designed to stabilize incomes and prevent deeper asset loss while broader conditions remain crisis‑level.","Kaunti ya InMarsabit(North Horr), KRCS inaripoti kufikia kaya 5,200+ kupitia vifurushi hivyo vilivyounganishwa, ikiwa ni pamoja na usaidizi unaolengwa wa malisho pamoja na maji na chakula cha dharura, mbinu iliyobuniwa kuleta utulivu wa mapato na kuzuia upotevu mkubwa wa mali huku hali pana zikisalia kuwa kiwango cha mgogoro.",Disaster/Health,
"International experience confirms this reality. During the Ebola crisis in West Africa, outcomes began to improve when communities became actively involved in the response. Community leaders, local organizations, and traditional authorities helped rebuild trust and tailor solutions to the population's needs.","Uzoefu wa kimataifa unathibitisha ukweli huu. Wakati wa mzozo wa Ebola katika Afrika Magharibi, matokeo yalianza kuboreka wakati jamii ziliposhiriki kikamilifu katika kukabiliana na ugonjwa huo. Viongozi wa jumuiya, mashirika ya ndani, na mamlaka za kitamaduni zilisaidia kujenga upya uaminifu na kuleta masuluhisho ya mahitaji ya watu.",General,
"Severe droughts in Kenya drive child marriage, increasing the risk of modern slavery","Ukame mkali nchini Kenya unachochea ndoa za utotoni, na kuongeza hatari ya utumwa wa kisasa",Disaster/Health,
Kajiado County: Drought Early Warning Bulletin for May 2023,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame la Mei 2023,Disaster/Health,
"Provide adequate and appropriate skilled Artisans, Craftsmen, Technicians and Technologists at all levels of the economy through practical training and work experience;","Kutoa Mafundi, Mafundi, Mafundi na Wataalamu wa Teknolojia wa kutosha na wanaofaa katika ngazi zote za uchumi kupitia mafunzo ya vitendo na uzoefu wa kazi;",General,
Kwale County: Drought Early Warning Bulletin for October 2024,Kaunti ya Kwale: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2024,Disaster/Health,
Laikipia County: Drought Early Warning Bulletin for August 2024,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,Disaster/Health,
Garissa County: Drought Early Warning Bulletin for March 2022,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2022,Disaster/Health,
Kenya | Humanitarian response 2024 - DG ECHO Daily Map | 06/12/2024,Kenya | Majibu ya kibinadamu 2024 - Ramani ya Kila Siku ya DG ECHO | 06/12/2024,Disaster/Health,
Technical and Vocational education Policy Development and Management,Elimu ya Ufundi na Ufundi Maendeleo na Usimamizi wa Sera,General,
"Our focus is to ensure that every Kenyan accesses high quality health services."" The new resources will strengthen emergency referral care, expand oxygen capacity, help reduce maternal and newborn deaths in high burden counties, and improve Kenya's readiness to respond to cholera, Mpox, and other public health threats.","Lengo letu ni kuhakikisha kwamba kila Mkenya anapata huduma za afya za hali ya juu."" Rasilimali hizo mpya zitaimarisha huduma ya rufaa ya dharura, kupanua uwezo wa oksijeni, kusaidia kupunguza vifo vya kina mama na watoto wachanga katika kaunti zenye mzigo mkubwa, na kuboresha utayari wa Kenya kukabiliana na kipindupindu, Mpox na vitisho vingine vya afya ya umma.",Health,
"As the infection progressively weakens the immune system, an individual can develop other signs and symptoms, such as swollen lymph nodes, weight loss, fever, diarrhoea and cough. Without treatment, they could also develop severe illnesses such as tuberculosis, cryptococcal meningitis, severe bacterial infections and cancers such as lymphomas and Kaposi's sarcoma, among others.","Maambukizi yanapozidi kudhoofisha mfumo wa kinga, mtu anaweza kupata dalili na dalili zingine, kama vile nodi za limfu zilizovimba, kupungua uzito, homa, kuhara na kikohozi. Bila matibabu, wanaweza pia kupata magonjwa makali kama vile kifua kikuu, uti wa mgongo wa cryptococcal, maambukizo makali ya bakteria na saratani kama vile lymphomas na sarcoma ya Kaposi, miongoni mwa mengine.",General,
Meru County: Drought Early Warning Bulletin for September 2024,Kaunti ya Meru: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2024,Disaster/Health,
Livestock for Health in Kenya: Resilience good practice - Nutrition and resilience,Mifugo kwa ajili ya Afya nchini Kenya: Kustahimili utendaji mzuri - Lishe na ustahimilivu,Disaster/Health,
Laikipia County: Drought Early Warning Bulletin for July 2022,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2022,Disaster/Health,
Kenya Anticipatory Action Roadmap 2024 - 2029,Ramani ya Hatua ya Kutarajia ya Kenya 2024 - 2029,Disaster/Health,
"Kenya Price Bulletin, May 2023","Taarifa ya Bei ya Kenya, Mei 2023",Disaster/Health,
Kilifi County: Drought Early Warning Bulletin for July 2024,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2024,Disaster/Health,
West Pokot: Drought Early Warning Bulletin for March 2024,Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2024,Disaster/Health,
Mandera County: Drought Early Warning Bulletin for January 2023,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame la Januari 2023,Disaster/Health,
"Secretary-General deeply concerned over reported deadly violence related to protests, street demonstrations in Kenya","Katibu Mkuu amehuzunishwa sana na ghasia mbaya zilizoripotiwa kuhusiana na maandamano, maandamano ya mitaani nchini Kenya",Disaster/Health,
Kitui County: Drought Early Warning Bulletin for March 2023,Kaunti ya Kitui: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2023,Disaster/Health,
"Abdullahi fled conflict in 1994 in rural Lower Juba region in southern Somalia, where his family had depended on livestock that they have lost.","Abdullahi alikimbia vita mwaka 1994 katika eneo la vijijini la Juba ya Chini kusini mwa Somalia, ambapo familia yake ilikuwa ikitegemea mifugo ambayo imepoteza.",Agriculture,
Kajiado County: Drought Early Warning Bulletin for October 2022,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame ya Oktoba 2022,Disaster/Health,
Garissa County: Drought Early Warning Bulletin for August 2023,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2023,Disaster/Health,
"Kenya - Floods (CatNat, media, NOAA-CPC) (ECHO Daily Flash of 26 March 2024)","Kenya - Mafuriko (CatNat, vyombo vya habari, NOAA-CPC) (ECHO Daily Flash ya 26 Machi 2024)",Disaster/Health,
Epidemiological impact and cost-effectiveness analysis of COVID-19 vaccination in Kenya,Athari za janga na uchanganuzi wa ufaafu wa gharama wa chanjo ya COVID-19 nchini Kenya,Disaster/Health,
Kenya: Registered refugees and asylum-seekers (as of 31 August 2024),Kenya: Wakimbizi waliosajiliwa na wanaotafuta hifadhi (kuanzia tarehe 31 Agosti 2024),Disaster/Health,
"Kenya: Research Terms of Reference - Joint Market Monitoring Initiative RCID KEN 2207 (June 2022, V1)","Kenya: Sheria na Masharti ya Utafiti - Mpango wa Pamoja wa Ufuatiliaji wa Soko RCID KEN 2207 (Juni 2022, V1)",Disaster/Health,
Baringo County: Drought Early Warning Bulletin for October 2023,Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2023,Disaster/Health,
State Department for Technical Vocational Education and Training,Idara ya Jimbo kwa Elimu na Mafunzo ya Ufundi Stadi,General,
"With no transport available and a six-hour journey on foot to reach care, she had no choice but to give birth at home, assisted only by a traditional birth attendant.","Kwa kuwa hakukuwa na usafiri na mwendo wa saa sita kwa miguu kufika kwenye huduma, hakuwa na budi ila kujifungulia nyumbani, akisaidiwa na mkunga wa jadi pekee.",Disaster/Health,
"CPA JOHN MBADI NG'ONGO, EGH CABINET SECRETARY PUBLIC NOTICE INVITATION TO SUBMIT COMMENTS, VIEWS AND MEMORANDA ON POSSIBLE AREAS FOR AMENDMENTS TO THE PUBLIC PROCURMENT AND ASSET DISPOSAL ACT 2015","CPA JOHN MBADI NG'ONGO, EGH KATIBU WA BARAZA LA MAWAZIRI TAARIFA KWA UMMA KUWASILISHA MAONI, MAONI NA KUMBUKUMBU JUU YA MAENEO YANAYOWEZEKANA KWA MABADILIKO YA SHERIA YA MANUNUZI NA UTUMAJI WA MALI YA UMMA 2015.",Governance,
"CLUSTER/ SECTOR MINISTRIES, DEPARTMENTS AND AGENCIES Date for Submission Time for submission VENUE FOR SUBMISSION Kenya Veterinary Vaccines Promotion Institute 19.08.2024 9:30 a.m. - 10:00 a.m.","WIZARA/ SEKTA WIZARA, IDARA NA MAWAKALA Tarehe ya Kuwasilisha Muda wa kuwasilisha ENEO LA KUWASILISHA Taasisi ya Kukuza Chanjo za Mifugo Kenya 19.08.2024 9:30 a.m. - 10:00 a.m.",Health,
Embu (Mbeere) County: Drought Early Warning Bulletin for May 2024,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame ya Mei 2024,Disaster/Health,
"16 million children protected in Kenya's measles, rubella and typhoid vaccination campaign","Watoto milioni 16 wanaolindwa katika kampeni ya chanjo ya surua, rubela na typhoid nchini Kenya",General,
Building resilience in Dadaab: workshop builds capacity of local leaders to tackle urban risks,Kujenga ustahimilivu katika Dadaab: warsha hujenga uwezo wa viongozi wa mitaa kukabiliana na hatari za mijini,Disaster/Health,
Garissa County: Drought Early Warning Bulletin for July 2023,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Julai 2023,Disaster/Health,
Situation Update: Escalating Malnutrition and Acute Food Shortage in Kenya's ASAL Counties Amid Worsening Drought: Urgent Multisectoral Action Needed to Save Lives (18th February 2026),Sasisho la Hali: Kuongezeka kwa Utapiamlo na Uhaba Mkali wa Chakula katika Kaunti za ASAL nchini Kenya Huku Kukiwa na Ukame Unaozidi: Hatua za Haraka za Sekta Mbalimbali Zinahitajika ili Kuokoa Maisha (18 Februari 2026),Disaster/Health,
"The Ministry of Education, State Department for Higher Education and Research is in the process of recruitingchairpersons and members of councils of public universities and constituent colleges.","Wizara ya Elimu, Idara ya Jimbo la Elimu ya Juu na Utafiti inaendelea na mchakato wa kuajiri wenyeviti na wajumbe wa mabaraza ya vyuo vikuu vya umma na vyuo vikuu.",General,
Tana River County: Drought Early Warning Bulletin for February 2024,Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2024,Disaster/Health,
"Hand washing, sanitizing, where possible, maintaining social and physical distance, should become part of our daily lifestyles. #KomeshaCorona.","Kuosha mikono, kusafisha, inapowezekana, kudumisha umbali wa kijamii na kimwili, inapaswa kuwa sehemu ya maisha yetu ya kila siku. #KomeshaCorona.",Public Health,
"The Salvation Army response to unexpected flooding in Turkana, northern Kenya","Jeshi la Wokovu likikabiliana na mafuriko yasiyotarajiwa huko Turkana, kaskazini mwa Kenya",Disaster/Health,
Makueni County: Drought Early Warning Bulletin for August 2024,Kaunti ya Makueni: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,Disaster/Health,
"Kenya - Landslide (CatNat, media, KMD) (ECHO Daily Flash of 3 November 2025)","Kenya - Maporomoko ya ardhi (CatNat, media, KMD) (ECHO Daily Flash ya 3 Novemba 2025)",Disaster/Health,
Kenya: abductions of citizens suspected of involvement in protests violate human rights,Kenya: utekaji nyara wa raia wanaoshukiwa kuhusika na maandamano unakiuka haki za binadamu,Disaster/Health,
Call 719 for professional advice and information if you think you may have been exposed to COVID-19. #KomeshaCorona updates.,Piga 719 kwa ushauri na maelezo ya kitaalamu ikiwa unafikiri kuwa unaweza kuwa umeambukizwa COVID-19. #KomeshaCorona sasisho.,Public Health,
"Principal Secretary, State Department for Technical, Vocational Education and Training","Katibu Mkuu, Idara ya Jimbo la Ufundi, Elimu ya Ufundi na Mafunzo",General,
World Vision Kenya Annual Report 2021,Ripoti ya Mwaka ya World Vision Kenya 2021,Disaster/Health,
Kenya Tsetse and Trypanasomiasis Eradication Council 19.08.2024 10:00 a.m. - 10:30 a.m.,Kenya Tsetse na Baraza la Kutokomeza Trypanasomiasis 19.08.2024 10:00 a.m. - 10:30 a.m.,Disaster/Health,
"How should I put on and take off a face mask? Before putting on the mask, wash your hands with soap & water or an alcohol-based hand rub. Cover your mouth and nose with the mask ensuring that it is intact and it fits snugly to your face. #KomeshaCorona","Je, nivae na kuvua vipi barakoa ya uso? Kabla ya kuvaa barakoa, osha mikono yako kwa sabuni na maji au kusugua mikono iliyo na pombe. Funika mdomo na pua yako na barakoa ili kuhakikisha kwamba ni safi na inalingana vyema na uso wako. #KomeshaCorona",Public Health,
Voices from Mandera: Stories of hope and peace from the Mandera County in Kenya,Sauti kutoka Mandera: Hadithi za matumaini na amani kutoka Kaunti ya Mandera nchini Kenya,Disaster/Health,
Kenya Drought Response Dashboard (January to March 2023),Dashibodi ya Kukabiliana na Ukame Kenya (Januari hadi Machi 2023),Disaster/Health,
"The arid counties benefiting from the program are 10 namely , Baringo,Elgeyo Marakwet,Garissa,Isiolo,Mandera,Marsabit,Samburu,Turkana,TanaRiver,Wajir, Westpokot.","Kaunti kame zinazonufaika na mpango huu ni 10 ambazo ni , Baringo, Elgeyo Marakwet, Garissa, Isiolo, Mandera, Marsabit, Samburu, Turkana, TanaRiver, Wajir, Westpokot.",General,
Lamu County: Drought Early Warning Bulletin for September 2024,Kaunti ya Lamu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2024,Disaster/Health,
Kajiado County: Drought Early Warning Bulletin for March 2023,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2023,Disaster/Health,
"Kenya Price Bulletin, March 2023","Taarifa ya Bei ya Kenya, Machi 2023",Disaster/Health,
"Nairobi—Kenya is addressing critical gaps in access to sexual and reproductive health and rights services in six priority counties, including those with health clients that are hard to reach.The Ministry of Health is imp…","Nairobi—Kenya inashughulikia mapengo makubwa katika upatikanaji wa huduma za afya ya ngono na uzazi na haki katika kaunti sita zilizopewa kipaumbele, zikiwemo zile zenye wateja wa afya ambao ni vigumu kufikiwa. Wizara ya Afya inasisitiza…",General,
Scalable and sustainable primary HIV prevention models for people from key populations,Mitindo ya kimsingi na endelevu ya kuzuia VVU kwa watu kutoka makundi muhimu,Disaster/Health,
Laikipia County: Drought Early Warning Bulletin for March 2023,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2023,Disaster/Health,
National Drought Early Warning Bulletin ( June 2022),Taarifa ya Tahadhari ya Mapema ya Kitaifa (Juni 2022),Disaster/Health,
FAO and Belgium assist communities in Kenya to avert a hunger crisis,FAO na Ubelgiji zinasaidia jamii nchini Kenya kuepusha janga la njaa,Disaster/Health,
"Households in drought‑affected Wajir, Mandera and Tana River counties are of particular concern.","Kaya katika kaunti zilizoathiriwa na ukame za Wajir, Mandera na Tana River zina wasiwasi mkubwa.",Disaster/Health,
Nyeri (Kieni) County: Drought Early Warning Bulletin for June 2023,Kaunti ya Nyeri (Kieni): Taarifa ya Onyo la Mapema kuhusu Ukame Juni 2023,Disaster/Health,
"The affected counties and regions are Tana River, Mombasa, Kwale, Tharaka Nithi, Elgeyo-Marakwet, Kiambu, Eastern, Central, Coast, Nairobi and Rift Valley.","Kaunti na maeneo yaliyoathiriwa ni Tana River, Mombasa, Kwale, Tharaka Nithi, Elgeyo-Marakwet, Kiambu, Mashariki, Kati, Pwani, Nairobi na Rift Valley.",Disaster/Health,
Kenya advances local manufacturing of health products and technologies,Kenya inakuza utengenezaji wa bidhaa na teknolojia za afya nchini,General,
Kenya 2024-2026 IFRC network country plan,Mpango wa nchi wa mtandao wa IFRC wa Kenya 2024-2026,Disaster/Health,
Kilifi County: Drought Early Warning Bulletin for December 2023,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Desemba 2023,Disaster/Health,
"Genome sequencing is central to combatting COVID-19, allowing governments and health authorities to take swift and informed public health decisions such as measures to bolster preparedness for potential surges owing to more infectious variants or stepping up vaccination, diagnostics and treatment.","Mfuatano wa jenomu ni muhimu katika kupambana na COVID-19, kuruhusu serikali na mamlaka za afya kuchukua maamuzi ya haraka na ya kuarifu ya afya ya umma kama vile hatua za kuimarisha utayari wa ongezeko linaloweza kutokea kutokana na lahaja zinazoambukiza zaidi au kuongeza chanjo, uchunguzi na matibabu.",Health,
Kenya: Flow Monitoring Dashboard Round 2 (Sep-Dec 24),Kenya: Dashibodi ya Ufuatiliaji wa Flow Raundi ya 2 (Sep-Des 24),Disaster/Health,
(e) improve governance and management of the institution and set up a role model for other higher education institutions; and,(e) kuboresha utawala na usimamizi wa taasisi na kuweka mfano wa kuigwa kwa vyuo vingine vya elimu ya juu; na,General,
"Kenya: Climatic shocks drive Extremely Critical acute malnutrition among children and increasing numbers of high acute food insecurity - IPC Acute Food Insecurity and Acute Malnutrition Analysis (January – December 2026), Published on 12 March 2026","Kenya: Misukosuko ya hali ya hewa yasababisha Utapiamlo Muhimu Sana miongoni mwa watoto na kuongezeka kwa idadi ya uhaba mkubwa wa chakula - IPC Ukosefu wa Chakula Mkali na Uchambuzi wa Utapiamlo Mkali (Januari - Desemba 2026), Iliyochapishwa tarehe 12 Machi 2026",Disaster/Health,
Embu (Mbeere) County: Drought Early Warning Bulletin for January 2023,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame la Januari 2023,Disaster/Health,
Kenya: Solutions & Mobility Index — Tana River County (June 2025),Kenya: Kielezo cha Suluhisho na Uhamaji - Kaunti ya Tana River (Juni 2025),Disaster/Health,
"For Makena, moments like this reflect the importance of reaching women wherever they are.","Kwa Makena, nyakati kama hizi zinaonyesha umuhimu wa kuwafikia wanawake popote walipo.",Disaster/Health,
"CONSULTANCY TO ASSESS THE CAPACITY OF JOMO KENYATTA FOUNDATION TO REGULATE, COORDINATE AND MANAGE ORGANISATIONS INVOLVED IN PROVISION OF SCHOLARSHIPS UNDER THE SECONDARY EDUCATION QUALITY IMPROVEMENT PROJECT","USHAURI WA KUTATHMINI UWEZO WA JOMO KENYATTA FOUNDATION KUDHIBITI, KURATIBU NA KUSIMAMIA MASHIRIKA YANAYOHUSIKA KATIKA UTOAJI WA WASOMI CHINI YA MRADI WA KUBORESHA UBORA WA ELIMU YA SEKONDARI.",General,
ALERT The #COVID19 signs and symptoms of Corona Virus disease are If you have fever Coughing Headache Body ache Difficulty in breathing Call - 719 Text *719# Follow #KomeshaCorona cc | @WHOKenya | @SpokespersonGoK | @KenyaGovernors |,TAHADHARI Dalili za #COVID19 na dalili za Ugonjwa wa Virusi vya Corona ni Kama una homa Kukohoa Maumivu ya Kichwa Mwili kuuma Ugumu wa kupumua Piga - 719 Tuma neno *719# Fuata #KomeshaCorona cc | @WHOKenya | @MsemajiGoK | @KenyaGavana |,Public Health,
"Intervention d'urgence face à la sécheresse à Mandera, dans le nord du Kenya – Kenya Cash Consortium","Uingiliaji kati wa d'urgence face à la sécheresse à Mandera, dans le nord du Kenya - Kenya Cash Consortium",Disaster/Health,
"Their group's progress is stirring interest from other community members, inspiring them to learn from the Kariamakeris Women's group.","Maendeleo ya kikundi chao yanachochea shauku kutoka kwa wanajamii wengine, na kuwatia moyo kujifunza kutoka kwa kikundi cha Wanawake cha Kariamakeris.",Disaster/Health,
