English,Domain
"However, the most frequently reported mitigation measure is programme scope reduction, adopted by 60% of respondents, while 30% have implemented hiring freezes and 10% have drawn on reserves.",Disaster/Health
The latter measures cannot be repeated in a subsequent cycle.,Disaster/Health
"Overall, the assessment demonstrates that a geopolitical shock originating outside the region has translated, within four months, into measurable reductions in humanitarian service delivery in Kenya.",Disaster/Health
"Sustaining current levels of assistance will require humanitarian financing that reflects the actual cost of delivery, and specific attention to the outreach and monitoring services that are being cut first.",Disaster/Health
"Introduction The PROSPECTS Partnership is a multi-year, multi-partner initiative funded by the Government of the Netherlands and implemented by UNHCR, UNICEF, ILO, the World Bank and IFC.",Governance
"Phase one (2019-2023) and phase two (20242027) of the PROSPECTS program covered four thematic areas: Education and Learning; Livelihoods and Economic Inclusion; Protection, Social Protection and Inclusion; and Critical Infrastructure, while intentionally integrating cross-cutting priorities to ensure inclusive, accountable and sustainable outcomes for forcibly displaced persons and host communities.",Education
"In the East and Horn of Africa region, the PROSPECTS programme is implemented in Ethiopia, Kenya, Sudan and Uganda.",Disaster/Health
"To strengthen learning, coherence and accountability across the partnership, a Regional Community of Practice (CoP) on cross-cutting priorities (co-chaired by UNHCR and UNICEF) was established.",Education
"As part of its mandate, the CoP commissioned a regional documentation exercise to capture and analyze good practices and lessons learned on cross cutting priorities including mainstreaming accountability to Affected Populations (AAP), Gender Equality, Youth Engagement and Disability Inclusion across PROSPECTS pillars.",Disaster/Health
This report presents the findings of that documentation exercise.,Disaster/Health
"It synthesizes evidence from desk reviews, country consultations and a regional partners’ review workshop, highlighting how cross-cutting priorities are operationalized in practice, the results achieved, and areas requiring further strengthening.",Disaster/Health
"The report aims to inform adaptive programming, support scale-up of effective approaches, and contribute to stronger accountability and learning within the PROSPECTS Partnership.",Education
"About PROSPECTS 2.0 program PROSPECTS 2.0 is a four-year, multi-partner initiative (2024–2027) funded by the Government of the Netherlands.",Governance
"It is implemented by UNHCR, UNICEF, ILO, the World Bank, and IFC across Kenya, Uganda, Sudan, and Ethiopia.",Disaster/Health
"The program aims to strengthen protection and advance durable solutions for displaced populations through inclusive, multi-sectoral approaches.",Disaster/Health
"PROSPECTS 2.0 is a four-year, multi-partner initiative (2024–2027) funded by the Government of the Netherlands.",Governance
"Implemented by UNHCR, UNICEF, ILO, the World Bank, and IFC, the programme aims to strengthen protection and advance durable solutions for forcibly displaced persons and host communities through inclusive, multi-sectoral approaches.",Disaster/Health
"The programme is structured around four core pillars: Education and Learning; Economic Inclusion; Protection, Social Protection, and Inclusion; and Critical Infrastructure.",Education
"Gender equality is a cross-cutting priority across all pillars and is essential to achieving equitable, sustainable, and accountable outcomes.",Disaster/Health
"The Zurich Climate Resilience Alliance (ZCRA) is a multi-sectoral partnership focusing on finding practical ways to help both rural and urban communities around the world, strengthen their resilience to climate hazards.",Disaster/Health
"Concern’s ZCRA programme builds resilience through three connected elements: Measuring and understanding resilience , using the Climate Resilience Measurement for Communities (CRMC) approach to identify risks, prioritise action and track progress over time.",Disaster/Health
"Implementing solutions and promoting good practice , supporting community-led interventions such as early warning, early action, nature-based adaptation, and climate-resilient livelihoods.",Disaster/Health
"Influencing policy and driving systems change , using evidence to improve policies, planning and investment, and strengthen the underlying systems, decision-making and relationships that shape resilience outcomes.",Governance
"In 2025, Concern Worldwide advanced implementation of Phase III (2024-2027) across Bangladesh, Kenya, Malawi and Pakistan .",Disaster/Health
"Countries progressed community-led assessments, system change analysis and began or prepared interventions.",Disaster/Health
"This was supported through strong coordination on knowledge, learning and communications.",Education
"This integrated approach contributed to tangible systems-level progress, including: Increased local financing for disaster risk reduction in Kenya Scale up of community-managed disaster financing in Malawi through additional co-funding Stronger local governance support and allocations for preparedness actions in Bangladesh Foundational work in Pakistan to inform future early warning and preparedness systems",Disaster/Health
"Findings, exposure mapping and adaptation priorities for smallholder farming communities Executive Summary This Climate Vulnerability Assessment examines the agricultural sector’s exposure and sensitivity to climate risks in Machakos and Makueni counties, two semi-arid regions in eastern Kenya where agriculture serves as the primary economic activity, employing approximately 73% and 78% of the population respectively.",Agriculture
"The assessment reveals that both counties face significant climate-related challenges, with rainfall variability being the predominant concern affecting the livelihoods of over two million residents who depend heavily on rain-fed agriculture for subsistence and income generation.",Disaster/Health
"The climate exposure analysis demonstrates that both counties experience bimodal rainfall patterns, with the main seasons occurring from March to May and October to December.",Disaster/Health
"Annual rainfall ranges from 500mm to 1,300mm, characterized by high inter-annual and intra-seasonal variability.",Disaster/Health
"Historical data from 1991 to 2020 shows multiple consecutive years of below-normal rainfall, particularly during the October to December season, interspersed with extreme flooding events in 1997, 2006, 2019, and most recently in 2023 and 2024.",Disaster/Health
"These extreme events are closely associated with El Niño and La Niña phenomena, as well as the Indian Ocean Dipole.",Disaster/Health
"Temperature analysis indicates warming trends, with the March to May season experiencing temperatures between 15°C and 35°C, while Makueni County generally records higher temperatures than Machakos, particularly in the southeastern regions.",Governance
Agricultural vulnerability in these counties is exceptionally high due to several compounding factors.,Disaster/Health
"Approximately 100% of households engage in some form of agriculture, with maize being the most widely cultivated crop, followed by beans, pigeon peas, green grams, and cowpeas.",Agriculture
"Livestock production, particularly goat and cattle rearing, plays a crucial role in household economies.",Agriculture
"However, over 92% of agricultural land is used for subsistence farming, and irrigation adoption remains below 15% in most sub-counties, leaving farmers almost entirely dependent on increasingly unreliable rainfall.",Agriculture
"The vulnerability assessment reveals that 88.8% of smallholder farmers in Machakos report low yields, 82.3% experience loss of income, and 81.1% face crop failures due to climate variability.",Agriculture
"In Makueni, 75% of farmers report reduced yields and 95% experience frequent and prolonged droughts.",Agriculture
Socio-economic factors significantly exacerbate climate vulnerability in both counties.,Disaster/Health
"Poverty rates hover around 33% in both Machakos and Makueni, severely limiting households’ capacity to invest in adaptation measures.",Disaster/Health
"Access to essential services remains inadequate, with only 48.3% of households in Machakos and 16.1% in Makueni connected to electricity.",Disaster/Health
"Educational attainment is low, with approximately 6.5% of the population in Machakos and 7.8% in Makueni having never attended school, limiting awareness and uptake of climate-smart agricultural practices.",Education
"Infrastructure challenges, including poor road networks and limited access to markets, further constrain farmers’ ability to diversify income sources and access credit facilities.",Agriculture
Gender dynamics present a critical dimension of vulnerability in these counties.,Disaster/Health
Women constitute between 42% and 65% of the agricultural workforce yet face systematic barriers in accessing productive resources.,Disaster/Health
"Land ownership patterns reflect deep-rooted inequalities, with 75% of women not owning agricultural land and 62% of those who do lacking formal title deeds.",Disaster/Health
This insecurity in land tenure discourages long-term investments in adaptation measures such as water harvesting infrastructure and agroforestry.,Security
"In February 2026, while speaking to Acted teams on-site for their group meeting, Kariamakeris Self-Help Group (SHG) members, in Alale, Kenya, reflected on the challenges they had faced over the years.",Disaster/Health
"Despite their efforts, the group members had struggled to make meaningful progress, particularly because they lacked clear rules for managing savings and loans.",Disaster/Health
"Thus, when members defaulted on a loan, there were no avenues for recovery or for holding them accountable, and so their money was as good as lost.",Disaster/Health
"SHE-GROW Initiative across the continent Aiming to contribute to the creation of opportunities for women in Kenya, and women in similar contexts in Morocco and Cote d’Ivoire, Acted, with the support of The Coca-Cola Foundation (TCCF), launched the SHE-GROW Africa Project.",Disaster/Health
SHE-GROW project in Kenya I’m very happy to learn of the new women’s empowerment project and knowing that our group is among the groups selected to benefit from it.,Disaster/Health
"Cheyech Almost halfway through the project, Acted Kenya continues to deliver tailored financial literacy training to women’s Self-Help Groups, each comprising about 30 to –40 members.",Education
"As a result of this process, each group develops a proposal for a group Income Generating Activity (IGA).",Disaster/Health
"From stronger savings practices to the development of group businesses, women in Turkana and West Pokot are gaining the skills, resources and confidence to improve their economic opportunities through the SHE-GROW Africa project, laying the foundation for more resilient households and communities. *Names of beneficiaries have been changed to protect their privacy.",Disaster/Health
WFP reached 1.2 million crisis-affected Kenyans and refugees in June through food assistance and resilience building interventions.,Disaster/Health
There is a growing likelihood of an El Niño event based on the latest forecasts.,Disaster/Health
WFP and partners are working on readiness and anticipatory actions.,Disaster/Health
"WFP is contributing to evidence generation, including through the Standardized Expanded Nutrition Survey (SENS), the national Long Rains Assessment, and food security analyses, to ensure that interventions are targeted, effective and respond to evolving needs.",Disaster/Health
"To support the drought response, WFP procured approximately 1,300 metric tons of food commodities from smallholder farmers and specialized nutritious foods from local producers, injecting USD 3.2 million into the economy.",Agriculture
"Key Messages Harvest has begun across select bimodal regions of Kenya, Uganda, Rwanda, Burundi and parts of the Belg cropping areas of Ethiopia.",Agriculture
"Pasture and surface water conditions remain generally favorable across much of pastoral regions of Kenya, however, poor conditions are observed across much of Somalia and southeastern Ethiopia following in season rainfall deficits.",Disaster/Health
"Severe rainfall deficits have intensified moisture stress across unimodal cropping zones in Kenya, Uganda, South Sudan, Sudan, and Kiremt rainfall regions of Ethiopia.",Disaster/Health
"Below-average agricultural production is increasingly likely across unimodal Kenya and Uganda, with reduced harvests also expected in parts of Sudan, South Sudan, Ethiopia and agropastoral regions of northwestern Somalia.",Agriculture
Strengthening El Niño and a forecast positive Indian Ocean Dipole increase the chances of extreme high rainfall during the October–December season.,Disaster/Health
"Strengthening Early Warning Systems for Anticipatory Action - SEWAA project In 2023, catalytic support from Google.org launched a groundbreaking partnership between WFP, the University of Oxford, and key regional institutions—IGAD’s Climate Prediction and Applications Centre (ICPAC), the Kenya Meteorological Department (KMD), and the Ethiopia Meteorological Institute (EMI).",Disaster/Health
"CGAN takes these specific conditions—like temperature, humidity, or wind patterns—and uses them to generate realistic future climate scenarios.",Disaster/Health
"This helps scientists and meteorologists make more accurate forecasts, especially in complex situations like predicting droughts or floods for Anticipatory Action (SEWAA) project, the team is applying advanced AI—specifically Conditional Generative Adversarial Networks (cGANs)1 —to generate high-resolution rainfall forecasts weeks in advance.",Disaster/Health
"Key Messages FEWS NET estimates that 3.0-3.49 million people will be in need of humanitarian food assistance between June-January, with needs expected to peak between September and October, during the typical height of the lean season.",Disaster/Health
"The populations of highest concern remain refugees and those in the pastoral areas of Mandera, Garissa, Wajir, Marsabit, and Turkana.",Disaster/Health
"Crisis! (IPC Phase 3!) outcomes will persist in Dadaab, Kakuma and Kalobeyei refugee camps through January, with humanitarian food assistance preventing worse outcomes.",Disaster/Health
"Negligible own production and restrictive employment policies which limit work opportunities continue to constrain households’ food access, sustaining high reliance on food assistance.",Disaster/Health
"However, there is a credible alternative scenario in which funding does not materialize after September, and outcomes deteriorate to Emergency (IPC Phase 4).",Disaster/Health
"Across pastoral regions, Crisis (IPC Phase 3) outcomes are expected to persist through September, driven by constrained incomes and elevated food prices that continue to limit food access and sustain consumption gaps.",Disaster/Health
"Conditions are expected to improve to Stressed (IPC Phase 2) between October and January, as anticipated above-average short rains enhance livestock productivity and improve household food access.",Disaster/Health
"However, in Mandera, the region worst affected by the failure of the 2025 short rains, Crisis (IPC Phase 3) outcomes are likely to persist through January.",Disaster/Health
Stressed (IPC Phase 2) outcomes are expected to continue across the marginal agricultural areas through January.,Disaster/Health
Food stocks from the long rains production will support household food availability from June through late August to early September.,Disaster/Health
"From October-November, agricultural labor during the short rains will provide income to households, ahead of the green harvests anticipated in December and early dry harvests in January.",Disaster/Health
"Although households will be able to meet their essential food needs, they will continue to engage in stress-coping strategies to meet non-food needs.",Disaster/Health
"The analysis in this report is based on information available as of June 30, 2026.",Disaster/Health
Food security context Two rainy seasons significantly influence food security dynamics in Kenya.,Disaster/Health
"Unimodal areas experience a single extended rainy season from approximately February to August, while bimodal areas have two rainfall seasons: March to May (long rains) and October to December (short rains).",Disaster/Health
The unimodal high and medium potential areas produce nearly 70 percent of the country’s annual crop production during the long rains season.,Disaster/Health
Production in these zones supports national food availability and moderates prices.,Disaster/Health
"In the marginal agricultural areas, most local production occurs during the short rains (70 percent of the area’s production) with 30 percent produced during the long rains .",Disaster/Health
"The short rains season is crucial in the southeastern marginal agricultural areas for production of staple crops like maize, sorghum, millet, beans, green grams (mung beans), cowpeas and pigeon peas.",Agriculture
Rainfall peaks in November and crop harvests start in late December through February.,Disaster/Health
The short rains harvest significantly improves household food availability and drives reductions in market prices in the marginal agricultural areas.,Disaster/Health
"The long rains, by contrast, are less reliable in the southeastern marginal agricultural areas, and most farmers plant short-cycle crops such as pulses, although cereals such as maize are also planted to a lesser extent.",Agriculture
"The long rains production provides important sources of income, limited seasonal improvement in food availability, and reductions in food prices.",Disaster/Health
"In pastoral areas, livestock and livestock products are the primary food and income, as the arid environment severely limits sedentary agriculture.",Agriculture
"With unreliable and frequently insufficient rainfall to support crop cultivation, the pastoral regions rely on the minimal rainfall to replenish pasture, browse and water sources for their livestock.",Agriculture
"Inadequate rainfall leads to reduced pasture, browse, and water availability, which in turn harms livestock health and productivity and lowers milk production.",Disaster/Health
"Inadequate availability of pasture, browse and water also spurs livestock migration and conflicts over limited rangeland resources.",Security
Livestock births typically occur right before the start of a rainy season to align with the peak in availability of rangeland resources.,Disaster/Health
"Correspondingly, milk availability peaks from November to December during the short rains season and from April to May during the long rains season.",Disaster/Health
"A historic drought from late 2020 through early 2023 had severe impacts on food security across the country, from which many households, especially pastoralists, are still recovering .In February 2023, 4.4 million Kenyans were acutely food insecure: the country’s highest rate of food insecurity in 20 years.",Disaster/Health
"During the drought, water sources, browse, and pastures were depleted, resulting in accelerated livestock deaths and, in many cases, increased livestock distress sales at low prices.",Disaster/Health
Average livestock herd sizes in pastoral regions are still notably below their pre-drought levels.,Agriculture
"The drought also drastically reduced agricultural yields, leading to widespread food shortages and soaring prices for staple foods such as maize, beans, and sorghum.",Disaster/Health
The drought ended in early 2023 with an above-average long rains season.,Disaster/Health
"Favorable rainfall in 2024 and the first half of 2025 drove notable improvements in food security, but a historically poor short rains season at the end of 2025 — among the driest ever recorded across most of northern and eastern Kenya — left large swaths of the country in a similar condition as at the end of the 2023 drought.",Disaster/Health
"The 2026 long rains were average to above-average across the pastoral and marginal agricultural areas, driving much-needed, though limited recovery in these areas.",Disaster/Health
The anticipated above-average 2026 short rains will offer opportunity for notable improvements.,Disaster/Health
"Under the 9-month intervention, the KCC aims to reach over 28,000 individuals across the country.",Disaster/Health
This approach and the collaboration established between sectoral leaders also positions the KCC as a leader in adopting ‘MPCA first’ as a guiding principle to increase value for recipients.,Disaster/Health
"The impact of this assistance will be amplified through dedicated efforts to coordinate with other key humanitarian actors, including through ongoing support to the Kenya Cash Working Group, most notably under the REACH Initiatives-led Joint Market Monitoring Initiative (JMMI), the INGO Forum, and OCHA’s Kenya Humanitarian Partners Team (KHPT).",Disaster/Health
"Our aim under this action is not just to transfer resources; but to transfer choice, dignity and hope.",Disaster/Health
"By empowering people to prioritize their own needs, we enable communities to recover faster and build resilience for the future Abdirizak Kontoma, Kenya Cash Consortium Coordinator and Project Manager, on the goals of the 2026 action.",Disaster/Health
"This allows countries to collect and analyse more detailed information on resistance trends, helping health authorities make better-informed decisions on treatment, prevention and antimicrobial stewardship. “Antimicrobial resistance is a growing threat to health systems across Africa and around the world.",Health
Building a national surveillance network in Kenya Kenya’s journey shows how sustained investment and careful planning can build stronger public health intelligence over time.,Health
"Along the way, the country has strengthened laboratory systems, data management processes and workforce capacity, creating a robust platform for monitoring AMR.",Disaster/Health
"Between 2021 and 2025, more than 100 000 AMR surveillance records were collected, with 9039 records submitted to GLASS in 2025. “Our transition to individual-level reporting has significantly improved the quality and usefulness of AMR data.",Disaster/Health
Rwanda strengthens surveillance through partnership Rwanda’s experience highlights the importance of collaboration in building stronger surveillance systems.,Disaster/Health
"Data from four major referral hospitals – the University Teaching Hospital of Kigali, the University Teaching Hospital of Butare, King Faisal Hospital and Rwanda Military Hospital – are helping health authorities better understand how resistance is evolving.",Health
"The experience has also highlighted the importance of collaboration in building a stronger surveillance system,” said Misbah Gashegu, National AMR Focal Person and Rwanda GLASS-AMR Focal Person.",Disaster/Health
Turning challenges into progress The transition to individual-level data reporting was not without challenges.,Disaster/Health
"For Additional Information or to Request Interviews, Please contact: NTAGANIRA UWASE Marie France Communications officer WHO regional ofice for Africa Email: ntaganiram@who.int",Disaster/Health
"Description of the Event Date when the trigger was met 28-05-2026 What happened, where and when?",Disaster/Health
Uganda confirmed its first case on 16th May 2026 in Kampala whereas the first case of the regional BVD outbreak was declared in DRC on 15th May 2026 in Ituri Province.,Health
"The trigger for accelerated readiness was met in Kenya on 23rd May 2026 when Uganda confirmed, through a press statement by the minister for Health, additional three (3) cases further elevating the risk of case importation to Kenya from moderate likely and most likely (high risk).",Health
"As of 23rd May 2026, Kenya had not reported a confirmed case.",Disaster/Health
"However, on 20th May 2026, rumors of a suspected case surfaced in the social media platform having been detected in a private health facility in Ainabkoi sub county, Uasin Gishu County.",Health
"The case, a 29-yearold male truck driver, Kenyan national and a resident of Zambia was said to have visited St.",Disaster/Health
"Luke hospital, Eldoret in the early morning of 20th May 2026 presenting with symptoms meeting the BVD suspected case definition.",Health
"Quite concerning is that as of 28th May 2026, the country had picked a total of 13 suspected cases (Nairobi (9), Nakuru (1), Uasin Gishu (1), Nyeri (1), and Nyamira(1)) based on the BVD suspected case definition.",Disaster/Health
"Fortunately, all the tests have turned negative.",Disaster/Health
"Nairobi, Kenya – Wednesday 24 June 2026 – The National Treasury has launched Kenya’s Disaster Risk Financing (DRF) Strategy 2026–2030 , marking a decisive step forward in strengthening the country’s ability to protect lives, livelihoods, and development gains from the impacts of disasters.",Disaster/Health
"The central objective of the strategy is to enhance the financial capacity of national and county governments to effectively manage disaster risks along the disaster risk management (DRM) continuum. ""The true test of resilience is not how we respond after a disaster occurs, but how well we prepare before it happens.",Governance
"This Strategy provides Kenya with a robust financial framework to anticipate, absorb and recover from disasters while protecting the most vulnerable members of our society and sustaining our economic progress,"" said Ronald Inyangala, OGW, Director, Financial and Sectoral Affairs at the National Treasury, on behalf of the Cabinet Secretary.",Disaster/Health
Support in developing the Strategy began when UNDRR equipped the National Treasury with disaster risk financing tools from the Global Education and Training Institute (GETI).,Disaster/Health
"This included introducing the National Treasury to UNDRR's five-step DRR financing tool, which provides guidance for establishing national financing systems for DRR, and mobilizing DRR financing from different sources (i.e., public, private, and international).",Disaster/Health
"UNDRR also supported the National Treasury in developing a disaster risk reduction and climate change adaptation budget tagging (DCBT) system, which helped Kenya strengthen its ability to track and allocate resources for resilience.",Disaster/Health
"At every stage of the Strategy’s development, an Inter-Agency Taskforce reviewed progress and guided revisions.",Disaster/Health
"Other partners involved were the European Union (EU), the United Kingdom Foreign, Commonwealth and Development Office, and the Government of Italy, in addition to long-standing support from the World Bank Group and the World Food Programme (WFP).",Governance
"This work will ensure that future investments are evidence-based, economically sound, and aligned with national priorities. ""We must strengthen risk data and analytics to guide financial planning.",Disaster/Health
"In parallel with the Strategy, the President of Kenya signed into law the National Disaster Risk Management Act 2026 in May 2026.",Disaster/Health
"For more information, please contact: Ms.",Disaster/Health
"Adair Ackley , Regional Office for Africa",Disaster/Health
"While populations in continental regions are predominantly exposed to seasonal cumulative excess heat, many populations in tropical and subtropical climates are chronically exposed to high temperatures and high humidity.",Disaster/Health
"An additional challenge is when it’s hot, but not hot enough to trigger extreme heat warnings.",Disaster/Health
"In Adelaide, Australia for example, long, low-intensity heatwaves throughout the summer of 2024-25 were not enough to reach a threshold that triggered protective action.",Education
"Nonetheless, it was hot enough to exhaust people mentally and physically, especially people that are highly exposed because they are outdoor workers, live in inadequate housing, don’t have access to cooling, or can’t afford to run it.",Disaster/Health
"Impacts in East Africa A growing urban heat crisis is placing residents of informal settlements at particular risk in countries such as Kenya, the United Republic of Tanzania and Zimbabwe.",Disaster/Health
"Although the vulnerability of cities including Nairobi, Dar es Salaam and Kariba is increasingly recognised, major gaps in data coverage continue to mask the extent of exposure to extreme heat and humidity inside informal housing.",Disaster/Health
"Impacts in South-East Asia Southeast Asia and other tropical regions face a distinct heat challenge driven by the combination of high temperatures, high humidity and prolonged exposure.",Disaster/Health
"In many tropical areas, extreme heat conditions persist for at least three months each year (maximum daily heat index greater than 32.2°C/90°F), even though they experience relatively few heatwaves as traditionally defined.",Disaster/Health
"This highlights an important distinction between short-term heatwave events and chronic heat, characterised by sustained periods of elevated temperatures and humidity.",Disaster/Health
"The burden falls disproportionately on vulnerable groups , particularly people living in poor-quality housing, low-income households, individuals with pre-existing health conditions and workers exposed to extreme temperatures.",Health
"As these vulnerabilities often overlap, reducing the impacts of chronic heat requires long-term, systemic approaches rather than short-term emergency measures alone.",Disaster/Health
"Systems lens Building resilience to extreme heat requires a holistic approach that recognises the complex interactions between people, ecosystems, infrastructure, the built environment and the economy.",Disaster/Health
"Although heat-related impacts may initially affect individual sectors, risks are amplified by the interdependence of critical systems and the potential for compounding and cascading effects.",Disaster/Health
"Extreme temperatures can damage roads and rail networks, disrupting transport and supply chains.",Disaster/Health
"Even when failures are not sudden or catastrophic, prolonged heat can gradually weaken the reliability, efficiency and resilience of essential services.",Disaster/Health
"The consequences of these disruptions are often felt most acutely by vulnerable populations, while the broader economic and social costs continue to mount.",Disaster/Health
Recommendations Chronic heat's cumulative and sustained effects contribute to a significant total burden on health and society.,Health
"Strategies recommended to understand and address these impacts include: Collaborate cross-sectorally to address the society-wide impacts of heat, bringing together disparate actors to work jointly.",Disaster/Health
"Assess health impacts of both acute and chronic heat in the local population, especially among vulnerable groups.",Health
"Establish comprehensive, standardised health data to track heat-related impacts, ideally in real-time.",Health
"Conduct year-round monitoring of heat anomalies, beyond pre-determined heat season extremes.",Disaster/Health
"Evaluate heat impacts in conjunction with other compounding hazards, such as wildfires, air pollution and other extreme weather events.",Disaster/Health
Heat action plans should be expanded to include both response and long-term risk reduction efforts.,Disaster/Health
Support affordable and incremental housing adaptation – enabling household- and settlement-level improvements.,Disaster/Health
"Expand and maintain nature-based cooling measures, including shaded green spaces and tree planting.",Disaster/Health
Drive public awareness and community action by launching advocacy campaigns and behavioural change initiatives to promote heat resilience at all levels.,Disaster/Health
"Chronic heat differs from acute heat primarily in timescale and the response requirements: chronic heat requires sustained, long-term planning, while acute heat also demands immediate action.",Disaster/Health
"EXECUTIVE SUMMARY This Local Manufacturing Strategy is structured to position Kenya’s healthcare as an investment for social impact, equity, economic growth, commercial traction, and sustainability.",Health
Pivoting on three (3) strategic pillars i.e.,Disaster/Health
"Scale-up and diversification of local capacity utilization; Accelerating priority regulatory reforms; Demand generation and market assurance, this strategy advances structured focus and direction to move from intent-to-execution and avoid persistent abstract narratives on vulnerability and LM potential to actually delivering on the long overdue promise of local HPT manufacturing for self-reliance, health security and economic growth.",Health
"This strategy positions Kenya as a hub and centre of excellence for shaping the future of regional supply chain and advanced manufacturing, through partner-led regional accelerator programs that can seed investments needed to scale-up technical capabilities and industrial skills, align regulatory policies, public-private-partnership for technology transfer, and market coordination.",Agriculture
"It also aims to demystify negative perspectives on LM industry’s unattractiveness for sustainable finance, by prioritizing and navigating complex regulatory environment, technology partnership, and building replicable operational models that meet international compliance standards.",Governance
"People’s vulnerability is closely connected to structural inequalities in the country, where people in areas defined as arid and semi-arid lands (ASALs) suffer from lack of government services, investment and economic opportunities, with wealth concentrated in the capital, Nairobi.",Governance
"The ASAL Humanitarian Network (AHN) was formed to collectively address immediate humanitarian needs and the drivers of crises, including a significant focus on ensuring the state takes on greater crisis response leadership.",Disaster/Health
"This article examines how such aspirations play out in practice, focusing on two AHN responses, to a recent flood and ongoing drought.",Disaster/Health
"Background Fragile and displacement-affected settings face interconnected pressures of environmental degradation, climate shocks, resource scarcity and social tensions.",Disaster/Health
"The Nature-positive and circular bioeconomy solutions for livelihoods and peacebuilding (C-PEACE) initiative responds to these challenges by strengthening refugee and host community livelihoods, reducing resource-based tensions and restoring degraded environments through circular bioeconomy (CBE) solutions in Ethiopia, Kenya and Ghana, with potential for scaling across Africa.",Disaster/Health
"Ethiopia Kenya Implemented through strong local partnerships, this work directly contributes to the 2030 CGIAR outcomes by enhancing the resilience, self-reliance and social cohesion of displacement affected communities.",Disaster/Health
"Kenya is facing a complex humanitarian crisis driven by recurrent drought, flooding, disease outbreaks, displacement, refugee inflows, climate shocks, and localized conflict, with the most severe impacts in the arid and semi-arid lands (ASALs).",Disaster/Health
