Kiswahili,Domain
"Ripoti masuala! Shule, weka mifumo ya malalamiko.",Education
"Ukiukaji huu umetokea katikati ya mgawanyiko mkubwa wa kisiasa na mgawanyiko wa taasisi za serikali, na kukuza utamaduni ulioenea wa kutokujali unaodhoofisha uhuru wa vyombo vya habari, usalama wa waandishi wa habari, na haki ya umma ya kupata habari.",Governance
Wasaidie wakimbizi! Toa vifaa vya kujifunzia kwa wanafunzi wakimbizi.,Education
Walimu wanahudhuria mazoezi ya CBC kuanzia juma lijalo.,Education
Jenga vituo vya rasilimali za walimu 2022.,Education
Wanawake katika kilimo wanakabiliwa na hatari tofauti. Vyama vya ushirika vinapaswa kupitisha sera za kuzuia na chaguzi za kuripoti.,Security
"Serikali lazima irahisishe haki ya watu ya kuandamana, njia muhimu kwa raia kujieleza na kushiriki katika michakato ya utawala,' alisema Mugambi Kiai, MAKALA YA 19 Mkurugenzi wa Kanda ya Afrika Mashariki.",Governance
Msongo wa mawazo baada ya kujifungua ni halisi. Wahimize akina mama wapya kutafuta msaada na kuzungumza waziwazi.,Health
"Linda shule! Jamii, jilinde dhidi ya ujambazi.",Education
Usipakue programu kutoka kwa tovuti zisizo rasmi. Tumia Duka la Google Play au Duka la Programu la Apple kila wakati. Programu ambazo hazijathibitishwa zinaweza kuwa na programu hasidi.,Security
"Mamlaka ziliweka ufuatiliaji, vizuizi vya barabarani, na timu za dharura ili kuhakikisha usalama kabla ya Safari Rally.",Security
Unyanyasaji wa kiuchumi hupunguza uhuru wa kifedha. Taasisi za fedha zinapaswa kutambua ishara za onyo na kuwasaidia wateja walioathiriwa.,Security
Mkutano wa uthibitishaji wa sekta mtambuka ulifanyika ili kuoanisha mikakati ya lishe ya kaunti na kitaifa chini ya KNAP.,Health
Weka nambari za dharura zikiwa zimepangwa kwenye simu yako ili zipatikane haraka.,Security
"Chanjo zote za COVID-19 ni salama kwa matumizi ya watu wazima, akina mama wanaonyonyesha na kulingana na miongozo ya sasa ya WHO, zinaweza pia kutumiwa na wanawake wajawazito kwa mapendekezo ya daktari aliyehitimu.",Health
"Kukuza uadilifu na uwazi katika taasisi zote. Kwa pamoja, tunaweza kuzuia ufisadi kabla haujaanza.",Security
Kituo cha Kitaifa cha Kupambana na Ugaidi kinaendelea kutoa tahadhari kwa umma kikihimiza uangalifu na kuripoti shughuli zinazotiliwa shaka.,Security
Moshi wa mtu mwingine hudhuru mama na mtoto ambaye hajazaliwa. Weka nyumba na maeneo ya umma bila moshi.,Health
Inaangazia historia ya uhuru wa raia nchini Kenya,Education
"Wanawake wote wajawazito wanahimizwa kuunda mpango wa maandalizi ya kujifungua ikiwa ni pamoja na kutambua kituo cha afya, kupanga usafiri, na kuweka akiba ya fedha.",Health
Tangazo kwamba uchunguzi wa utapiamlo unaoongozwa na CHV sasa utajumuisha uchunguzi wa ustawi wa akili.,Health
"Tangazo la jukwaa la kwanza la afya ya akili na ustawi linaloendeshwa na akili bandia nchini Kenya linalotoa huduma ya kujitunza, tathmini, na ufikiaji wa ushauri nasaha wa kitaalamu.",Health
... Teknolojia ya Push Pull inaleta mapinduzi makubwa katika kilimo cha kunde Magharibi mwa Kenya. 16 Julai 2025. Habari Zaidi. Masasisho Mapya. Habari za Uingereza-CGIAR. Kuchunguza ...,Agriculture
"Ni lazima walimu wapeleke taarifa za TPAD kufikia Juni 30, 2025 ili kuepuka kulipia kuchelewa kwa shahada ya chini.",Education
"...uhamisho wa teknolojia unazingatiwa, sayansi ndiyo kichocheo kikuu.... Teknolojia ya kusukuma-kuvuta inayohusisha kilimo mseto na malisho maalum....",Agriculture
Kulinda shule! Tekeleza hatua za kuzuia ugaidi.,Education
Programu ya kulisha bila malipo ya Darasa la 7 inaanza Januari – Milo 3 kila siku imehakikishwa!,Education
"Tangazo la uchunguzi wa afya ya wafanyakazi (BMI, shinikizo la damu, sukari ya damu) na msingi wa ustawi ili kuunda programu zinazoendelea za ustawi mahali pa kazi.",Health
Watoto wanaojitahidi kuzungumza au kutambua sauti wanaweza kuwa na matatizo ya kujifunza. Tafuta tathmini kutoka kwa wataalamu wa watoto mapema.,Health
Washirikishe wanafunzi! Unda majukwaa ya kushughulikia machafuko.,Education
"Ripoti zinaelezea kwa kina amri ya polisi ya kufungiwa kwa watu siku ya Saba Saba, ikiwa ni pamoja na njia zilizofungwa, mapigano ya moja kwa moja, na mapigano yaliyoongezeka.",Security
"Kenya yathibitisha visa 10 zaidi vya Covid-19 na kufikisha jumla ya maambukizi 384, tisa kati ya visa vipya ni kutoka Mombasa na kimoja kutoka Nairobi.",Health
Haki za raia kupiga kura na kuchaguliwa katika chaguzi za kidemokrasia za mara kwa mara na za kweli ni haki za binadamu zinazotambuliwa kimataifa.,Governance
Jiandikishe sasa! Elimu ya msingi bila malipo kwa watoto wote wa Kenya.,Education
"Fanya mazoezi ya utunzaji wa mazingira kwa kutumia mbinu zinazolinda udongo, maji, na bioanuwai katika shamba lako la maziwa.",Agriculture
Mashirika ya usalama hupokea itifaki zilizosasishwa za kushiriki data na ujasusi.,Security
"Hifadhi bioanuwai kwenye shamba lako kwa kulinda mimea ya asili, kuunda korido za wanyamapori, na kutumia aina mbalimbali za mazao/mifugo.",Agriculture
"Tuepuke kushiriki propaganda, taarifa zisizothibitishwa, na picha za picha ili tusiongeze dhiki kwa walioathiriwa.",Security
Endelea kujifunza! Jiandikishe katika shule licha ya changamoto za ukame.,Education
Kila mtoto hujifunza! Wasaidie wanafunzi wakimbizi mashuleni.,Education
APS inaelezea kazi za polisi jamii na utatuzi wa migogoro,Security
Kiongozi wa ODM Raila Odinga awahimiza wakazi wa Kaunti ya Migori kujiandikisha kama wanachama wa chama.,Governance
Kupenya kwa kasi na maendeleo ya teknolojia za kidijitali kuna uwezo wa kuleta mapinduzi katika njia ambazo wakulima maskini hupokea na kutumia taarifa ...,Agriculture
Elimu kwa wote! Jiandikishe katika shule zinazohamishika katika maeneo ya wafugaji.,Education
Endelea kupata taarifa mpya kuhusu matokeo ya utafiti kutoka Chuo Kikuu cha Egerton kuhusu mada kama vile aina mpya za mazao zinazohusiana na ufugaji wako wa ng'ombe wa maziwa.,Agriculture
"Baada ya shambulio la Chuo Kikuu cha Garissa la mwaka 2015, mamlaka ziliongeza usalama na kuhimiza umakini katika taasisi za elimu.",Security
Spika wa Bunge la Kitaifa Moses Wetang'ula anazisihi serikali za kaunti kuunga mkono juhudi za serikali za kuwataka Wakenya kujiandikisha katika SHA.,Governance
Waathiriwa wa GBV wanapata ushauri nasaha bila malipo + msaada wa kisheria piga 0800721524 sasa!,Education
Serikali inawashauri madereva kuwa macho ili kukuza uwajibikaji.,Governance
"Gavana wa Kwale Fatuma Achani amewasihi wakazi kote Kaunti ya Kwale, hasa wale wanaoishi katika maeneo kame ya Kinango, Samburu, na Lungalunga, kupanda miti zaidi kama njia ya kupambana na ukame unaoendelea kuathiri maeneo hayo.",Governance
Kukuza elimu ya amani katika maeneo yenye migogoro 2025.,Education
Kuchunguza juhudi za kilimo cha kidijitali za IFAD katika eneo la Asia-Pasifiki. Kilimo cha kidijitali ni sehemu muhimu ya kuimarisha mifumo ya chakula.,Agriculture
Mfumo wa Utambuzi na Ufuatiliaji wa Mifugo wa Kenya hugawa idadi ya mifugo na vitambulisho vya masikio ili kusaidia kuzuia wizi na kudhibiti magonjwa.,Security
Pakua ratiba ya KCSE kutoka kwa lango la KNEC.,Education
Saidia kupandishwa cheo kwa walimu 2020.,Education
Tumia EduTV kila siku saa 8:00 AM kwa masomo ya CBC.,Education
Usiwaache watoto peke yao ndani ya magari - halijoto huongezeka kwa kasi hatari.,Security
Saidia usaidizi wa kisheria unaoendeshwa kwa simu na ufikiaji wa elimu kwa jamii za vijijini au zilizotengwa.,Security
"Seneta huyo wa zamani amewataka wakazi hao kuwapigia kura viongozi kutoka ngazi za kaunti ndogo, jimbo, na kaunti chini ya chama cha DCP katika uchaguzi mkuu wa 2027.",Governance
(EACC) inawahimiza Wakenya kuwa macho na kuepuka kunaswa na matapeli wanaotoa barua bandia za uadilifu kwa ada,Governance
Wanafunzi wanaofanya Tathmini ya Elimu ya Shule ya Msingi ya Kenya (KPSEA) na Tathmini ya Elimu ya Shule ya Wadogo ya Kenya (KJSEA) sasa watahitajika kuficha majibu yao kwa kutumia karatasi za Utambuzi wa Alama za Optical (OMR).,Education
"Serikali ya Kaunti ya Nairobi, ikiongozwa na Geoffrey Mosiria inaonya kuhusu muziki wa sauti kubwa kanisani ""Keshas"", vilabu, na baa. Inawahimiza raia kuripoti tukio lolote la uchafuzi wa kelele",Governance
"Walimu, kaeni macho! Fuatilia hatari za ujambazi karibu na shule.",Education
"Utafiti umeonyesha kwamba kuimarisha upatikanaji wa wanawake katika masoko ya chakula cha kilimo huzalisha mapato yaliyoongezeka na imara, na kuweka msingi wa ...",Agriculture
"Wanyama kipenzi na watoto wachanga hutumia tabia za kuombaomba na kula kwa njia finyu ili kudhibiti kile wanachopewa, katika uhusiano wa kusukumana. Siku na ...",Agriculture
Unyanyasaji husababisha mfadhaiko na kuacha shule. Shule lazima zitekeleze sera kali za kupambana na uonevu na kutoa ushauri nasaha kwa watoto walioathiriwa.,Security
"Tangazo la umma la usimamizi wa msongo wa mawazo, matumizi mabaya ya dawa za kulevya, usalama mahali pa kazi, na mafunzo ya ustawi kwa waajiri kupitia mtaala wa FKE.",Health
Umma unahimizwa kuepuka kuboresha utoaji wa huduma.,Governance
Jaji Martha Karambu Koome Kama CJ wa Jamhuri ya Kenya Ripoti Kuhusu Kuzingatiwa kwa Muswada wa Ushiriki wa Umma Na.,Governance
Machapisho ya Hivi Punde · ACAT 2025 yatoa wito wa uwekezaji mkubwa na ushirikiano katika suluhisho za Kilimo-Teknolojia ili kuchochea kilimo barani Afrika · Wakulima wa Malawi ...,Agriculture
Ushauri unapendekeza kuepuka mikusanyiko mikubwa na kuchukua tahadhari wakati wa matukio ya kidini na kitamaduni kutokana na hatari kubwa.,Security
"Wizara ya afya imethibitisha kisa cha kwanza cha virusi vya corona nchini Kenya. Raia huyo wa Kenya anarudi kutoka Marekani hadi Nairobi kupitia London mnamo Machi 5. Alithibitishwa kuwa na virusi hivyo na maabara ya kitaifa ya mafua. Hata hivyo, mgonjwa huyo yuko imara.",Health
Kutoa ufadhili wa masomo kwa yatima 2021.,Education
"Shirika la usimamizi wa vyombo vya habari lililaani kukamatwa na kushambuliwa kwa waandishi wa habari wanaoripoti maandamano, likitaka uchunguzi huru kuhusu ukiukwaji wa vyombo vya habari.",Security
"Kuboresha upatikanaji wa soko la kilimo kwa wanawake na wanaume kunaboresha utofauti wa lishe, lakini athari ya wanawake ni mara mbili ya ile ya wanaume.",Agriculture
Wajumbe wote 47 wa kamati ya usalama ya kaunti ya Kenya walipata mafunzo katika ulinzi wa jamii na kuzuia itikadi kali za kikatili,Security
Lengo la mradi huo lilikuwa kuzisaidia serikali katika nchi sita zinazolenga kuendeleza programu za kitaifa za CSA (na/au kuunganisha vipaumbele vya CSA katika ...,Agriculture
Operesheni hii ni sehemu ya msako unaoendelea dhidi ya rushwa katika vituo vya utoaji huduma kwa umma ili kuboresha upatikanaji wa huduma bora kwa raia wote.,Governance
Elimisha wasichana! Fundisha kuhusu hatari za ukeketaji shuleni.,Education
Toa makazi! Hakikisha kuna maeneo salama wakati wa mafuriko.,Education
Uzinduzi rasmi wa mpango wa ruzuku ili kusaidia bustani za mboga na lishe shuleni katika shule za msingi za umma jijini Nairobi.,Health
Tunawashauri wafanyakazi wote wa afya kuhakikisha wamevaa barakoa na vifaa vya kujikinga wakati wote. Tafadhali chukua hatua zote ambazo tumetangaza kwa uzito.,Health
"Shule zote zitapokea Ksh 10M kwa ajili ya kuboresha ICT ""Mkuu wa shule lazima aombe ifikapo Novemba 30!",Education
Vilabu vya elimu ya kiraia ni lazima katika shule zote za upili kuanzia 2026.,Education
"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!",Education
Kichefuchefu na kutapika mara kwa mara wakati wa ujauzito kunaweza kusababisha upungufu wa maji mwilini na kupunguza uzito. Tafuta huduma ya matibabu.,Health
"Suala la kimkakati la 3; Upatikanaji mdogo wa soko, Uwekezaji mdogo katika kuongeza thamani na matumizi duni. Lengo la 1: Kuboresha uuzaji wa viazi kwa wakulima walioongezeka ...",Agriculture
Pata rasilimali za bure! Sambaza vitabu vya kiada vya bure kwa shule za vijijini.,Education
Kusaidia elimu ya mahitaji maalum 2024.,Education
Tafuta sehemu zilizo karibu zaidi za kukusanya parachichi ambapo wanunuzi hukusanya parachichi kwa wingi. Hii inaweza kupunguza gharama za usafiri na kuboresha upatikanaji wa soko kwa wakulima wanawake.,Agriculture
"Umma unaonywa kuwa waangalifu na matapeli wanaowakaribia watu binafsi kwenye WhatsApp huku nambari zao zikionyesha picha ya wasifu wa CCF Kenya, Bw. Alex Lemarkoko.",Governance
Himiza uandikishaji wa STEM kwa wasichana 2022.,Education
Moto wa msimu wa kiangazi unatishia maeneo ya malisho. Hutengeneza njia za kuzuia moto na kuripoti matukio ya uchomaji moto.,Security
"Uraibu wa pombe ni tatizo kubwa linalowaathiri Wakenya wengi, na kuenea kwa pombe haramu katika eneo la Mlima Kenya kunazidisha tatizo hili. Vituo vya afya vya eneo hilo vinahitaji kuwa na vifaa vya kutosha kushughulikia masuala ya afya ya akili, ambayo yanaweza kuwasukuma watu katika uraibu wa pombe.",Health
Kenya na Uingereza zilifungua makao makuu ya kisasa ya Kitengo cha Polisi cha Kupambana na Ugaidi huko Mombasa ili kuongeza uwezo wa usalama wa pwani.,Security
Polisi wa Malindi waripoti kupungua kwa uhalifu wa vijana.,Security
"Mikahawa lazima; 1. kuhakikisha ubora na usalama wa chakula, suuza na usafi wa nyuso zinazogusa chakula, safisha nyuso, sakafu na kaunta. 2. Weka maji ya kutosha yanayobebeka na beseni za kufulia zinazoweza kufikika kwa ajili ya kunawia mikono, kwenye sehemu za kuingilia na za kutokea.",Health
"Mbinu kama vile kupumua kwa kina, kutembea au kutumia muda nje ni zana zinazotumika kwa wote katika kudhibiti msongo wa mawazo wa kila siku.",Health
Usafiri mzuri husafirisha vitunguu vyako sokoni haraka na katika hali nzuri. Elewa chaguzi za vifaa na mambo ya kuzingatia kuhusu gharama.,Agriculture
"Pakua karatasi za marekebisho za KCSE 2025 bila malipo sasa — ' — "" masomo yote yanayopatikana.",Education
Uchambuzi wa kitaaluma ulihusisha unyanyasaji unaohusiana na maandamano na kutokujali kwa polisi kwa utaratibu uliotokana na kushindwa kwa uwajibikaji wa kihistoria.,Security
Mwenyekiti wa Tume Wafula Chebukati anahimiza Mashirika ya Kidini kuwa na jukumu la pamoja la kuhakikisha tuna uchaguzi huru na wa haki wa amani mwezi Agosti 2022.,Governance
EACC iliwasihi viongozi wa Bungoma kuunga mkono uchunguzi wa kupambana na ufisadi.,Security
"Kenya yasaini ruzuku sita za Mfuko wa Kimataifa zenye thamani ya Sh59.7 bilioni kusaidia uingiliaji kati wa VVU, Kifua Kikuu na malaria; ufadhili wa kuimarisha mifumo ya afya na jamii kwa miaka mitatu.",Health
Elimisha wanafunzi! Fundisha usalama wa moto shuleni.,Education
Mkutano wa kutangaza ambapo nchi inasaini rasmi Programu ya Pamoja ya Lishe ya UNSDCF ili kusaidia kazi za sekta mbalimbali.,Health
"Wakati wa Kuchunguza Afya ya Akili! Wakati wa Kuchunguza Afya ya Akili! Afya yako ya akili ni muhimu kama vile afya yako ya kimwili. Chukua muda kujichunguza leo. 1. Unajisikiaje kihisia? 2. Je, unapata mapumziko ya kutosha? 3. Je, unakula vizuri? 4. Je, umekuwa ukifanya mazoezi hivi karibuni? 5. Je, unahitaji kuzungumza na mtu? Kumbuka, ni sawa kutafuta msaada ikiwa unahitaji. Ustawi wako wa akili ni muhimu!",Health
"Wafanyakazi wa afya wanahitaji mafunzo maalum katika utunzaji unaozingatia majeraha, ukusanyaji wa ushahidi, kuripoti kwa lazima, na rufaa zilizoratibiwa kwa waathirika.",Security
Shule zimefungwa kwa ajili ya uchaguzi? Tumia mapumziko kusasisha maelezo yako ya mpiga kura kupitia *222#.,Education
"Unganisha miti na kilimo chako cha mifugo (kilimo mseto) kwa ajili ya kivuli, vizuizi vya upepo, matunda, mbao, na afya bora ya udongo.",Agriculture
Kuwa salama kutokana na virusi vya corona. Kuosha mikono yako ndiyo njia muhimu zaidi ya kuzuia maambukizi. 1. Lowesha mikono 2. Paka sabuni ya kutosha 3. Sugua sehemu zote za mikono kwa sekunde 20-30. 4. Suuza vizuri na maji yanayotiririka 5. Kausha mikono kwa kitambaa safi au taulo ya matumizi moja,Health
Wizara ya Elimu inasisitiza kwamba fomu za ufadhili wa masomo zinasambazwa kwa uhuru na hazihitaji malipo. Ombi lolote la pesa linapaswa kuripotiwa.,Security
Linda watoto! Ripoti unyanyasaji au usafirishaji haramu kwa 116.,Education
Wizara ya Afya huandaa jukwaa na washirika wa vyombo vya habari ili kutangaza faida za kunyonyesha kwa wazazi wanaofanya kazi.,Health
"Je, unajua kwamba Chama cha Msalaba Mwekundu cha Kenya kinatoa huduma za ushauri nasaha bila malipo masaa 24 kwa siku, siku 7 kwa wiki? Tupigie simu kwa 1199 nasi tutakuwepo kwa ajili yako. Tangu Januari-Juni 2019, timu yetu ya Huduma za Afya ya Akili na Usaidizi wa Kisaikolojia ilihudhuria simu 513.",Health
"Kupunguza ushuru kunaleta uhuru katika masoko, kurahisisha upatikanaji wa bidhaa zinazoagizwa kutoka nje, na hatimaye kunaweka sekta zinazoshindana na uagizaji ndani ya nchi katika hali iliyoimarika ...",Agriculture
Nyoka hutafuta makazi majumbani wakati wa mafuriko. Tumia mienge usiku na epuka kutembea bila viatu.,Security
Jifunze kwa raha! Wape wanafunzi madawati na viti.,Education
Utambulisho wa watoto unaweza kuibiwa kwa udanganyifu. Wazazi wanapaswa kulinda vyeti vya kuzaliwa na kufuatilia ripoti za mikopo.,Security
Jilinde wakati wa maandamano! Epuka maeneo ya maandamano karibu na shule.,Education
Kuwa mwangalifu dhidi ya mbinu za 'wizi wa usumbufu' katika maeneo ya umma.,Security
Saidia ukuzaji wa vipaji 2022.,Education
Angazia hadithi za wanafunzi waliobadili jinsia wanaopigania haki za elimu.,Security
Jifunze jinsi kilimo kinavyoweza kuchangia katika programu za kulisha watoto shuleni kwa kusambaza mazao mapya ya ndani kama vile kale.,Agriculture
"Kampeni ya polisi jamii huko Lamu iliwashirikisha vijana, wazee, na mashirika ya usalama ili kuimarisha mifumo ya tahadhari na utoaji wa taarifa mapema.",Security
Wafundishe watoto sheria za hatari wageni na hakikisha wanasafiri kwa vikundi. Watoe taarifa kwa watoto waliopotea mara moja.,Security
"Ilionya umma kuhusu taarifa potofu zilizoenea mtandaoni kuhusu madai kwamba usajili ulikuwa wazi, ikisema madai haya ni ya ulaghai.",Governance
Tangazo la kupitishwa kwa mtama na mtama ili kukuza lishe bora na zenye virutubisho vinavyozingatia hali ya hewa katika jukwaa la kitaifa la sera.,Health
Wafunze wanafunzi! Wafunze kuzuia biashara haramu shuleni.,Education
Nyoka huuma wanyama wakati wa kiangazi. Safisha vichaka na utafute matibabu ya haraka kwa kuumwa.,Security
Muhtasari wa sheria mpya za kukabiliana na ugaidi za Uingereza ikiwa ni pamoja na upotoshaji wa vijana na zana zilizoboreshwa za usimamizi wa hatari.,Security
Kundi la utetezi la PRWG liliwahimiza kuwajibika kwa jinai makamanda wakuu ambao wasaidizi wao hufanya utovu wa nidhamu na kupanua mafundisho ya wajibu wa amri.,Security
Asante kwa maoni yako. Tafadhali ripoti kesi zote za ufisadi na rushwa kwa EACCKenya,Governance
Ripoti unyanyasaji wa kijinsia shuleni kupitia 0800721524 – bila kujulikana na bure!,Education
Kuwa mwangalifu! Ripoti udanganyifu wa ada ya shule kwa mamlaka.,Education
mifumo ya kilimo thabiti na tofauti. iii. Kupa kipaumbele upanuzi wa ... Boresha upatikanaji wa soko na miundombinu: Kuendeleza miundombinu ya soko na.,Agriculture
"Akina mama vijana wanahitaji msaada wa ziada wa kihisia, lishe, na matibabu. Jamii zinahimizwa kupunguza unyanyapaa na kukuza utunzaji jumuishi.",Health
Kenya na Indonesia zilifanya warsha ya Nairobi-Mombasa ili kushiriki mbinu zinazotegemea jamii na kuandaa hati ya makubaliano kuhusu ushirikiano wa PCVE.,Security
Jiunge nasi katika vita dhidi ya ufisadi. Kuwa sehemu ya suluhisho.,Security
Usiache vifaa vya umeme vimeunganishwa kwenye soketi wakati havitumiki.,Security
Habari za asubuhi. Tunashughulikia nambari za usajili ndani ya siku 7 za kazi. Kamwe usishughulikie madalali. Ripoti visa vya ufisadi kwa @EACCKenya,Governance
"Taarifa hiyo ilisema, NPS bado imejitolea kufanya kazi kwa karibu na jamii za wenyeji, Maafisa wa Utawala wa Serikali ya Kitaifa, na wadau wengine ili kukuza mshikamano wa amani na kuhakikisha usalama wa raia wote, wakazi, na wageni kupitia mipango endelevu ya upokonyaji silaha na ulinzi wa jamii.",Governance
Saidia wahamaji! Fadhili shule zinazohamishika kwa wafugaji.,Education
Magenge ya wahalifu huwanyanyasa watoto kwa kuombaomba. Ripoti kesi kama hizo kwa polisi kwa ajili ya uokoaji na ukarabati.,Security
"Kutangaza uzinduzi wa mpango wa Nchi unaoweka kipaumbele lishe ya mama na mtoto, ujumuishaji wa elimu ya kilimo na ufuatiliaji wa sekta nyingi.",Health
Habari za jioni. Tafadhali kumbuka kuwa sehemu ya Ushuru imesasishwa kama IMALIPO na rekodi zako zimesasishwa. Sasa unaweza kuona maelezo ya gari lako kupitia lango la huduma.,Governance
Nauli ya basi bila malipo kwa wanafunzi wote wa TVET wanaoripoti Januari wasilisha barua yako ya kujiunga.,Education
Sasisha viwango vya usalama 2022.,Education
"IEBC itatembelea shule 2,000 wiki ijayo ili kuhakikisha wanafunzi wote wa kidato cha 4 wana kadi za wapiga kura.",Education
Umoja wa Mataifa una wasiwasi kuhusu vifo vya waandamanaji; wito wa uwajibikaji.,Security
Mbinu ambazo teknolojia ya ICIPE ya kusukuma-kuvuta hushinda viwavi jeshi wa kuanguka. ICIPE. PlantwisePlus Knowledge Bank Karatasi ya Taarifa ya Video 12 Septemba 2024.,Agriculture
Kufunguliwa kwa makao makuu ya Kitengo cha Polisi cha Kupambana na Ugaidi Mkoa wa Pwani ili kuboresha majibu ya kesi za ugaidi.,Security
"Taarifa rasmi inayothibitisha tena kujitolea kwa Kenya katika uwekaji lebo wa bidhaa za chakula, vikwazo vya uuzaji wa chakula, na uratibu wa sera za mipakani.",Health
Watu wenye ulemavu wanakabiliwa na hatari kubwa zaidi za vurugu. Huduma lazima zikidhi mahitaji ya ufikiaji na kutoa usaidizi jumuishi.,Security
"Ili kurahisisha ongezeko la tija na mazao ya kilimo kupitia ugani, huduma za ushauri na matumizi ya teknolojia. 2. Kukuza soko na ...",Agriculture
Waandaaji wa majopo kwa ajili ya waathiriwa wa ubaguzi wa kikabila.,Security
Fuatilia mali za umma zilizopatikana na utetee matumizi yake katika miradi ya ustawi wa jamii,Security
"Viongozi wa eneo la Lamu Mashariki wamewahimiza wakazi kuungana na kuwachagua viongozi wenye maono kabla ya uchaguzi mkuu ujao, wakitaja maendeleo ya polepole katika eneo hilo. Waliwahimiza jamii ya Bajuni kuwaunga mkono viongozi waliojitolea kutoa huduma na utawala bora. #KBCniYetu ^MM",Governance
Mabaraza ya jamii husaidia kushughulikia vikwazo vya kitamaduni na kukuza tabia ya kutafuta afya miongoni mwa akina mama.,Health
Jukwaa la majaribio la kaunti ndogo limezinduliwa ili kujenga uaminifu wa jamii na kuboresha utoaji wa taarifa kwa umma kama sehemu ya mkakati wa kitaifa wa kukabiliana na ugaidi wa vurugu.,Security
Ndege wakubwa huwinda mifugo midogo. Tumia vifaa vya kutisha na uweke zizi zilizofunikwa.,Security
Marekani yaonya kuhusu maandamano ya CBD jijini Nairobi; panga harakati kwa uangalifu.,Security
"Uzinduzi wa umma wa bidhaa za mchele zilizoongezewa madini ya chuma, asidi ya foliki, vitamini B, iodini na zinki, unaoendana na viwango vya serikali vya urutubishaji.",Health
