English,Kiswahili,Ekegusii,Domain
The Ministry provides education about crop resilience and proper use of water.,N/A - Pending Fine-Tuned Model Inference,Eminisituri nigo ekorwaogosemia igoro yogwekomereria ekero kieguragura na yogotumia amache buya.,Agriculture
"Accordingly, the Authority encourages members of the public to report all cases of corruption they encounter at the Authority using the following means; i.","Kwa hivyo, Mamlaka inawahimiza wananchi kuripoti visa vyote vya rushwa wanavyokabiliana navyo katika Mamlaka kwa kutumia njia zifuatazo; i.","Korengana nayio, oboteneneri nigo bogosegeta abanto bonsi orwa amanag'ana igoro yobokorekanu bakoumerana naro ase abatenereri goetera chinhera echi; i.",Governance
Kenya: Vaccine Shortages Endanger Children’s Lives in Remote and Humanitarian Settings,Kenya: Uhaba wa Chanjo Unahatarisha Maisha ya Watoto katika Mipangilio ya Mbali na ya Kibinadamu,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"On the recruitment day, candidates must report to designated centres by 8am with the original and copies of their academic certificates, ID cards, birth certificates, and, where applicable, NYS discharge certificates with at least a 'GOOD' conduct rating.","Siku ya kuajiri, wagombea lazima waripoti katika vituo vilivyoteuliwa ifikapo saa 2 asubuhi wakiwa na cheti halisi na nakala za vyeti vyao vya kitaaluma, vitambulisho, vyeti vya kuzaliwa, na, inapohitajika, vyeti vya kufukuzwa vya NYS vyenye angalau ukadiriaji wa 'GOOD' wa mwenendo.","Rituko riria riokwerika, baria bakorigia chikura goika bemanyie ase chisenta chiria chiogoaka chikura chinsa ibere chia mambia ama nechisatifiketi chiabo buna basomete, Ekebande kiabo, Ekebande giokoiborwa, na ase ekonyarekana, esatifiketi yamasomo korwa ekeombe kiobokoreri bwa abasae (NYS) gekworokia buya buna ebikoru bioyio bire.",Governance
KNCHR provides free legal aid during public forums.,N/A - Pending Fine-Tuned Model Inference,Ekeombe keria ekenene kerendete oboronge bwakemwanyabanto KNCHR nkorwa kere obokonyi bwa bosa chingaki chiemesangerekano emenene.,Education
KNCHR promotes civic education for people with disabilities.,N/A - Pending Fine-Tuned Model Inference,Ekeombe keria ekenene kerendete oboronge bwakemwanyabanto KNCHR ngesegetete chisemi ase abana bare noboremaru ao ao.,Education
"Deworming infants in every 6 months promotes body development, intellectual growth and academic capacity",N/A - Pending Fine-Tuned Model Inference,"Goita ebianda asè ebingwerere kera emetienyi etano nomo ngosegeta kore ogokina, ebirengo biechinguru na gokora buya amasomo",Health
"Official launch of a campaign integrating sanitation and nutrition messaging, coordinated via civil society coalitions.","Uzinduzi rasmi wa kampeni inayojumuisha usafi wa mazingira na ujumbe wa lishe, iliyoratibiwa kupitia miungano ya asasi za kiraia.","Okorari bene ekampeni ekorenta amo obochenu ase atoetanaine, na chiesmi chiechindagera buna chiraroberetwe ime ya ebiombe bia mwanyabanto",Health
Ministry urges farmers to adopt waterâ€‘harvesting irrigation techniques.,Wizara inawahimiza wakulima kutumia mbinu za umwagiliaji za kuvuna maji.,Eminisitury yoboremi nigo egosorora abaremi kwegera gotacha amache â€‘ enchera yogotacha amache.,Agriculture
Effectively market your free-range eggs or services using social media platforms. Get tips on creating engaging content and reaching customers.,Tangaza kwa ufanisi huduma au huduma zako za kujivinjari kwa kutumia mitandao ya kijamii. Pata vidokezo kuhusu kuunda maudhui yanayovutia na kuwafikia wateja.,Oboonia obuya bwamagena echingoko chiao chiria chigotara isiko goetera obokoreri bwembeo namagaseti. Nyora obomanyi igoro buna oranyare komanyekania amagena echingoko chiao na goikera abagori.,Agriculture
"Over 90,000 teacher deficit hampers curriculum implementation.",N/A - Pending Fine-Tuned Model Inference,"Obokeanu bwabarimu goetania chirifu 90,000 ybeire akong'u goikerania omoroberio bwamasomo.",Education
"Malaria's gendered burden: Recent floods heighten risk for women, girls",Mzigo wa Malaria kwa jinsia: Mafuriko ya hivi karibuni yaongeza hatari kwa wanawake na wasichana,"Omosigo Bwa Esosera ase abakungu/abasacha:
 Embura enyinge nigo ekomenta okonyarekana Kwa obobe gokorekana ase abasubati na chinyaroka",Health
PART II — DESIGNATION OF REGULATORY AUTHORITIES 6— Regulatory authorities. 7— Functions of the relevant regulatory authorities. 8— Guiding principles of the relevant regulatory authority.,SEHEMU YA II - UTEUZI WA MAMLAKA ZA USIMAMIZI 6- Mamlaka za udhibiti. 7- Kazi za mamlaka husika za udhibiti. 8- Kanuni elekezi za mamlaka husika ya udhibiti.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya Situation Update | April 2023: Rise in Disorder as Opposition Stages Mass Demonstrations,Sasisho la Hali ya Kenya | Aprili 2023: Kuongezeka kwa Matatizo Huku Upinzani Unapofanya Maandamano Makubwa,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"The KCC’s approach is guided by the understanding that how assistance is delivered, the scale of delivery, and what partners are engaged, account for the largest gains and losses in efficiency and effectiveness.","Mtazamo wa KCC unaongozwa na ufahamu kwamba jinsi usaidizi unavyotolewa, ukubwa wa utoaji, na washirika gani wanashirikishwa, huchangia faida na hasara kubwa zaidi katika ufanisi na ufanisi.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
KICD announces plans to accelerate the development of digital learning content for primary school learners.,N/A - Pending Fine-Tuned Model Inference,Ekeombe keria getenerete buna amasomo akorosigwa (KICD) yararirie omoroberio bwogosegeta okorosia ayabwenerete gosomigwa yegedichitari ase abana bechisukuru chioboroso.,Education
They have no father and no support.,Hawana baba na hawana msaada.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"CPA JOHN MBADI NG’ONGO, EGH CABINET SECRETARY PUBLIC NOTICE INVITATION TO SUBMIT COMMENTS, VIEWS AND MEMORANDA ON POSSIBLE AREAS FOR AMENDMENTS TO THE PUBLIC PROCURMENT AND ASSET DISPOSAL ACT 2015","CPA JOHN MBADI NG’ONGO, EGH KATIBU WA BARAZA LA MAWAZIRI TAARIFA KWA UMMA KUWASILISHA MAONI, MAONI NA KUMBUKUMBU JUU YA MAENEO YANAYOWEZEKANA KWA MABADILIKO YA SHERIA YA MANUNUZI NA UTUMAJI WA MALI YA UMMA 2015.",N/A - Pending Fine-Tuned Model Inference,Governance
Mental health is important in work places and successful service delivery. Prioritize mental health more than bodily priorities.,N/A - Pending Fine-Tuned Model Inference,Okoba buya kw’obongo nigo kore okw’engencho gotwara chinsemo chiemeremo chibwate okobioka na afya. Tang’ania afya y’obongo buna oratanganie eya kemobere.,Health
Report biosecurity threats such as seed or livestock smuggling to KEPHIS or local authorities,Ripoti vitisho vya usalama wa kibiolojia kama vile ulanguzi wa mbegu au mifugo kwa KEPHIS au mamlaka za mitaa,Manyia abagambi otari konyorwa igoro obokengeka bwogosoi chimbego chikorenta amairwaire ase oboremi bwaito gose amasingira buna chimbego chia pandia gose oboibi bwechiombe gochia ekeombe keria ekenene gia Kenya getenerete oborosia na obabagi bwechimbego (Kenya Plant Health Health Inspectorate Services (KEPHIS( gose abambi bebinyoro.,Security
IEBC urges students to take this opportunity to register as voters.,IEBC inawasihi wanafunzi kutumia fursa hii kujiandikisha kama wapiga kura.,IEBC yaboriria aborokigwa koerikia buna abaaki chikura,Governance
"Kenya, Africa | Complex Emergency - Operational Update #1 (MDRKE068)","Kenya, Afrika | Dharura Changamano - Sasisho la Uendeshaji #1 (MDRKE068)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
West Pokot: Drought Early Warning Bulletin for May 2023,Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Mei 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Summary: Best Farming Practices in Kenya: A Pathway to Sustainable Agriculture in 2025,N/A - Pending Fine-Tuned Model Inference,Obweng'e: Chinchera chingiya chioboremi aiga Kenya: Ekebao gochia oboremi bwokwegendereria omwaka 2025,Agriculture
Kenya Accreditation Services 23.08.2024 9:00 a.m- 9:30 a.m.,N/A - Pending Fine-Tuned Model Inference,N/A - Pending Fine-Tuned Model Inference,General
Makueni County: Drought Early Warning Bulletin for September 2024,Kaunti ya Makueni: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Public transport burn in Nairobi, Mombasa and Mandera will be extended for one more month. All bars to remain closed for the next more 30 days",N/A - Pending Fine-Tuned Model Inference,"Ogotenenenigwa bw'obosombi ase emechi ya Nairobi ,Mombasa na Mandera komentwa omotienyi oyomo. Chibaa kogenderera gosiekwa ase amatuko 30 ande.",Health
TVETA undertakes review of TVET curricula to integrate skills for Industry 4.0 including robotics and automation.,N/A - Pending Fine-Tuned Model Inference,Aborai bwekeombe keria ekenene getenerete chikorechi chiobobundi nechisemi chiokwegendereria TVETA kianekirie korogereria keboyia amasomo a TVET erio kobwatania ochusi eganieirie ase chifakitori 4.0 amo na tekinorochia yechimasini chifakitori chigwekora egasi chioka.,Education
Inspect dorms! Ensure fire safety compliance in schools.,Kagua mabweni! Hakikisha unazingatia usalama wa moto shuleni.,Rora nga chinyomba chiabana bakorara mbuya chire! Ikerania amachiko gotanga ogwateka kwemerero ase chisukuru.,Education
"Keep schools open! Parents, pay fees promptly.","Weka shule wazi! Wazazi, lipa ada haraka.","Igoro chisukuru! Abaibori, akana esukuru fisi motachi gochererwa.",Education
"Imports of fertilizers have already been delayed, affecting their timely application at the beginning of the 2026 cropping season, particularly in market‑oriented agricultural areas of western parts of the country.","Uagizaji wa mbolea tayari umecheleweshwa, na hivyo kuathiri utumiaji wake kwa wakati mwanzoni mwa msimu wa mazao wa 2026, haswa katika maeneo ya kilimo yenye mwelekeo wa soko wa maeneo ya magharibi mwa nchi.",N/A - Pending Fine-Tuned Model Inference,Agriculture
"In addition to public education, the teams would announce the location and dates where the community could access the vaccination.","Mbali na elimu kwa umma, timu hizo zingetangaza mahali na tarehe ambapo jumuiya inaweza kupata chanjo.",N/A - Pending Fine-Tuned Model Inference,Health
"Formal launch of digital advocacy initiative mobilizing influencers and civil society to promote nutrient profiling, FOP labelling, and policy change.","Uzinduzi rasmi wa mpango wa utetezi wa kidijitali unaowahamasisha watu wenye ushawishi na asasi za kiraia ili kukuza uainishaji wa virutubisho, uwekaji lebo wa FOP, na mabadiliko ya sera.","Ogochakigwa kwa omoroberio bwokoegerera dichito, gosegeta abatiotereri okuya amo nebiombe bia abanyo erio koaranani chindagera, okobeka amangana ya FOP, Na oboonchoreri bwamachiko",Health
"In brief, the best agriculture practices in Kenya: opportunities to in transformative farming 2025.",N/A - Pending Fine-Tuned Model Inference,Obweng'e: Chinchera chingiya chioboremi aiga Kenya: Ekebao gochia oboremi bwokwegendereria omwaka 2025,Agriculture
Videos show how youth practice civic actions,N/A - Pending Fine-Tuned Model Inference,chisinema echi nigo chikworokia buna abasae bakwegera gokora emeremo ase ebinyorobiabo.,Education
Extremist groups target vulnerable children. Communities should report suspicious recruitment activities.,Makundi yenye msimamo mkali yanawalenga watoto walio katika mazingira magumu. Jamii zinapaswa kuripoti shughuli za kuajiri zinazotiliwa shaka.,Ebiobago biria bigosaria amongo abanto na kobaira obokebago bwokotuta chipomu nigo nigo birengete abana baria batari kwenyara gose korwa emchie emetaka . Abanto gioka barwe eripoti igoro yebinto bare nechitang'utang'u nabirobio gose okorikwa gosoa obokebago obwo.,Security
Sleeping under insecticide-treated nets protects expectant mothers and their unborn babies from malaria.,Kulala chini ya vyandarua vilivyotibiwa dawa za kuua wadudu huwalinda akina mama wajawazito na watoto wao ambao hawajazaliwa kutokana na malaria.,Korara ime yechineti chisibirie namariogo yogoita chinkoromba nigo chikorenda abasubati bare barito na abana babo bataraiborwa korwa ase esosera.,Health
Support refugee education 2021.,Saidia elimu ya wakimbizi 2021.,Sira chisemi chia baria batamire chisegi korwa sobo omwaka 2021.,Education
KUCCPS recalls 2023 KCSE placement letters due to fee structure changes.,N/A - Pending Fine-Tuned Model Inference,Ekeombe keria ekenene getenerete korangeria abana gochia eyunifasiti KUCCPS giasabire amarube yogosoa chikorehi ase abana bakorete esekenderi KCSE omwaka 2023 ase engencho yamasomo abosa.,Education
"These labs ensure that stool and environmental samples are quickly tested for polioviruses, guiding immunization campaigns and outbreak response.","Maabara hizi huhakikisha kwamba sampuli za kinyesi na mazingira zinajaribiwa kwa haraka kwa virusi vya polio, kuongoza kampeni za chanjo na mwitikio wa mlipuko.",N/A - Pending Fine-Tuned Model Inference,Health
State Dept. promoting millet and sorghum blends as pilot menu in adaptation to climate-resilient diets.,Idara ya Jimbo inakuza mchanganyiko wa mtama na mtama kama menyu ya majaribio katika kukabiliana na lishe zinazostahimili mabadiliko ya hali ya hewa.,Orosagia rwa eserekali ngosegeta ere oboremi rwa obori na amaemba komentwa ase chindagera chia amatemwa korwana na ogoonchoka kwa erire,Health
"ARTICLE 19 condemns Kenyan officials' use of violence and intimidation against students, the public, and journalists.","KIFUNGU CHA 19 kinalaani matumizi ya vurugu na vitisho kwa maafisa wa Kenya dhidi ya wanafunzi, umma, na waandishi wa habari.",N/A - Pending Fine-Tuned Model Inference,Governance
"She is one of 4,250 community health promoters who worked to ensure up to 13 million children across Kenya received medicines to combat neglected tropical diseases.","Yeye ni mmoja wa waendelezaji wa afya ya jamii 4,250 ambao walifanya kazi ili kuhakikisha hadi watoto milioni 13 kote nchini Kenya wanapokea dawa za kukabiliana na magonjwa ya tropiki yaliyosahaulika.",N/A - Pending Fine-Tuned Model Inference,Health
Kenya - Garissa County - Dadaab - Dagahaley Refugee Camp - Administration Offices and Community Facilities Infrastructure - as of May 2022,Kenya - Kaunti ya Garissa - Dadaab - Kambi ya Wakimbizi ya Dagahaley - Ofisi za Utawala na Miundombinu ya Vifaa vya Jamii - hadi Mei 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Take a deep breath and relax. Listen to your body. If youre really tired, give yourself time to sleep. Without good sleep, our mental health suffers and our concentration goes downhill. Sometimes the world can wait.","Vuta pumzi ndefu na upumzike. Sikiliza mwili wako. Ikiwa umechoka sana, jipe ​​muda wa kulala. Bila usingizi mzuri, afya yetu ya akili huharibika na umakini wetu hupungua. Wakati mwingine ulimwengu unaweza kusubiri.","Ng'usa omoeso omana gotoerera.Tegerera omobere oo.Onye kwarosire mono,twara chingaki chi’ogotimoka. Kero totarikonyora chitoro boikeranu, ebirengererio biato nigo bigochandeka. Ebirengererio biato nigo bikogenda inse. Chinsa chinde tiga ebinto binde biratimoka.",Health
IMLU report on community policing committees in Narumoru (serving Nyeri and Nyandarua region),Ripoti ya IMLU kuhusu kamati za polisi jamii huko Narumoru (zinazohudumia mkoa wa Nyeri na Nyandarua),Ekeombe kia IMLU kiarure eripoti igoro yechikomoti chiabarendi boborendi aaria Narumoru (egokorera ensemo ya Nyandarua),Security
This advertisement is placed for general public information.,Tangazo hili limewekwa kwa habari ya jumla ya umma.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Comments are most helpful if they indicate the specific regulation or group of regulations to which they relate, contain a clear rationale , and where applicable provide a suggestion for alternative wording.","Maoni husaidia sana ikiwa yanaonyesha kanuni mahususi au kundi la kanuni ambalo yanahusiana nayo, yana mantiki iliyo wazi , na inapotumika kutoa pendekezo la maneno mbadala.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
USDA enhances avian influenza surveillance in poultry to prevent outbreaks.,N/A - Pending Fine-Tuned Model Inference,Ekeombe kia USDA bkwangoi kere okobeta chisindani chiogotanga endwari yechingoko gotanga oborwaire obwo .,Agriculture
Help children understand the arrival of a new sibling to reduce jealousy and promote bonding.,Wasaidie watoto kuelewa ujio wa ndugu mpya ili kupunguza wivu na kukuza uhusiano wa karibu.,Konya abana bamanye ogotoka kwa abana bande bamwabo erio gokeani engareka na gotingia okoigwanana,Health
"Push For SHA Registration Nairobi county Woman Rep Esther Passaris, urges Kenyans to register for SHA to make it easy to access government health services.","Shinikiza Usajili wa SHA Mwakilishi wa Wanawake wa kaunti ya Nairobi Esther Passaris, anawasihi Wakenya kujiandikisha kwa SHA ili kurahisisha upatikanaji wa huduma za afya za serikali.","Ogosegeta gokwerikia ase omoroberio bw'obobwenia SHA omobunge omosubati ase ase ekaunti ya Nairobi Esther Passages, oboririe abakenya kwerikia ase omoroberio bw'obobwenia SHA erio kobabera aororo goikera obobwenia obuya ase chinyagetari.",Governance
National Treasury launches budget literacy training to promote transparency.,N/A - Pending Fine-Tuned Model Inference,Ekegancha ekenene giansire gosomia abanto igoro yobobagi gosegeta obomaiso marore.,Education
Install barriers on windows and doors on upper floors to prevent children from falling.,Weka vizuizi kwenye madirisha na milango kwenye ghorofa za juu ili kuzuia watoto kuanguka.,Sambereria gose beka ase emerangwa nechitirisa ase enyoba yeekorofa ebinto bigokonya gotanga abana tibagwa inse.,Security
Kenya: Registered refugees and asylum-seekers (as of 31 May 2022),Kenya: Wakimbizi waliosajiliwa na wanaotafuta hifadhi (kuanzia tarehe 31 Mei 2022),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Announcement on the campaign to create awareness through radios and televisions in the month to create awareness on mental health day,N/A - Pending Fine-Tuned Model Inference,Okoraria ekampeini yokoererania ase chiredio nechitivi ekero kiomotienyi bwokararia oborwaire bw'obongo,Health
"Every day, we are vulnerable to a new outbreak, disease, pandemic or virus. Recent ones include the Marburg virus, Mpox, Ebola, Zika and the nightmarish experience we faced during the Covid-19 pandemic.","Kila siku, tuko katika hatari ya kupata mlipuko mpya, ugonjwa, janga au virusi. Vipya ni pamoja na virusi vya Marburg, Mpox, Ebola, Zika na tukio baya tulilokabiliana nalo wakati wa janga la Covid-19.","Kera rituko, ntore ase obokong'u bwokonyora oborwaire obonyia,gose ogoateka Kwa oborwaire bonde bwensi .
 Chindwari chia ange iga ng'amo na Mpox, Ebola, Zika na obokong'u obobe twaetera engaki ya ogoateka Kwa COVID-19",Health
"Make cold rooms to store perishable food stuff as you wait to reach markets like tomatoes, vegetables and milk, to sale later at opportunistic prices without losses.",N/A - Pending Fine-Tuned Model Inference,"Rosia chinyomba chiobokendu ase okogacha chindagera chiria chigosareka bwango buna enchera eyemo yogochigesa amatuko koganyete gochiira echiro buna chinyanya nechingeni na amabere, eye nigo ekogonya gochigaka erio gochionia chingaki chia motwe ase rigori rigiya na gotanga asara.",Agriculture
Kajiado County: Drought Early Warning Bulletin for April 2024,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame la Aprili 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Kenya, Africa | Floods 2023 Operation Update (MDRKE058) (05/02/2024)","Kenya, Afrika | Sasisho la Operesheni ya Mafuriko 2023 (MDRKE058) (05/02/2024)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"In this remote part of Kenya, long distances, difficult terrain and insecurity continue to limit access to skilled care during childbirth, placing mothers and newborns at significant risk.","Katika sehemu hii ya mbali ya Kenya, umbali mrefu, ardhi ngumu na ukosefu wa usalama unaendelea kuzuia upatikanaji wa huduma za kitaalamu wakati wa kujifungua, hivyo kuwaweka akina mama na watoto wachanga katika hatari kubwa.",N/A - Pending Fine-Tuned Model Inference,Security
"Make proper application of fertiliser in beans cultivation, understanding soil nutrient requirements, selecting best seeds and fertizer application of correct ratio and timing.",N/A - Pending Fine-Tuned Model Inference,"Tumia obwoyo buyaase oboremi bwao bweching'ende ase okomanya ekere riroba ria riganetie, gochora embusuro engiya, na kobeka obwoyo bwekerengo ekerongo ase chingaki chingiya.",Agriculture
Laikipia County: Drought Early Warning Bulletin for July 2022,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Monitoring Impacts of Shocks on Households in Kenya,Kufuatilia Athari za Mishtuko kwa Kaya nchini Kenya,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Automation of the self-declaration process is now live. Uphold integrity by complying online today.,Mchakato wa kujitangaza kiotomatiki sasa unaendelea. Dumisha uadilifu kwa kufuata sheria mtandaoni leo.,Okwemanyekania aye omonyene igoro yenibo obwate bono nigo ogekorwa goetera egedichitri gose eintaneti. Segeta obokeene ase ogoikerania ayio goetera eintaneti.,Security
Summit on Institutional Clean Cooking.,Mkutano kuhusu Upishi Safi wa Kitaasisi.,"Okoumerana okonene igoro  yogotumia egasi, esora gose esitima korosia endagera.",Education
Laikipia County: Drought Early Warning Bulletin for August 2024,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Let us continue to observe the containment measures of hand washing, maintaining social and physical distance and wearing of face masks among others. #KomeshaCorona update.","Wacha tuendelee kuzingatia hatua za kuzuia za kunawa mikono, kudumisha umbali wa kijamii na mwili na uvaaji wa barakoa kati ya zingine. #KomeshaCorona sasisho.",N/A - Pending Fine-Tuned Model Inference,Public Health
Kenya continues with a robust plan to control livestock diseases .,N/A - Pending Fine-Tuned Model Inference,Kenya negendererete gosegeta omoroberio bwogotanga amarwaire etugo.,Agriculture
Returning Officer for the Nguu/Masumba County Assembly Ward (CAW) by-election Moureen Kerebi Oyaro urges voters and media to observe Covid-19 protocol.,Afisa Msimamizi wa Uchaguzi mdogo wa Wadi ya Bunge la Kaunti ya Nguu/Masumba (CAW) Moureen Kerebi Oyaro anawasihi wapiga kura na vyombo vya habari kuzingatia itifaki ya Covid-19.,Omobisa bwe'chikura Nguu/Masumba chikura chinke Moreen Kerebi Oyaro obooriri abaaki chikura na abariki amangana kobwatia amarago a korona,Governance
Marsabit County: Drought Early Warning Bulletin for January 2024,Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Kenya - New influx of refugees (DG ECHO, UNHCR) (ECHO Daily Flash of 4 November 2022)","Kenya - Wingi mpya wa wakimbizi (DG ECHO, UNHCR) (ECHO Daily Flash ya 4 Novemba 2022)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
