English,Kiswahili,Ekegusii,Domain,PSA_Probability,Is_PSA
Ministry of ICT launches digital skills training programs aimed at young entrepreneurs to foster innovation and startups.,,"Eminisitiri Yamangan, Gokwanerana na Egetekinorochia (ICT) yaansire omoroberio bwogosomia ochusi yegedichitari orengete abase abake bare nebirengererio biogochaka ebiasara na babwate obmanyi bwokorora emechando  na koyekora goetra ebinto bakorosia gose getekonorochi.",Education,0.8539,1
Kajiado County: Drought Early Warning Bulletin for February 2023,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8665,1
Create a family emergency plan and meeting point for disasters.,Unda mpango wa dharura wa familia na mahali pa kukutania majanga.,Manyererania genkio nabanto benyoma yao aase ogotamera chingaki chiomobasekano.,Security,0.6756,1
Marsabit County: Drought Early Warning Bulletin for April 2022,Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Aprili 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8551,1
A farming system aimed at crops resilience to climate change is important to revert to in future. Signs of climate change is worth noting.,,Omoroberio bwoboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura mbore obwokoiraneria kegima as ogoonchororia kwerire ase amatuko abosio. Ebikwororia igoro yerire amo nogoonchoreria kwerire nebiengencho enene components ...,Agriculture,0.6957,1
"Get practical tips for successfully selling your beans to supermarkets, including preparation, presentation, and negotiation strategies.",,"Nyora okomanya kwabeene ase okoonia ching'ende chiao gochia chituka chiria chinene, buna obwenerete gochichora na gochisiba, gochimanyekania na buna obwenerete gochiakera rigori.",Agriculture,0.6946,1
"KMTC expands to 80 campuses ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ apply for 30,000 slots before Jan 15!",,"Chikorechi chiobonyagitari KMTC chiagoirwe goika 80, saba ogwancherwa ase amabaga areo 30,000 nyuma yecghitariki 15 omotienyi omotang'ani!",Education,0.8834,1
Narok County: Drought Early Warning Bulletin for January 2023,Kaunti ya Narok: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8953,1
"Starting of More Milk2 program aimed at promoting mils management and income, through awareness and access to market in Central Kenya",,"Ogochakigwa kwa More Milk2 orengete gokongia oborendi bwa amabere na ebitoki, goetera amaegerio na ogoikereka gwechiro gatigati ya Bosongo ya Kenya",Health,0.8704,1
Buying medicine for the children at the streets without the doctors advice is dangerous for children,,Amariogo akoonerigwa chituka otatebirie nomonyagitari bwa bwabana teri buya,Health,0.7866,1
Kenya has launched a center for prevention in Kenya to strengthen disease prevention,,Eserekali yachakirie etaasisi yoborwaria ime ya Kenya yogokinia ogotanga kw'amarwaire,Health,0.9225,1
"WFP Kenya Country Brief, February 2025","Muhtasari wa Nchi wa WFP Kenya, Februari 2025",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8896,1
Project Hecuba: A Study of Gender Imbalance in Refugee Digital Inclusion Programmes,Project Hecuba: Utafiti wa Usawa wa Jinsia katika Mipango ya Ujumuisho ya Kidijitali ya Wakimbizi,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.772,1
"Pregnant women should consume a balanced diet rich in iron, protein, and vitamins to support fetal development and maternal health.","Wanawake wajawazito wanapaswa kula lishe bora yenye madini ya chuma, protini, na vitamini ili kusaidia ukuaji wa fetasi na afya ya mama.","Abakungu bebwateranetie mbagwenerete koria chindagera chireng’anirie, chibwate amadini y’echuma, chiproteini, amo na evitamini erio gosiira okoba buya kw’omwana ore inda, n’oborwaria bw’oborito.",Health,0.9097,1
TOR: Kenya Environmentally Sustainable Logistics Working Group (WREC),TOR: Kikundi Kazi cha Usafirishaji Endelevu cha Mazingira cha Kenya (WREC),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.778,1
Three pathways IFAD can support digital agriculture in Asia-Pacific region. Business farmers in Asia-Pacific continue increasing sales..,,Chinchera isato IFAD eranyare gosira oboremi bwegedichitari ime yorogongo rwa Asia-Pacific region. Abaremi nabanyabiasara boboremiorogongo rwa Asia-Pacific mbagendererete gokinia oboonia ...,Agriculture,0.8169,1
"Bleeding, severe headaches, blurred vision, or swelling are danger signs seek care immediately.","Kutokwa na damu, maumivu makali ya kichwa, kuona vibaya, au uvimbe ni dalili za hatari - tafuta huduma mara moja.","Ogoiteka amanyinga, omotwe ogwatia,korora rikongori nebigoso,rigia oborwari",Health,0.7634,1
High blood pressure in pregnancy can lead to preeclampsia. Regular check-ups are essential for early detection.,Shinikizo la damu kubwa wakati wa ujauzito linaweza kusababisha preeclampsia. Uchunguzi wa mara kwa mara ni muhimu kwa ugunduzi wa mapema.,Amanyinga kominyoka mono kero omongina are mosigi nabo ekorenta oborwaire Koringorigwa botamba mbuya komanyiabkendabu,Health,0.6974,1
Mark your property with UV pens or engraving to help recovery if stolen.,Weka alama kwenye mali yako kwa kalamu za UV au mchoro ili kusaidia kurejesha ikiwa imeibiwa.,"Beka ebinto biao nekemanyererio ""UV pens or engraving"" gokonya kobinyora onye biaibirwe.",Security,0.6969,1
"Seasonal gains in water and pasture are uneven and short‑lived, while depleted herds, high food prices, and reduced assistance continue to push vulnerable households toward irreversible losses.","Mafanikio ya msimu katika maji na malisho hayalingani na yanadumu kwa muda mfupi, huku mifugo iliyopungua, bei ya juu ya chakula, na usaidizi uliopunguzwa ukiendelea kusukuma kaya zilizo hatarini kwenye hasara isiyoweza kurekebishwa.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6546,1
One major tradition was to support government from six countries that were to steer national program of CSA ( and/ or enjoin frontline CSA practices..,,Ekerenga ekenene kiegekoro eke nigo kiarengete gokonya serikari goikera chinse isano nemo echio chiarengire gochaka omoroberio bwoboremi obuya CSA (gose gokora oboremi obwo amo gocuia ase boria bwareo ...,Agriculture,0.7774,1
"Low female labor participation in camps reflects the intersection of care responsibilities, limited mobility, and weak job availability; host‑community women in lagging regions face similar barriers.","Ushiriki mdogo wa kazi ya wanawake katika kambi huonyesha makutano ya majukumu ya utunzaji, uhamaji mdogo, na upatikanaji dhaifu wa kazi; wanawake wa jamii-wageni katika maeneo yaliyochelewa wanakabiliwa na vikwazo sawa.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.712,1
"Kenya's Ministry of Health has urged citizens to strictly adhere to mpox preventive measures as the number of cases continues to rise, with children being particularly vulnerable.","Wizara ya Afya ya Kenya imewasihi raia kuzingatia kwa makini hatua za kinga za mpox huku idadi ya visa ikiendelea kuongezeka, huku watoto wakiwa katika hatari zaidi.","Ewizara y'Oborwaria yabasabire abakenya kobwatereria mono ebitambokero bia ogotanga okoambokera Kwa Mpox, kobwatia okomentekana Kwa abanto barwarete,na abana koba ase obokong'u mono bw'okwambokerigwa.",Health,0.9729,1
Protect kids! Report abuse or trafficking to 116.,Linda watoto! Ripoti unyanyasaji au usafirishaji haramu kwa 116.,enda abana ! Manyia abambi ogokorerwa bobe gose koibwa kwa abana goetera 116.,Education,0.8549,1
"Women play a crucial role in dairy. Learn about specific programs, resources, and markets targeting women in agriculture.","Wanawake wana jukumu muhimu katika sekta ya maziwa. Jifunze kuhusu programu, rasilimali, na masoko mahususi yanayowalenga wanawake katika kilimo.","Abang'ina mbare nensemo enene ase oboremi bwetugo yamabere. Egera komanya emeroberio ereo, ebiganeirie, amo nechiro erengete abang'ina ase oboremi.",Agriculture,0.9209,1
"Protect farm yards through testing, harvest compost manure and prevent from practices that spoil good sweet potatoes farming.",,"Renda korora nga riroba ndire nobotobu goetera okoripima, kogesa obwoyo bweubi, na gotanga chinchera chiria chogosaria riroba ase okwama okuya kwmarabwoni.",Agriculture,0.861,1
Kenya counts the beans to help avert food waste in school meals,Kenya inahesabu maharagwe kusaidia kuzuia upotevu wa chakula katika milo ya shule,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9236,1
Survivors’ Experiences of Accessing Mental Health Services following Sexual and Gender-based Violence in Kenya,Uzoefu wa Waathirika wa Kupata Huduma za Afya ya Akili kufuatia Unyanyasaji wa Kijinsia na Kijinsia nchini Kenya,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9498,1
Install security film on glass doors to prevent easy break-ins.,Weka filamu ya usalama kwenye milango ya kioo ili kuzuia uvamizi rahisi.,Beka egamu gatigati yebirore bierori yao gotanga abaibi kobwata ase obwororo.,Security,0.8162,1
Horn of Africa: IFRC Secretary General visits Kenya as worst drought in 40 years looms for millions,Pembe ya Afrika: Katibu Mkuu wa IFRC azuru Kenya huku ukame mbaya zaidi kuwahi kutokea katika kipindi cha miaka 40 unakaribia mamilioni ya watu,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.527,0
The IFRC network and its partners have a vital role in responding to these overlapping climate extremes.,Mtandao wa IFRC na washirika wake wana jukumu muhimu katika kukabiliana na mabadiliko haya ya hali ya hewa yanayoingiliana.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.5544,0
Taita Taveta County: Drought Early Warning Bulletin for January 2023,Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame la Januari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8953,1
Kajiado County: Drought Early Warning Bulletin for October 2024,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame ya Oktoba 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8493,1
Global partnerships enhance anti‑corruption efforts through stronger enforcement and transparency.,,Okobwaterana nense engima ngokongia kore gokinana nobokengeka goetera obokoreri mwamachiko bwechinguru na obomaiso marore.,Security,0.8087,1
Train teachers! Ensure flood safety protocols in schools.,Wafunze walimu! Hakikisha taratibu za usalama wa mafuriko shuleni.,Somia abarimu! Rora ng'a abana mbamanyete chinchera chiokominchoreria ekero kiemogoko emene chisukuru.,Education,0.9651,1
Garissa County: Drought Early Warning Bulletin for July 2023,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Julai 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8674,1
"More other 5 patients to be confirmed infected with MPOX in 12 counties, among them Nakuru na Mombasa included. The PS deborah Baraza has saud that among them, one has lost life and 8 are under medication",,"Abwarwaire bande batano koenekigwa koambokerigwa Mpox ase chikaunti 12, ase echio Nakuru na Mombasa kobao.
  Omoriki o botambe bwobobwenia CS Deborah Barasa otebire ase abwo, oyomo osiriri obogima bwaye na 8, mbagenderetete korwarigwa.",Health,0.7554,1
ACAT is good forum for technological sensitization in agriculture to enable organised conversation and building consensus about new technology that's a game changer.,,CAT nomoroberio obeene bwokoererania chisemi chia tekinorochia gochia ase abarami ogendereretie chinkwana chia oboamo na ogwancheran amo buna enchera eyemo yokoreta ogoochoreia okoronge as oboremi.,Agriculture,0.5981,0
Kenya: Registered refugees and asylum-seekers (as of 31 May 2022),Kenya: Wakimbizi waliosajiliwa na wanaotafuta hifadhi (kuanzia tarehe 31 Mei 2022),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8207,1
Pregnant women should start antenatal care in the first trimester to detect and manage any health concerns early.,Wanawake wajawazito wanapaswa kuanza huduma ya ujauzito katika trimester ya kwanza ili kugundua na kudhibiti matatizo yoyote ya kiafya mapema.,Abangina baberegete goika bachake ebiriniki ataraibora ase emetienyi etato kobwatekani korora kogayana bokongu bonde borabeo,Health,0.8336,1
Train on disaster preparedness in schools 2020.,Mafunzo kuhusu maandalizi ya majanga shuleni 2020.,Somia buna emechndo yemebasekano eranyare gokeigwa chisukuru omwaka 2020.,Education,0.9139,1
Free revision timetable + notes for all subjects ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ download from education.go.ke NOW!,Ratiba ya bure ya marekebisho + maelezo kwa masomo yote âƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pakua kutoka education.go.ke SASA!,"Omoroberio buna abana bagochia gokora amatemwa abo obosa amo namasomo ameng'e yamasomo abo onsi,  yanyore korwa education.go.ke BONO!",Education,0.9348,1
Kisii Women Rep Donya Aburi urges county government to ensure hospitals are equipped with enough drugs,,Omobunge omochore ase ekaunti ase ekerogo kiabang'ina Dorice Donya Aburi ya kisii orure okoboria gochia ase eserekari yekaunti koenekia amariogo aisaine nare ase chinyagetari.,Governance,0.9544,1
Meeting with university unions on strike resolution.,,Koumerana nebiombe bieyunifasiti igoro yokonyora amachibu na gokora okogira kwemeremo.,Education,0.3909,0
"Husband and wife sharing together before the birth of the birth of the child and after birth, builds their relationship",,"Omogaka nomgina gosango amo mwensi omwana ataràiborwa na ekero aiboirwe, nkoagachere oboamate bwobonyomba",Health,0.7828,1
Did you know? That you can apply for special number plates? Apply online via the serviceportal.ntsa.go.ke,"Je, unajua? Kwamba unaweza kuomba nambari maalum za simu? Tuma maombi mtandaoni kupitia serviceportal.ntsa.go.ke",Nkwamanyete? Nosabe enamba yabene? Saba ase intaneti ntsa,Governance,0.7712,1
"However, excessively high rainfall amounts may also raise the risk of waterlogging and localized crop stress, potentially affecting early crop development in poorly drained areas.","Hata hivyo, kiasi cha mvua nyingi kupita kiasi kinaweza pia kuongeza hatari ya kujaa maji na mkazo wa mimea iliyojanibishwa, ambayo inaweza kuathiri maendeleo ya mapema ya mazao katika maeneo yenye unyevu hafifu.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7891,1
The Kenyan government has warned that 2.5 million citizens are at risk of severe hunger and water scarcity if the drought persists.,"Serikali na mashirika ya afya yaonya kuhusu hatari ya njaa na ukosefu wa maji, na kuhimiza usambazaji wa chakula na maji salama.",,Health,0.8151,1
"On December 8, 2020, the Government of Kenya (GoK), through the National Treasury, rolled out a pilot Credit Guarantee Scheme to respond to challenges facing MSMEs, and in particular access to quality and affordable credit.",,,General,0.8671,1
"Communities, be vigilant! Report terror threats near schools.","Jamii, kuwa macho! Ripoti vitisho vya ugaidi karibu na shule.","Ebinyoro, kabe maiso! Karwe amang'ana igoro yobosaria gochia schools.",Education,0.9353,1
Samburu County: Drought Early Warning Bulletin for July 2024,Kaunti ya Samburu: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8433,1
"Nonetheless, it was hot enough to exhaust people mentally and physically, especially people that are highly exposed because they are outdoor workers, live in inadequate housing, don’t have access to cooling, or can’t afford to run it.","Hata hivyo, kulikuwa na joto la kutosha kuwachosha watu kiakili na kimwili, hasa watu walio wazi sana kwa sababu wao ni wafanyakazi wa nje, wanaishi katika nyumba zisizofaa, hawana uwezo wa kupoeza, au hawawezi kumudu kuendesha.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.5315,0
Health facilities are providing iron and folic injections to all expectant mothers to protect them from anaemia and deformity to the unborn. Vist the nearest health facility today,,Ebitaseni biobobwenia bono nkoenana bire amadini yechuma na foliki ase abang'ina bonsi bebwateranetie erio gotanga Anemia/ogokeea kw'amanyinga omobere na gotanga oborema bw'okoiborwa. Tarera egetaseni ki'obogwenia kere ang'e naye rero.,Health,0.8833,1
100% transition: Every Grade 6 must report to JSS ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no staying home!,"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!""",Okonganya emia ase amia: Kera omwana bwegeredi gia 6 goika soe esukuru yesekenderi ya inse (JSS) kobera nka tikoiyo!,Education,0.9343,1
Kenya – Mobility Tracking and Multi-sectoral Location Assessment in Samburu County Round 1 (February 2023),Kenya - Ufuatiliaji wa Uhamaji na Tathmini ya Mahali ya Sekta mbalimbali katika Kaunti ya Samburu Awamu ya 1 (Februari 2023),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9051,1
"Five day regional training focused on disengagement, de radicalization, and reintegration for security personnel across East Africa.","Mafunzo ya kikanda ya siku tano yalilenga kujitenga, kupunguza itikadi kali, na kuwaunganisha tena na jamii kwa wafanyakazi wa usalama kote Afrika Mashariki.","Amatuko atano yechingongo kwegera igoro yokwerusia gose gotiga amangana ogosaria ebirengererio na koirana gati yabarendi boborendi Kenya, yuganda na Tanzania (Afrika ya Mocha engima).",Security,0.6671,1
"Kenya to sign assistance of Ksh 59.7 billion from the Global fund to support the fight against HIV AIDS, malaria and TB, payment will strengthen treatment, and also nets for the next 3 years",,"Kenya kobeka egechara obokonyi bwa chibilioni sh.59.7 korua ase ekegancha gi'ense'/Global Fund, echio chigokonya gosira emeroberio ya oborwaria Bwa Enyamoreo Esese na Esosera, ogoakana oko nigo kogokong'ia oborwaria naboigo chineti chiebisaku ase emiaka etato",Health,0.8734,1
Ensure access to education during COVID 2020.,Hakikisha upatikanaji wa elimu wakati wa COVID 2020.,Tema goikera chisemi chingaki chiendwari ya COVID 2020.,Education,0.9772,1
"Join campaigns promoting public health, sanitation, and safe school environments.","Jiunge na kampeni za kuhamasisha afya ya umma, usafi wa mazingira, na mazingira salama ya shule.","Soa na gosegeta chingencho chiobochenu bwebinyoro, ogwesibia amaboko, namasingira amaya ase chisukuru.",Security,0.9507,1
KNCHR trains paralegals to support communities on legal rights.,,Ekeombe keria ekenene kerendete oboronge bwakemwanyabanto KNCHR ngosomia kere abaegereri boboronge koegerera abanto igoro yoborongo bwabo.,Education,0.9055,1
"Innovativeness, investment and teamwork is important in technology and does great in farming . Available technology among small scale farmers...",,"Iobomanyi oboyia, chinguru ase oboremi na kobwarerana nebiengencho ase tekinorochia ewyio egokora emeremo emenene ase oboremi. â€¢ Goikera echiro yegetekinorochia ase abaremi bemegondo emeke ne...",Agriculture,0.7655,1
This service is important in adding jobs acquisition and market accessibility. Harmonize markets and supplies. Enjoining..,,Obokoreri obo nobwengencho ase okomenta emeremo egekogera nigo bigosegeta gosoa echiro na obwororo bwosoa echiro ... Okobwatania cichiro noboererania. Bokobwatania ...,Agriculture,0.5316,0
Suspected child abuse should be reported immediately to police or through the *116# anonymous helpline.,Unyanyasaji unaoshukiwa kwa watoto unapaswa kuripotiwa mara moja kwa polisi au kupitia simu ya usaidizi ya *116# isiyojulikana.,Abana ekageire gokorerwa bobe gose gotibongwa goika eripoti erugwe gotachererwa gochia ase abasikari goetera enamba eye yesimi *116# otari kwemanyekania.,Security,0.7857,1
PS Imbunya urges Vihiga residents to embrace Govt projects,,omoriki obotambe Imbunya obasabire abamenyi ba vihiga gwancha amagenderero yeserekari.,Governance,0.9093,1
"Box 3000700100, Nairobi, Kenya Tel: +254202252299 Email: communications@treasury.go.ke www.treasury.go.ke BUDGET STATEMENT FY 2024/25 Theme: “ Sustaining Bottom - Up Economic Transformation Agenda, Fiscal Consolidation and Investing in Climate Change Mitigation and Adaptation for Improved Livelihoods” 2 STATEMENT DELIVERED TO THE NATIONAL ASSEMBLY ON 13 TH JUNE 2024 BY PROF.","Box 3000700100, Nairobi, Kenya Simu: +254202252299 Barua pepe: communications@treasury.go.ke www.treasury.go.ke TAARIFA YA BAJETI FY 2024/25 Mandhari: “ Kudumisha Chini - Ajenda ya Mabadiliko ya Kiuchumi na Kuweka Ulinganifu katika Uwekezaji wa Fedha. kwa Uboreshaji wa Maisha” TAARIFA 2 ILIYOTOLEWA KWA MKUTANO WA TAIFA TAREHE 13 TAREHE JUNE 2024 NA PROF.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8041,1
Announcement by the Ministry of Health with SUNCSA to jointly start will revitalize human health campaign and awareness on foods,,Okoraria kwogocha amo ewizara yobochenu amo na SUNCSA nkobokie ekampeini yobochenu ase mwanyabanto egosang'ani amang'ana yobochenu nechindagera,Health,0.9399,1
Turkana County: Drought Early Warning Bulletin for February 2024,Kaunti ya Turkana: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8569,1
"To learn best practices on aquaculture, to raise harvest and revenues better. Better species like tilapia to increase reveneu and profitability.",,Beegie chingencho chingiya chioboremi bwechinswe ase chindani erio gokinia rigesa erio na ebitoki ase enchera ebwenerete,Agriculture,0.74,1
Insecurity in Baringo: Security committee on tour to assess security situation. Local leaders want victims of banditry compensated #CitizenWeekend,Ukosefu wa usalama Baringo: Kamati ya usalama ikifanya ziara ya kutathmini hali ya usalama. Viongozi wa eneo hilo wanataka waathiriwa wa ujambazi walipwe fidia #CitizenWikendi,bonsi baria babwateranetwe ase obobegu goakanwa. #citizen weekend.,Governance,0.7427,1
Mining Department and NCTC jointly trained stakeholders on safe handling of commercial explosives to mitigate terror risks.,,"Eminisiti yokorema  amadini na keombe keria getenenerete gotanga na korwania obokebago bwokoruta chipomu (NCTC) ase oboama baegeirie abasangi buna babwenerete kogacha, kobirenda kobibogoria na kobitumia buna enchera eyemo yogotanga ogosaganwa korwa isiko.",Security,0.7593,1
Children should learn to protect personal information online and report suspicious interactions to trusted adults.,Watoto wanapaswa kujifunza kulinda taarifa binafsi mtandaoni na kuripoti miingiliano inayotiliwa shaka kwa watu wazima wanaowaamini.,Nere buya abana kwegera buna baranyare korenda amangana abo arikire are ase eintaneti na komanyia oyo begenete igoro yechitang'utang'u.,Security,0.9298,1
Mandera County: Drought Early Warning Bulletin for February 2023,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8631,1
"Ensure uniforms and IDs from January 6, 2025.","Hakikisha sare na vitambulisho kuanzia Januari 6, 2025.","Rora nga kera omwana nare neyunifomu nekebade nyuma yechitariki 6 chiomotienyi omotang'ani , 2025.",Education,0.8998,1
Teach safety! Include trafficking prevention in school curricula.,Fundisha usalama! Jumuisha kuzuia biashara haramu katika mitaala ya shule.,Somia igoro yokwerenda! Bwatania amasomo yokoibwa kwa abana ase omoroberio bwogosomia.,Education,0.9223,1
KICD develops new engaging digital content tailored for early childhood education (ECDE).,,Ekeombe keria getenerete buna amasomo akorosigwa (KICD) nkorosia bare ebiyia bibwate omoroberio bwegedichitari orengete chisemi chiabana bechinasari (ECDE).,Education,0.6761,1
"Africa CDC Epidemic Intelligence Weekly Report, 03 March 2025","Ripoti ya Kila Wiki ya Ujasusi wa Mlipuko wa Afrika CDC, 03 Machi 2025",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8651,1
The County Government urges business owners to stay alert to to improve service provision.,Serikali ya Kaunti inawasihi wamiliki wa biashara kuwa macho ili kuboresha utoaji wa huduma.,Eserekari yechi kaunti yaboririe abaonchoreria koba maiso ase okorwegwa kuobokoreri,Governance,0.9252,1
"As Lethal Flooding Displaces Kenyans, Cholera Cases Rise","Huku Mafuriko Yanayosababisha Mauaji Yanawaondoa Wakenya, Visa vya Kipindupindu Vyaongezeka",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8051,1
Interior Ministry highlights week of tightened enforcement.,Wizara ya Mambo ya Ndani yaangazia wiki ya utekelezaji mkali.,Omominisita bwoborendi bwaime yamanyirie abakenya igoro yogokongia yoborendi.,Security,0.7039,1
EACC notes rising cases of impersonation in procurement offices. Report anyone claiming to 'influence' tender outcomes,EACC yabaini visa vinavyoongezeka vya uigaji katika ofisi za ununuzi. Ripoti mtu yeyote anayedai 'kushawishi' matokeo ya zabuni,Ekeombe keria ekenene gekorwania obokorekanu (EACC) kiarorire ng'a ekogeseka kwobosaria bwogwekora abakori emeremo ba eofisi yobogori bweserikari. Karwe eripoti igoro ya monto onde oresio kobukania obogori bwechitenda chuieserikari,Security,0.8608,1
"Kenya: 2025 MSNI Bulletin, November 2025","Kenya: 2025 MSNI Bulletin, Novemba 2025",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9459,1
In 2025 he started inclusive agriculture Precision for Development (PAD) to làunch digital farming in a large scale to attain a new approach and research.,,Omwaka o 2015 omochaki bwoboremi bwokobeka omobaro na korenga boronge ebimeri mogodo ase amagenderero (PAD) ase okworokereria igoro ya oboremi bwegechidichtari as oboagare erio goikerania enchera enyia yobotuki as oboremi as ensemo yoboremi...,Agriculture,0.8393,1
