concept_id,English,Ekegusii,source
111349,"Now these are the last words of David. David the son of Jesse says, the man who was raised on high says, the anointed of the God of Jacob, the sweet psalmist of Israel:","Aya naro amang’ana y’omoerio a Daudi, mosinto o Yese, omonto oyo oimokereretigwe igoro, omoakwa amaguta o Nyasae o Yakobo, omoteri bw’amatera agwansa ase Abaisraeli:",Trilingual-Bible
134851,"and their travel away from us ruin, but they are in peace.",Okorwao kwabo nigo kwarorekanete ase tore buna n’emechando korende ekeene abanyaboronge nigo bare n’omorembe.,ENG-EKE
101715,Transform street children's lives through shelter programs.,Onchoreria obogima bwa abana bamenyete ebisona ase chitaoni ase okobaa oboraro nechinchera chiokobaonchoreria gochia obogime obuya.,PSA
135875,"who makes instruction shine forth as the light, as Gihon in the days of vintage.","Nigo rigokora amorokererio yamesa buna risase, buna Gihoni ase chingaki chi’ogotora amasabibu.",ENG-EKE
128335,"Being asked by the Pharisees when God’s Kingdom would come, he answered them, “God’s Kingdom doesn’t come with observation;","Yeso agachia koborigwa n’Abafarisai, “Oborwoti bwa Nyasae indi borache?” Akabairaneria, “Oborwoti bwa Nyasae tibori gocha ase ebimanyererio bikororekana,",Trilingual-Bible
117905,"For the Chief Musician. On an instrument of Gath. By Asaph. Sing aloud to God, our strength! Make a joyful shout to the God of Jacob!","(Ogoteera gw’Asafu) Moterere Nyasae neriogi rinene, ekiagera nere chinguru chiaito, aka eriogi ri’omogooko ase Nyasae o Yakobo.",Trilingual-Bible
108460,"Remember the days of old. Consider the years of many generations. Ask your father, and he will show you; your elders, and they will tell you.","“Inyora amatuko a kare, rengereria igoro y’emiaka y’ebiaare biaetire. Boria iso, nere nakworokererie amang’ana ayio, boria abagaaka baino, nabarabwo mbakoyateebie.",Trilingual-Bible
118498,His heart is established. He will not be afraid in the end when he sees his adversaries.,"Enkoro yaye teri koirianyeka gose kwoboa, ere nigo akoremereria goika abachaandi baye babugwe.",Trilingual-Bible
116280,"“If I have walked with falsehood, and my foot has hurried to deceit","Inee! Nabeire ngotaara ase chinchera chi’obong’ainereria, gose amagoro aane naminyokeire ay’oborimo?",Trilingual-Bible
104643,"but every man’s servant who is bought for money, when you have circumcised him, then shall he eat of it.",korende omosomba onde bwensi omogorwa chitaabu ere ayerie gokwamwarokirie.,Trilingual-Bible
144340,"The History of the Gusii People: Cattle and Small Livestock are a Blessing, They Strengthen the Knees of Children, They Provide Food for the Poor, They Bring Joy to the Home!!","Emebayeno Ya Abagusii: Ng'ombe Na Mbori Chikane Korigia Magega Yaya, Korera Tarera Boreri Bobe, Bwoye Tagochongeria Mobere Osinye Bikoe !!",ENG-EKE
108860,"and Gilead, and the border of the Geshurites and Maacathites, and all Mount Hermon, and all Bashan to Salecah;","Naende ekabwaterania Gileadi na orogongo rw’Abagesuri na orw’Abamaaka, amo negetunwa gionsi kia Herimoni, na Basani yonsi goika Saleka,",Trilingual-Bible
127422,"For they said, “Not during the feast, because there might be a riot among the people.”","korende barabwo bagateeba, “Titomobwata ekero kie rituko rinene, ekiagera abanto nigo bararente rirorooche.”",Trilingual-Bible
129360,"Now I have told you before it happens so that when it happens, you may believe.","Na bono nabateebirie ritang’ani ataraba, erinde ekero akoba, mwegene.",Trilingual-Bible
117063,Yahweh brings the counsel of the nations to nothing. He makes the thoughts of the peoples to be of no effect.,"Omonene nigo akoonchorana emeroberio y’abanto b’ebisaku, na gosaria okogamba kwa Mwanyabaanto kwaba bosa.",Trilingual-Bible
137455,"King Ptolemy died the third day after, and those who were in his strongholds were slain by the inhabitants of the strongholds.","Ase amatuko abere abwatetie, Tolemai nere agakwa naboigo abasikari baye atigete ase chiburi ao ao bagaitwa na abanyene emechie eyio.",ENG-EKE
143157,The robbers were caught stealing maize from Kisii people at the market.,Omoroberi bwo okobarika emeremo abasae kisii o kazi mtaani,ENG-EKE
131999,"with good will doing service as to the Lord and not to men,","ase omoyo omuya mogokorera Omonene, gose tari Mwanyabaanto.",Trilingual-Bible
115519,"on one day in all the provinces of King Ahasuerus, on the thirteenth day of the twelfth month, which is the month Adar.","Ayio akoreke ase rituko erimo ase chingongo chionsi chi’omorwoti Ahaswero, ne rituko erio nigo rirabe eria ikomi na gatato ri’omotienyi o ikomi na kabere okorokwa Adari.",Trilingual-Bible
135057,that the land which in your sight is most precious of all might receive a worthy colony of God’s servants.,erio ense eyio aye bwanchete goetania chionsi ebe obomenyo bw’abaanto abwo babwenerete koba abasomba bao.,ENG-EKE
125772,"“Now, you priests, this commandment is for you.","“Bono inwe abakuani, amang’ana aya nigo achiikirwe ase more.",Trilingual-Bible
139609,"The elders and leaders of this area have expressed their concerns. They say there is a lot of corruption happening that hinders development and affects the lives of the people. Daniel Oirere, a representative of the youth, said that leadership is failing […]","Obokurumi no’ borwaire obobe ase abanto bene naboigo ense. Kera oyomo oito nabwate ensemo enene ase okorwania esegi mamincha yo’ bokurumi. Daniel Oirere omwobisa bwa’ maegerio , naboigo obosemi korwa […]",ENG-EKE
109291,"He said to them, “Follow me; for Yahweh has delivered your enemies the Moabites into your hand.” They followed him, and took the fords of the Jordan against the Moabites, and didn’t allow any man to pass over.","Ere akabateebia, “’Ntunyane, ekiagera Omonene obeekire ababisa baino Abamoabu ase amaboko aino.” Erio bakamotunyana, bagasieka chitaracha chia Yorodani, ase Abamoabu banarete kwambokera, tibaa nonya n’oyomo ribaga ri’okwamboka.",Trilingual-Bible
142376,"16. For by him all things were created: things in heaven and on earth, visible and invisible, whether thrones or powers or rulers or authorities; all things were created by him and for him.",Okomanoka 19:11,ENG-EKE
134547,"Ozias said to her, “Blessed are you, daughter, in the sight of the Most High God, above all the women upon the earth; and blessed is the Lord God, who created the heavens and the earth, who directed you to cut off the head of the prince of our enemies.","Erio Uzia agateeba, “Aye Yuditi omosubati one, Nyasae Ore Igoro Mono ogosesenirie kobua abakungu bonsi ase ense engima. Inaki toranyaare komotogia Omonene oyo otongete igoro na ense! Ere nigo akoraete goika nonya nekero kwarenge koyonacha omotwe bw’omobisa oito omonene. 13:18 rora Abag 5:24; Luka 1:28,42",ENG-EKE
111295,"There was again war at Gath, where there was a man of great stature, who had six fingers on every hand and six toes on every foot, twenty-four in number, and he also was born to the giant.","Naende esegi yareenge Gati. Omonto omotambe nareengeo. Nigo areenge nebiara bitano na ekemo ase kera okoboko, na bitano na ekemo ase kera okogoro; bionsi nigo biareenge emerongo ebere na bine. Ere boigo noyomo bw’amamonto oreenge.",Trilingual-Bible
116298,"For calamity from God is a terror to me. Because of his majesty, I can do nothing.",Nigo nare gocha kwoboigwa nemechando korwa ase Nyasae; na tinare konyara gotenena bosio bw’obonene bwaye.,Trilingual-Bible
104854,"Moses said to the people, “Don’t be afraid, for God has come to test you, and that his fear may be before you, that you won’t sin.”","Musa akabairaneria, “Timoondoka! Naki Nyasae nigo achire kobateema inwe, erio egere mogenderere komoiroka, erinde timokora ebibe.”",Trilingual-Bible
102905,"Mahalalel lived after he became the father of Jared eight hundred thirty years, and became the father of other sons and daughters.","Magega y’okoiborwa kwa Yaredi, Mahalaleli nigo amenyete emiaka amagana atano na atato, na emerongo etato (830), akaba ise bw’abana bande, abamura na abaiseke.",Trilingual-Bible
116572,"He lies under the lotus trees, in the covert of the reed, and the marsh.","Nigo ekorara ase ekiriri ki’omote okorokwa lotusi, yebisa na gokenderera ime ase ebitonto bire ase etente.",Trilingual-Bible
108381,"When you came to this place, Sihon the king of Heshbon and Og the king of Bashan came out against us to battle, and we struck them.","Ekero twachete aase aya, Sihoni omorwoti o Hesiboni, na Ogi, omorwoti o Basani, bagaacha gotorwania esegi, korende tokababua.",Trilingual-Bible
131548,"He died for all, that those who live should no longer live to themselves, but to him who for their sakes died and rose again.","Ere agakwa ase engencho ya bonsi, erio abare moyo tibaaba moyo ase engencho yabo boka abanyene, korende nase engencho yaye ere oyokwete, naende akaboka ase engencho yabo.",Trilingual-Bible
125249,"Hear, you peoples, all of you! Listen, O earth, and all that is therein. Let the Lord Yahweh be witness against you, the Lord from his holy temple.","Igwa amang’ana aya! Inwe abanto b’ebisaku bionsi, tegerera moigwe Inwe mwensi abwo momenyete ase ense, Omonene nabe kirori mamincha yaino. Tegerera moigwe amang’ana aya! Nigo agokwana korwa ase Hekalu yaye ya igoro.",Trilingual-Bible
107223,"The sons of Manasseh: of Machir, the family of the Machirites; and Machir became the father of Gilead; of Gilead, the family of the Gileadites.","Ase egesaku kia Manase nao eamate ya Makiri yarwete. Makiri nere orenge ise Gileadi, na korwa ase are nao Abagileadi barwete.",Trilingual-Bible
127168,"In those days, when there was a very great multitude, and they had nothing to eat, Jesus called his disciples to himself and said to them,","Ase amatuko aria ekero omoganda omonene osangererekanete, na barabwo tibarenge na gento bakoria, Yeso akarangeria aborokigwa baye, akabateebia,",Trilingual-Bible
104177,"These are the names of the children of Israel, who came into Egypt, Jacob and his sons: Reuben, Jacob’s firstborn.","Aya naro amarieta Abaisraeli abwo bagendete Misiri: Yakobo na abana baye, nabwo aba: Rubeni, nere omotangi o Yakobo.",Trilingual-Bible
125611,"and behold, a lead cover weighing one talent was lifted up—and there was a woman sitting in the middle of the ephah basket.”","Nkarigereria, nkarora ekemumeko kiaroiseirie risasi gekomumoka, na omokungu oikaransete ase egetonga keria ime.",Trilingual-Bible
138546,"Then Susanna cried out with a loud voice, and said, “O everlasting God, you know the secrets, and know all things before they happen.","Erio Susana agaaka eriogi rinene agateba, “Nyasae o kare na kare, kende tikeiyo kerabiseke korwa ase ore; aye nigo omanyete kera egento nyuma getarakoreka.",ENG-EKE
139001,the temperature is between 22°C to 25°C during the day and 15°C to 17°C at night.,ase chngaki echio amabereraa aigoro 22°C to 25°C nyainse 15°C to 17°C.,ENG-EKE
120676,"In that day, people will look to their Maker, and their eyes will have respect for the Holy One of Israel.","Ase engaki eyio abanto mbarigie ogokonywa korwa ase Omotongi obo, mbabe namasikani ase Oyore Omochenu bw’Abaisraeli.",Trilingual-Bible
109274,"The land had rest forty years, then Othniel the son of Kenaz died.","Bono ense eria ekaba n’omorembe ase engaki y’emiaka emerongo ene. Erio Otinieli, mosinto o Kenasi, agakwa.",Trilingual-Bible
120908,"They shall all be ashamed because of a people that can’t profit them, that are not a help nor profit, but a shame, and also a reproach.”","kera oyomo nasooke, ekiagera mosemeretie abanto b’egesaku batanyare kobaa ebitoki binde, korende nobosooku na ogochaywa.”",Trilingual-Bible
132557,"For there are also many unruly men, vain talkers and deceivers, especially those of the circumcision,","Inaki mbare abange, mono korwa ase Abayahudi baria baonchokire batari koigwera, abagokwana amang’ana atari nengeencho, abakong’aina abande ase ayio.",Trilingual-Bible
142443,"And the angel said to her, ""The Holy Spirit will come upon you, and the power of the Most High will overshadow you; therefore also the holy child who will be born will be called the Son of God.",Abarumi 1:32,ENG-EKE
121359,"“Listen to me, you who follow after righteousness, you who seek Yahweh. Look to the rock you were cut from, and to the quarry you were dug from.","Inwe aba mokorigia oboronge, ee, inwe aba mokondigia inche Omonene, tegerera monyigwe! Rigereria egetare ase mwabaachetwe korwa,",Trilingual-Bible
143591,Indeed it is true. The small boy has been taken to be circumcised like the others from Nyamira district this year. He was then welcomed and honored by the elders of Nyamira greatly.,Ee bono. Omwana omino oria oterete ogotera gokorokwa inga Intori Abaya nao arenge Nyamira ewiki eye yaerete. Nigo atumbuisete na kogokia Abamenyi ba Nyamira buya sana.,ENG-EKE
144853,Let's continue talking about this matter.,Tobaisa koanga omonto omino.,ENG-EKE
136388,"At his appearing, the mountains will be shaken. At his will, the south wind will blow.","Ekero akororekana, ebigoro nigo bigotengecha, ase okogania kwaye omwaga o Irianyi nigo okogusa.",ENG-EKE
113581,"Let your name be established and magnified forever, saying, ‘Yahweh of Armies is the God of Israel, even a God to Israel. The house of David your servant is established before you.’","erinde erieta riao ribeo ritogigwe goika kare na kare. Erio abanto bateebe: Omonene bw’Emeganda nere Nyasae bw’Abaisraeli, ekeene nere Nyasae bw’Abaisraeli. Ase enchera eyio enyomba y’omosomba oo, inche Daudi, ekong’igwe ase obosio bwao.",Trilingual-Bible
128020,"But he turned and rebuked them, “You don’t know of what kind of spirit you are.","Akeonchora, akabakania.",Trilingual-Bible
127259,"They said, “Moses allowed a certificate of divorce to be written, and to divorce her.”","Bagateeba, “Musa nigo aruete ribaga koriika riruube ri’ogotigana, na komotiga.”",Trilingual-Bible
145536,"Those children, all this land should be used to preserve Ekegusii. Yes. Every custom that exists is meant to be practiced, don't abandon any custom at all. This place together is used in collaboration with the Abaromenta, Abasigisi, and all the Abagere.",Etugo emwamu tiyarenge gokorerwa Ekegusii nonya,ENG-EKE
130649,"Won’t those who are physically uncircumcised, but fulfill the law, judge you, who with the letter and circumcision are a transgressor of the law?","Ere oyotaarogeti ase omobere, onye obwatete amachiiko, Inee, tagokonachera ekiina aye, oyore namachiiko na okwaroka, naende osaririe amachiiko?",Trilingual-Bible
100610,"eCitizen 1 Year Anniversary Celebration ! Live on KBC CHANNEL 1 at 9: 00 AM. Citizens can register and inquire about any of the over 20,000 services available on the platform by visiting specific exhibition booths at the grounds 27th - 28th Nov. #KBCniYet","ogochengera omwaka oyomo bwobokoreri bwa e-citizen! eyemo ase eyemo korwa kbc channel 1gochaka 9.00AM. Abanto bonsi nabo bakwerikia na koboria igoro yobokoreri goetania 20,000 obwo bogotoka aroro ase ogotarera amaorokererio ayuo ase egesa kiabo kiamaorokererioase egetii chitariki, 27 goika 28 omotienyi oikomi na rimo.#KBCniyetu.",PSA
106150,and so cause them to bear the iniquity that brings guilt when they eat their holy things; for I am Yahweh who sanctifies them.’”,"na igo bakogera abanto babogorie ebibe biabo, na okomocha kwabo, ase okoria ebinto ebichenu baruete. Inche ninche Omonene, ninche nkobachena.”",Trilingual-Bible
101096,"Stay alert, share your info with imposters. Report and block any suspicious accounts.","Kaba maiso,sanga amanga ago nemekora",PSA
140682,And so the herd moves on.,Aseigo Enchogu ekagenda.,ENG-EKE
112817,"For he built again the high places which Hezekiah his father had destroyed; and he raised up altars for Baal, and made an Asherah, as Ahab king of Israel did, and worshiped all the army of the sky, and served them.","Akaagacha naende aase aimokererete igoro agosasimerwa, aria Hezekia ise asaretie. Naende agatenenia ebisasimero bia Baali, na akaroisia omote bw’Asera, enyasae eria enkuungu, buna Ahabu, omorwoti bw’Abaisraeli akorete. Agasasiima erioba, na omotienyi, ne ching’enang’eni, ebitongwa bia igoro, akabikorera.",Trilingual-Bible
147144,"Abraham gave a tenth of everything he had (the best of everything, including the tithe of his livestock and the tithe of the harvest);",II Samweli 23:3,ENG-EKE
124189,"Outside of the inner gate were rooms for the singers in the inner court, which was at the side of the north gate. They faced toward the south. One at the side of the east gate faced toward the north.","Isiko y’oboagacho bw’egeita kia ime gochia ase eraaro ya ime, ebinyomba bibere bi’abateri mbiarengeo, akamo kaare ang’e negeita gia sugusu karochie Irianyi, na akande ensemo y’egeita kia moocha karochie sugusu.",Trilingual-Bible
143587,Teacher Caroline Kwamboka from KERERI GIRLS school and Dr. Andrew Rasugu Riechi from UON agree that recovery and improvement are needed for this disruption.,Omwalimu Caroline Kwamboka korwa esukuru ya KERERI GIRLS amo na Dr. Andrew Rasugu Riechi korwa UON ngosanga bare obuya amo no oboremeru bore ase omoroberio oyo.,ENG-EKE
127919,"He said, “To you it is given to know the mysteries of God’s Kingdom, but to the rest it is given in parables, that ‘seeing they may not see, and hearing they may not understand.’","Agateeba, “Inwe mwaeirwe komanya obobisi bw’oborwoti bwa Nyasae; korende abande nabateebigwe ase emereng’anio, erinde okong’ereria bariingererie, korende tibarora, naende ogotegerera bategerere, korende tibaigwa.",Trilingual-Bible
105171,"You shall offer no strange incense on it, nor burnt offering, nor meal offering; and you shall pour no drink offering on it.","Timobaisa gosamba ubani eye etachikiri, gose ekeng’wanso ki’ogosambwa, gose okoruegwa kw’endagera, gose timobaisa koumora okoruegwa gw’ekenyugwa igoro yaye.",Trilingual-Bible
115030,Malchijah the son of Harim and Hasshub the son of Pahathmoab repaired another portion and the tower of the furnaces.,"Malikia, mosinto o Harimu, na Hasubu, mosinto o Pahati-Moabu, bakaagacha ensemo ende; boigo bakaagacha Omorobiri bw’eriko.",Trilingual-Bible
145300,Let us end here.,"Magokoro nigo antebetie buna Abagusii abakoro mbanchete korwa amasikani gochia ase abanto abanene. Aaiga, magokoro nigo abetebetie buna Ekegusii eke nigo kiarenge gokorwa ase okwoorokia amasikani gochia ase omogaka bw' omochie.",ENG-EKE
120361,"How the faithful city has become a prostitute! She was full of justice. Righteousness lodged in her, but now there are murderers.","Omochie oyio orenge omwegenwa obeire buna omokungu omotayayi. Agwo kare nigo orenge konacha ebiina bia boronge, na oboronge nigo bwarenge ime yaye, korende bono abanto baye babeire abaiti.",Trilingual-Bible
106685,"On the fourteenth day of this month, at evening, you shall keep it in its appointed season. You shall keep it according to all its statutes and according to all its ordinances.”","Ase rituko ria ikomi na kane ri’omotienyi oyo, chinsa chia mogoroba, ’namorende rituko erio ase engaki echiikire koreng’ana n’emeroberio eria yachigetwe.”",Trilingual-Bible
108891,"Moses swore on that day, saying, ‘Surely the land where you walked shall be an inheritance to you and to your children forever, because you have wholly followed Yahweh my God.’","Rituko riria Musa akandiera eira na gotiana, agateeba: Ekeene, ense eyio amagoro ao atachete nigo erabe omwando oo, na oyo bw’ororeria rwao botambe, ekiagera kwaigwerete Omonene, Nyasae one.",Trilingual-Bible
107707,But you who were faithful to Yahweh your God are all alive today.,"Korende inwe abamwabete abegenwa ase Omonene Nyasae oino, kera oyomo oino moy’are goika reero iga.",Trilingual-Bible
107181,"Israel joined himself to Baal Peor, and Yahweh’s anger burned against Israel.","Abaisraeli bakabwatana n’enyasae yarenge korokwa Baali‐Peori, bakayesasiima. Omonene akaba n’endamwamu enene ase bare.",Trilingual-Bible
102596,KUCCPS opens final course change window – switch degree before servers crash!,"Ekeombe keria ekenene getenerete korangeria abana gochia eyunifasiti KUCCPS kiagoire omoroberio bwomoerio, soa omoroberio bwedigiri nyuma eintaneti etaraengerwa!",PSA
113447,"Of the children of Issachar, men who had understanding of the times, to know what Israel ought to do, their heads were two hundred; and all their brothers were at their command.","Korwa ase Abaisakaru: abanto abang’aini abamanyi ebimanyererio bie chingaki, bamanyete egento Abaisraeli bagwenerete gokora, abateneneri amagana abere (200), amo nabamwabo abarenge inse ase obochiki bwabo.",Trilingual-Bible
110558,There was a man in Maon whose possessions were in Carmel; and the man was very great. He had three thousand sheep and a thousand goats; and he was shearing his sheep in Carmel.,Nareenge omonto oyomo korwa Maoni obwate amaicho aye agwo Karimeli. Ere nigo areenge omonda mono; nabwate ching’ondi chilifu isato ne chimbori elifu eyemo. Igo areenge koba okonacha ching’ondi chiaye amarionya agwo Karimeli.,Trilingual-Bible
108667,"The young men who were spies went in, and brought out Rahab with her father, her mother, her brothers, and all that she had. They also brought out all of her relatives, and they set them outside of the camp of Israel.","Erio abamura baria chirooti bakageenda, bagasokia Rahabu, na ise, na ng’ina, na abana bamwabo, na abanto ba nyomba mwaye, amo neamate yaye yonsi, bakabaa ribaga bamenye ang’e negetwori ki’Abaisraeli.",Trilingual-Bible
114380,"Whenever the chest was brought to the king’s officers by the hand of the Levites, and when they saw that there was much money, the king’s scribe and the chief priest’s officer came and emptied the chest, and took it, and carried it to its place again. Thus they did day by day, and gathered money in abundance.","Engaki ende yonsi esanduki eria yare korentwa n’Abalawi ase abanto baria omorwoti achorete, na ekero barabwo baare korora ng’a chitaabu chiabeire chinyinge, omoriki bw’omorwoti na omosomba bw’Omokuani bw’omonene nigo baare gocha barusia chitaabu echio. Magega y’ayio bairania esanduki eria aase aye. Bakaba bagokora igo rituko ase rituko bagasangereria chitaabu chinyinge.",Trilingual-Bible
146454,Luke 24:25-27,Luka 24:25-27,ENG-EKE
118391,"Hungry and thirsty, their soul fainted in them.",Nigo babete n’enchara amo n’erang’o goika bakerusia moyo.,Trilingual-Bible
100252,"By 5 months ago DIG Lagat warns officers to desist from corruption Days after prisoners escaped from lawful custody at a court in Siaya, Deputy Inspector General Eliud Lagat toured the county and urged officers to maintain professionalism and teamwork.","Emetienyi etano yaetire, omorai omonene bwasikari Lagat okureire abakoreri gotiba obokorekanu chingaki abasibwa baminchoretie korwa korwa ekoti aaria, Omorai omoke bwomorai omonene bwa abasikari omochenero Eliud Lagat natarerete ekaonti eyio na gosaba abasikari babwaterere obokoreri bwabo buna eganeirie a ase okobwaterana.",PSA
100871,Develop a clear business plan for your irrigation or dairy unit. Learn the essential components and how it helps in securing finance.,Rosia omoreberio omuya bwoboonchoreria bwoboremi bwao as ogosiarera amache gose omoremi bwechiombe chia amabere. Egera igor yechinsemo chibwenerete chiragokonye ase okonyora eroni yoboremi,PSA
129182,"But if I do them, though you don’t believe me, believe the works, that you may know and believe that the Father is in me, and I in the Father.”","Korende konda yekore, nonya timonyegeneti inche, egene emeremo eria, monyare komanya na kwegena ng’a Tata nigo are ime yane, na inche ime ase Tata.”",Trilingual-Bible
138976,"it is alleged that this matter has escalated and they are trying to hide evidence related to the case in Esani area, and some people have reported to the authorities that they know something about it.",nigo egotebekana eriomoerio arochekanete okonyua echanga ase enyomba eyemoo ykoonia echangaa as ekenyoro giea Esani ase bono baoririe eserekari gosoa gati erio komanya ekiamoitete.,ENG-EKE
111135,The king and all the people who were with him arrived weary; and he refreshed himself there.,Omorwoti na abanto baye bonsi konya barosire ekero baigete aase gete. Ase igo bakaba bagotimokera aroro.,Trilingual-Bible
126086,"Now the names of the twelve apostles are these. The first, Simon, who is called Peter; Andrew, his brother; James the son of Zebedee; John, his brother;","Na amarieta abotomwa baria ikomi na babere naro aya: Oyo bw’eritang’ani, Simioni, oyio ore korokwa naende Petero, na Anderea momura omwabo; Yakobo, omwana o Zebedi na Yohana momura omwabo;",Trilingual-Bible
142467,"7. Who, being in very human form, humbled himself by becoming obedient to death—even death on a cross!","Inche nimbeke obobisa ase egati yao na omokungu oyo, na ase egati y’oroiboro rwao na oroiboro narogosenyente omotwe oo, na aye nomorome egetingiro kiaye",ENG-EKE
101794,Kenya's Push To Promote Traditional Food Is Good For Nutrition And Cultural Heritage,Erango yogosegeta chindagera chia abakoro mbuya na koererani egekoro,PSA
136982,"The merchants of the country heard of their fame, and took silver and gold in large quantities, and fetters, and came into the camp to take the children of Israel for slaves. Forces of Syria and of the land of the Philistines joined with them.","Abaonchoreria benseemo eyio, abwo bang’usetwe n’amang’ana banyoorete kobwatekana na abarwani esegi abwo bakabogoria chitaabu chi’etaabu chinyinge amo nemenyororo bakagenda ase ekambi erio babaire Abaisraeli bachie koba abasomba baabo. Ebiombe bi’abarwani esegi bia Siria na Filisiti boigo bigaacha kobwatana na abarwani abwo.",ENG-EKE
138455,"“Now therefore, our God, listen to the prayer of your servant, and to his petitions, and cause your face to shine on your sanctuary that is desolate, for the Lord’s sake.","Ase ayio bono, aye Nyasae oito, igwa ogosaba kwane inche omosomba oo, na ogosorora kwane, na ase engencho yao aye Omonene oraberie Obomenyo bwao Obochenu ase obosio bwao, Obomenyo obwo bore rituuri.",ENG-EKE
142718,Luke 16:25,Abaefeso 5:23-24,ENG-EKE
146550,He will baptize you with the Holy Spirit and fire.,"Inche as'amache nkobatisera as'engecho y'ogoonchoka: korende ere orache nyuma yane nare nechinguru kombua, ntagwenere koimokeria ebikoroto biaye; nere orabatise n'Omoika Omochenu, nomorero.",ENG-EKE
141808,"Omoriki and Edwin Okong'o, the son of Mache Ng'umbu.","Omoriki ne Edwin bw’ Okong’o, Omwana Oito o Mache Ng’umbu",ENG-EKE
140708,"5. Regarding dreams: If someone has a dream and interprets it correctly, then it is believed that the dream is true and will come to pass.",5. Endoto embe: Oise korota omonto orwarete buna ogwenire na konora nigo egotebekana ng'a endoto eye n' embe na nigo oyo arakwe.,ENG-EKE
141572,"However, in ancient times, the Gusii people had many different ways of life but they always united to solve problems. Elder Onkundi says that because of tribal conflicts, things often deteriorated leading to chaos in Manga. People would travel far and wide spreading rumors causing anxiety.","Buna ebisaku binde, Abagusii nigo bare gosuma amarieta goeta goeta kobwatekana buna barenge goetanana ase okonganya. Omogaka Onkundi nigo agoteba inga engaki ya botuko, nabo emerero yare kororekana egwoka ase chinsana chie E Manga. Nigo abanto bare kogenda maambia korotota banyora inga kende tikeyieti.",ENG-EKE
108330,"Yahweh will make the rain of your land powder and dust. It will come down on you from the sky, until you are destroyed.","Ribaga ri’embura egotwa ase riroba riaino, Omonene narente ebuse na omokenye bibatwere korwa igoro na kobasiria kegima.",Trilingual-Bible
