English,Domain
"Markets such as Marigat, Loruk, Sibilio, and Kokwatoto reported higher prices, ranging between Ksh 30,000 and Ksh 35,000 for healthy, medium-sized cattle.",Disaster
"In contrast, markets like Kamurio, Nginyang, Chepngeret, and Ngoron recorded lower prices, averaging between Ksh 10,500 and Ksh 17,000, largely due to insecurity or their inaccessibility to external traders.",Disaster
"Despite the decrease, the retail prices compared to the three-year short-term average, is 64 percent higher for the same time of year. (Figure 9).",Disaster
"Unlike cattle prices, goat prices recorded a slight decrease compared to the previous month's average.",Disaster
"The current average retail price stands at Ksh 4,489, down from Ksh 4,604 recorded last month.",Disaster
numbers were limited due to households preferring to sell them at a younger age to meet basic needs.,Disaster
"Compared to the short-term three-year average, the current goat price is 48 percent higher for the same period. (Figure 10).",Disaster
"Maize market prices have continued to rise gradually, impacting the cost of maize flour, a staple food for many households in the county.",Disaster
kilogram retailed at Ksh 90.,Disaster
"varying prices, ranging from Ksh 50 to Ksh 75 per kilogram.",Disaster
"2024), the current maize price remains five percent lower for this time of year.",Disaster
"Prices are expected to continue rising as household stocks diminish until the next harvest season, anticipated around August 2025.",Disaster
"The average price of beans remained relatively stable, recorded at Ksh 176.7 per kilogram compared to Ksh 175.6 the previous month.",Disaster
"Most sampled markets reported prices ranging between Ksh 180 and Ksh 200 per kilogram, while Marigat had the lowest price at Ksh 140 per kilogram.",Disaster
"average (STA), the current price is 10 percent higher than the three-year average for the same period (Figure 13).",Disaster
"3 Terms of Trade Households in pastoral and parts of Agro-pastoral livelihood zones primarily rely on livestock sales, especially goats, to meet basic needs such as food, clothing, and school fees.",Disaster
"Goat-to-maize terms of trade remained above average, supported by strong goat prices in local markets.",Disaster
The income obtained by selling one goat could purchase approximately 66 kilograms of maize in the market.,Disaster
"This favorable exchange rate benefits pastoral households, as it ensures that selling a single goat can significantly support their food needs, assuming all proceeds are spent on maize.",Disaster
"kilograms due to lower maize prices; agro-pastoral households averaged 66 kilograms, while pastoral households averaged 63 kilograms.",Disaster
"condition of livestock and the ongoing calving of cows, camels, and kidding of goats.",Disaster
"Overall, the reported average was 60% higher than the long-term seasonal average.as shown (Figure 15).",Disaster
"Programme's Vulnerability Analysis & Mapping defines the Food Consumption Score (FCS) as a composite measure that reflects dietary diversity, food frequency, and the nutritional value of various food groups, based on a seven-day recall of household food consumption.",Disaster
"Overall, most households recorded either borderline or acceptable food consumption patterns.",Disaster
"Borderline consumption, characterized by daily intake of staples and vegetables with occasional consumption of oil and pulses, was observed in 54.3% of households.",Disaster
"Meanwhile, 39.4% of households exhibited acceptable consumption, which includes daily staples and vegetables along with regular intake of meat or dairy products.",Disaster
"Pastoral livelihood zones, approximately 7.1% of households had poor food consumption, meaning they relied primarily on staples and vegetables with little to no access to protein-rich foods like meat and dairy.",Disaster
"with access to variety of protein rich food such as eggs, milk and fish from Lake Baringo.",Disaster
"related stresses, and limited access to essential services.",Disaster
were particularly noted in the Pastoral and Agro-Pastoral livelihood zones.,Disaster
"Circumference (MUAC), stood at 22.6% in April.",Disaster
"Most households in Pastoral and Agro-Pastoral areas reported consuming only 1–2 meals per day, which falls short of the recommended 3–4 meals.",Disaster
"Hotspot areas for malnutrition included Akoret, Komolion, Ribko, and Orus, all within pastoral zones.",Disaster
The current proportion of children at risk is 53% higher than the long-term average for the same period. (Figure 16).,Disaster
No human diseases outbreak that was reported during the period under review.,Disaster
"There were reports that children have suffered illness which are either diarrhea, fever with difficulty in breathing or fever with chills like malaria.",Disaster
4 Coping Strategies 5.4.1 Coping Strategy Index Households facing acute food shortages adopted various coping strategies to meet their immediate food needs.,Disaster
Common approaches included relying on less preferred or cheaper foods and cutting back on non-food expenditures.,Disaster
"A small number of households, especially those near urban centers, turned to charcoal burning as a way to cope.",Disaster
"The Coping Strategy Index (CSI), which measures how often households resort to harmful strategies when they lack sufficient food or money, recorded a mean score of 12.11 in April — a slight decrease from 13.16 in March 2025.",Disaster
"Overall, 53.3% of households engaged in stress-level coping strategies such as borrowing money or using up their savings.",Disaster
"Another 30.7% adopted crisis-level strategies, like selling productive assets, while 15.9% reported not employing any food-related coping measures.",Disaster
"CSI scores varied by livelihood zone, averaging 15.1 in Pastoral areas, 9.8 in Agro-Pastoral zones, and 3 in Irrigated Cropping zones. (Figure 18).",Disaster
distribution of specialized nutrition commodities7.6MT- RUSF.,Disaster
Road banditry has been rampant along the Marigat to Chemolingot road.,Disaster
vehicles were attacked claiming human lives and several injuries.,Disaster
The incidences had negative impact to Nginyang Market operations which is the key market for livestock and food stuffs in the Pastoral livelihood zone.,Disaster
"Banditry makes it dangerous for traders and transporters to travel, leading to delays, reduced supplies, and higher prices for goods.",Disaster
"April 2025 rainfall outlook shows that counties within the Lake Victoria Basin (Siaya, Kisumu, Homa Bay, Migori, Busia, Highlands West of the Rift Valley (Bungoma, Kisii, Nyamira, Bomet, Nandi, Kakamega, Vihiga, West Pokot, Elgeyo Marakwet, Trans Nzoia and Uasin Gishu), Central and South Rift Valley (Baringo, Nakuru, Narok and Western parts of Laikipia County): The total amounts of rainfall expected are likely to be near to above average.",Disaster
Occasional storms are also likely to be experienced.,Disaster
activities through the month of May 2025.,Disaster
above average rainfall in the month of May 2025.,Disaster
and central during the peak of the rains.,Disaster
trigger more Agricultural labor-based activities in the irrigated farms.,Disaster
markets for food through end of June 2025.,Disaster
8.0 RECOMMENDATIONS 8.1.0 Proposed Recommendations 8.1.1.,Disaster
harvesting and storage techniques.,Disaster
"such as rivers, Lake and dams.",Disaster
"malnutrition, including inpatient and outpatient care.",Disaster
"women, for malnutrition using anthropometric measurements and intensifying support for integrated medical outreaches in hotspot areas.",Disaster
Promote community rangeland management practices in terms of pasture conservation through rotational/deferred grazing systems.,Disaster
Support farmers with extension services across the crop growing zones.,Disaster
Baringo and those in landslide high risk areas.,Disaster
Situation & EW Phase Classification Biophysical Indicators Rainfall The county received insignificant rainfall during the month of November.,Disaster
⚫ The vegetation condition Index (VCI-3Month) recorded during the month under review was 28.64 compared 34 of the previous month.,Disaster
⚫ The VCI indicated severe vegetation deficit across the County.,Disaster
⚫ Forage condition was poor in all livelihood zones.,Disaster
Socio-Economic Indicators (Impact Indicators) Production Indicators Livestock body condition was poor.,Disaster
Livestock diseases were reported.,Disaster
Milk production was below normal ranges.,Disaster
Terms of trade were below normal ranges.,Disaster
Household water distances were below normal.,Disaster
Livestock watering distance were above the normal ranges.,Disaster
Water consumption was below the normal range.,Disaster
Malnutrition cases are on upsurge compared to the normal ranges.,Disaster
Strategy was above normal ranges.,Disaster
Households with acceptable food consumption category recorded below the normal range.,Disaster
Households within the borderline have decreased.,Disaster
Households within the poor category have increased.,Disaster
And acceptable also decreased.,Disaster
Kiliwaheri sub-counties with very little impact on livestock and crop production.,Disaster
"term average of 52.7 mm, as shown in Figure 1.",Disaster
to concentrated livestock migration into those areas.,Disaster
vegetation health and density.,Disaster
indicating sparse and below- normal vegetation conditions.,Disaster
rainfall and drought episodes.,Disaster
as shown in the map in figure 3.,Disaster
communities have long relied on seasonal rains to sustain their livestock.,Disaster
"areas that received little rainfall, signaling a deepening crisis for livestock-dependent families.",Disaster
"increased livestock deaths, lower milk production, and falling market prices for weak and underfed animals.",Disaster
with dwindling incomes and few options.,Disaster
out their herds completely.,Disaster
"management, water harvesting techniques, and drought-resistant fodder programs, many families may be forced to abandon their traditional way of life altogether.",Disaster
limited number of water sources to meet both domestic and livestock needs.,Disaster
cent of total water use across all livelihood zones.,Disaster
population during the drought period.,Disaster
"overstretched, resulting in frequent breakdowns.",Disaster
"affected, with over 186 centers relying on water trucking as their main source of water.",Disaster
These available water bowsers cannot adequately serve the ever-increasing number of water trucking sites.,Disaster
"Therefore, the county is currently facing acute water shortages which calls for immediate intervention to avert the situation.",Disaster
boreholes and shallow wells.,Disaster
"irrigated livelihood zones trekked approximately 10 km, 8 km, and 6 km, respectively, to access water.",Disaster
distance is at par with normal short-term averages as shown in the figure above.,Disaster
"Water consumption was estimated at 7–10 litres, varying according to the type and reliability of the water source accessed.",Disaster
"the month of November as compared to month of October that recorded 16.4km, indicating a notable rise.",Disaster
"providing ample forage expected to last for the next few months, the increased trekking distance suggests other influencing factors at play.",Disaster
up or became less accessible due to environmental changes or human activities.,Disaster
"competition for water resources among different livestock herds or wildlife, forcing the animals to travel further to find less crowded or unexploited water sources.",Disaster
normal for this time of the year.,Disaster
The current average trekking distances are higher than the long-term averages.,Disaster
"increase compared to the previous month and remained the dominant source of income, accounting for 56 per cent in November, as the county continues to experience an alarm phase of the drought cycle some of the pastoralist resort to earn through casual labour in order to purchase livestock feeds.",Disaster
"products indicates slight increase compared to the preceding month, while income from trade remained stable.",Disaster
"1,600 in the previous month.",Disaster
3.1.0 Livestock Migration Patterns Outward livestock migration to parts of Wajir County and neighboring Country (Ethiopia) was reported.,Disaster
There is also internal migration within the sub-counties.,Disaster
pastoral Livelihood zones recorded significant cases of fair livestock body conditions.,Disaster
3.1.2 Livestock death and Diseases There were reported cases of livestock mortalities due to drought and diseases during the month.,Disaster
following livestock deaths were reported; 55 Cattle and 815 shoats (goats and sheep) across the county.,Disaster
"Sheep), Sheep & Goat pox and trypanosomiasis.",Disaster
by 30 per cent compared to the previous month.,Disaster
sampled sentinel sites reported milk production during the period.,Disaster
"The community primarily cultivates maize, simsim, sorghum, millet, and cowpeas.",Disaster
Few farmers are currently engaged in land preparation activities despite the delayed onset of the OND rains.,Disaster
"Irrigated cropping zone, The main crop grown are; Maize, cow peas, sunflower, Simsim, onions, tomatoes and watermelon.",Disaster
"Maize crop is in different stages of germination; Knee height, above knee height and others are at flowering stages in irrigated cropping zones.",Disaster
as fodder for livestock which resulted in reduced crop production.,Disaster
"25,200 compared to KES 26,250 in the previous month.",Disaster
decline further in the coming weeks if the ongoing dry conditions persist.,Disaster
livestock body condition.,Disaster
attributed to poor body condition as a resuly of severe vegetation deficit.,Disaster
"Rhamu market at Kes 2,400.",Disaster
"The average Camel prices for month was Kes 29,700, a drop from Kes 36,000 in the previous month.",Disaster
translates to 17 per cent lower compared to the previous month.,Disaster
price for the reporting month is attributed to poor body condition.,Disaster
"recorded Kes 50,000 at Mandera market and the lowest recorded Kes 20,000 at Elwak market.",Disaster
averages and below the previous year's averages.,Disaster
"Lafey market recorded the lowest price at Kes 2,500.",Disaster
expected to decrease in the next few weeks due to pasture depletion and decline in body condition.,Disaster
markets raise prices and change market dynamics across livelihood zones.,Disaster
"across different markets, Banisa recorded the highest price at Kes 150 and Dandu market recorded the lowest price at Kes 120, thus prices follow seasonal trends.",Disaster
The maize prices are likely to remain above average in the coming months as farmers use it as livestock feeds.,Disaster
to the previous month of October.,Disaster
decreased by 25 per cent in comparison to the previous month.,Disaster
production and high prices in Maize at different markets.,Disaster
highest terms of trade at 48 while the lowest recorded 25 in Mandera North sub county.,Disaster
"(ToT) are below the LTA, the upper limit year, lower limit and the previous year's averages.",Disaster
⚫ The average market price for a Kilogram of beans has decreased by five per cent compared to the previous month of October.,Disaster
⚫ The current beans price was below the STA by 28 per cent.,Disaster
⚫ The high price was attributed to high demand for the commodity in the sampled markets.,Disaster
⚫ Unstable and external source of supply for the commodity also forced households to rely on local markets and retail shops.,Disaster
⚫ The price of beans was constant in all markets across the county.,Disaster
⚫ Beans price usually skyrocket during the drier periods as its mostly used by pastoral communities.,Disaster
below the long-term averages.,Disaster
households in the sampled sentinel sites reported milk consumption during the month.,Disaster
recorded in pastoral livelihood zones.,Disaster
consumption is attributed to forage conditions which are deteriorating.,Disaster
"livelihood zones, an increase in poor food consumption was noted during the month suggesting that the food security situation is currently fragile.",Disaster
"acceptable FC has also reduced, signalling unstable food insecurity county wide.",Disaster
percentage of household with poor food consumptions are increasing while those with acceptable food consumption are reducing.,Disaster
"cent above the long-term average, as illustrated in Figure 18.",Disaster
Index (rCSI) tells a concerning story.,Disaster
indicating a stressful food security situation.,Disaster
employing coping strategies like reducing meal sizes or skipping meals altogether.,Disaster
"Households are struggling even more to access food, relying more heavily on negative coping mechanisms.",Disaster
"situation, potentially due to seasonal fluctuations, economic challenges, or other stressors.",Disaster
growing food insecurity concerns.,Disaster
"Orphans and Vulnerable Children (OVC), and Older Persons Cash Transfer (OPCT) programmes each received an average of Kes 2000.",Disaster
"6.2 FOOD AID: The County government of Mandera distributed food rations to 16,500 vulnerable households, mainly in urban centers.",Disaster
The Ministry of Interior and National Administration distributed 600 bags or rice 520 beans in mandera East.,Disaster
across the County during the month of November 2025.,Disaster
"Outward livestock migration was reported, especially towards Wajir North and neighboring Country of Ethiopia.",Disaster
There is also internal migration within the sub-counties of Mandera.,Disaster
likelihood of below-average rainfall in Mandera County.,Disaster
"The rains are expected to be occasional, poorly distributed both time and space.",Disaster
Temperatures are also forecasted to be higher than normal.,Disaster
Water availability for both livestock and domestic use is declining and is likely to worsen.,Disaster
expected to result in minimal regeneration.,Disaster
"The livestock body condition for all species is expected to decline further, due to poor pasture regeneration.",Disaster
"Maize prices are projected to rise, while goat prices may decline as market supply increases.",Disaster
Resource-based conflicts are expected to arise due to high concentration at grazing areas and water points.,Disaster
3 (Crisis) with the number of food insecure households requiring external assistance expected to increase across the county.,Disaster
boreholes across the County.,Disaster
5000 DRC and County Government.,Disaster
Upscaling of Water Trucking across the County.,Disaster
Situation & EW Phase Classification Biophysical Indicators Rainfall: The county received 135 percent of the normal rainfall.,Disaster
"Conditions were largely dry, with only light off-season showers.",Disaster
"Vegetation Condition: The VCI stood at 48.1, which is within the normal range of 35–50, though some wards reported pockets of deficit.",Disaster
"NDVI anomaly was 116% of the long-term average, showing above-normal vegetation greenness.",Disaster
"Water Sources: Water sources were stable with levels between 2–4, which is normal.",Disaster
"However, surface water has begun declining as the dry spell progresses.",Disaster
"Socio-Economic Indicators (Impact Indicators) Production Indicators: Most livestock species had body condition scores between 3 and 5 (fair to good), which is the normal range.",Disaster
"Households produced an average of 2.4 litres of milk per day, which is above the normal threshold of 1.8 litres.",Disaster
"Livestock migration patterns remained normal, with minimal migration along traditional routes.",Disaster
"Despite normal body condition, disease outbreaks were reported, including PPR in North Horr and Laisamis, Rabies in Moyale and Saku, abortions from Brucellosis/CCPP, and camel hemorrhagic septicemia and flu.",Disaster
"Harvesting of maize, beans, and cowpeas/green grams was ongoing, but farmers reported pest infestations such as aphids, whiteflies, cutworms, and diamondback moths.",Disaster
"Access Indicators: The ToT stood at 102.7, well above the normal threshold of 78.9, showing favourable exchange terms for pastoral households.",Disaster
"Households consumed an average of 1.2 litres per day, which is less than the normal milk threshold of above 1.2 litres.",Disaster
"Household return distance to water was 7.2 km (normal range 0–7.9 km), and livestock trekking distances were 15.4 km (normal <15.7 km).",Disaster
Utilization Indicators: 22.1% of children under five were at risk of malnutrition which is above the normal threshold of 0–17.3%.,Disaster
"The Reduced Coping Strategy Index (rCSI) was 19.5, higher than the normal threshold (<18), showing that households increasingly relied on crisis-level coping strategies.",Disaster
"The Food Consumption Score (FCS) was 33.4, below the normal threshold (>35).",Disaster
This indicates borderline consumption and IPC Phase 3 (crisis-level outcomes).,Disaster
"Households remained in crisis-level coping, with reduced food intake and dietary diversity, reflecting persistent food insecurity.",Disaster
"when compared to the long-term average over the first 2 dekads, indicating above normal precipitation ranges for the period.",Disaster
"This was coupled with a cold month, featuring notable periods of dewy mornings and cloudy daytime periods across the County.",Disaster
"The highland areas of Saku, Moyale, Hurri Hills, Mt.",Disaster
"Kulal, and the central areas of North Horr, Dukana, Kalacha, Maikona, Kargi, and Korr received at least one day of moderate to light showers.",Disaster
"greenness of 116 percent, coinciding with the normal range for the period.",Disaster
"NDVI values ranged from normal to above historical averages across the three dekads of the month under review, reflecting enhanced vegetative cover likely attributed to above-normal seasonal rainfall observed earlier in the long rains season.",Disaster
severe vegetation deficit.,Disaster
"Dukana, Turbi, Uran, and Obbu show mostly normal to above-normal vegetation greenness, suggesting relatively better vegetation conditions.",Disaster
"Illeret, Butiye, and Golbo present patches of moderate vegetation deficit alongside areas of greenness.",Disaster
"The southern wards, particularly Laisamis and Korr, display pockets of severe and extreme deficits, though some zones still maintain normal vegetation greenness.",Disaster
"By and large, the north-eastern and northern wards are relatively better off, while the central and western wards, especially around North Horr and Kargi, are the most adversely affected by vegetation stress.",Disaster
"significant decline over the first two dekad, with pasture at 36 percent good and 64 percent fair, compared to the previous month at 46 percent good for pasture and 54 percent fair for browse across all livelihood zones.",Disaster
This is attributed to the decline in precipitation levels across all livelihood zones.,Disaster
as a result of the harvesting at farms.,Disaster
"The current vegetation biomass can sustain the livestock until the next season, given the positive effect of the above normal MAM rains received, coupled with the effect of the still below normal tropical livestock units (TLUs).",Disaster
"species including acacia reficiens and woodland covering about a total of 35,000 hectares.",Disaster
respectively in Laisamis sub-county.,Disaster
"In Saku subcounty, invasive weed/plant species include Capparis tomentosa, Solanum incanum, and Lantana camara.",Disaster
"Prosopis menace is also dangerously spreading in areas of Bori, Moyale sub County hence posing much threats.",Disaster
percent good and 76 percent fair).,Disaster
This is a significant decline compared to the previous period's 39 percent good and 61 percent fair.,Disaster
"This is attributable to the ongoing dry spell, which is normal at this time of the year.",Disaster
Browse conditions are expected to maintain at above normal in browse quality and quantity across most parts of the County in the short term.,Disaster
next rainy season expected in October.,Disaster
is a slight increase in the use of surface water sources and a stable usage of ground/subsurface water sources.,Disaster
"In terms of usage, boreholes lead at 38 percent (stable compared to previous), followed by pans and dams at 21 percent (same as previous), Shallow wells at 19 percent (a light increase from 16 percent), rivers at 7 percent (a slight increase from 4 percent) and Traditional river wells and springs at 5 and 8 percent respectively.",Disaster
"Water availability is steady throughout the entire county after the above- normal MAM rainy season, which went better than expected.",Disaster
"However, the amount of surface water has decreased as a result of the prevailing dry conditions.",Disaster
"During the period under review, this is typical.",Disaster
as recorded during the previous month.,Disaster
"This was largely attributed to the prevailing dry conditions and precipitation deficit, which has resulted in drying up/ diminishing surface water sources across all livelihood zones.",Disaster
The per capita water consumption levels of 15-20 liters per day are prevalent across all livelihood zones on average.,Disaster
"Areas of Merille and Laisamis recorded the highest decrease in distances to water sources, coinciding with the minimal rains received during the MAM rains season.",Disaster
Water shortages persisted in areas with perennial water problems such as Kambinye and Gas.,Disaster
"Other areas recording above normal distances are Saku: Karare, Boru Haro, Moyale: Laaqi, Lataka, Dabel, Watiti, Antut, Dadach Lakole, Oga, Guyo Timo, Ambalo, Malbe-Bali, Laisamis: Gudas, Thurusi, Ririma, Farakoren, Arge, Ilmoti, Balaah, Korr, Namarei, North Horr: Tigo, Burgabo, Bubisa, El Boji, Did Gola.",Disaster
The waiting times at water sources remained stable over the reporting period.,Disaster
is expected to increase in September.,Disaster
"The waiting time ranges between 25-40 minutes in agro- pastoral zones, compared to the usual 30-45 minutes.",Disaster
"In pastoral zones, the average wait time is 30-60 minutes, which is the normal for the current period.",Disaster
"period, which has slightly boosted water availability in the areas of Sagante in Saku, Kargi and Korr in Laisamis, Maikona, Kalcha, Qorqa and Dukana in North Horr and Moyale township among other few areas.",Disaster
water points has slightly increased from 13.7 in July to 15.4 during the reporting period.,Disaster
This distance remains within acceptable ranges relative to the normal grazing distance of 15.7 km for the period.,Disaster
"Some of the areas with reported notable increase in livestock distance to water sources are Merille, Lontolio, Ndikir, Dhemo, Ididho, Ambalo and Badanrero, attributable to livestock migration to dry season grazing areas and dysfunctional water sources.",Disaster
the normal one-day interval.,Disaster
"Camels are watered every 5-7 days, which is below the typical 7- 10 days, while sheep and goats are watered every 2 days, which is normal.",Disaster
normal vegetation conditions and water availability across the livelihood zones compounded with below normal TLUs.,Disaster
"Livestock watering intervals remain stable, albeit with a slight increasing trend as the dry spell persists.",Disaster
good across all livelihood zones.,Disaster
"This favorable situation is mostly due to the above-normal MAM rainfall season and comparatively low tropical livestock units, which reduce the strain on the available grazing resources.",Disaster
"However, there was notable decline in milk availability at the household level as livestock moved to dry season grazing zones.",Disaster
"exist, including livestock diseases, a shortage of breeding stock, and growing distances to water sources in certain regions.",Disaster
"from fair (BCS 3) to good (BCS 5), which is normal for the period.",Disaster
The body condition of both small stock and large stock is generally very fair to good and stable compared to the previous month.,Disaster
"However, isolated cases of poor to fair body condition persist, mainly as a result of incidences of disease prevalence.",Disaster
"period, supported by consistent access to water and sufficient grazing resources.",Disaster
This long-term improvement is anticipated to maintain acceptable levels of household milk production and maintain good prices in key livestock markets.,Disaster
led by the general availability of grazing resources.,Disaster
"Notable intra migration cases were noted across Laisamis and North Horr Sub-Counties, towards dry season grazing areas such as Kom (Laisamis) and Dosawachu, Kambi Nyoka and Idhidho (North Horr).",Disaster
"In most areas, livestock remained in their traditional grazing zones.",Disaster
The livestock grazing distance is likely to increase as the dry spell prevails.,Disaster
"compared to good years preceding the prolonged drought periods, although there is significant/ positive change due to the persistently good pasture and browse conditions, resulting in consistent calving, kidding and lambing over the past three seasons.",Disaster
livestock diseases especially at border regions and an increased case of abortions that continued to pose significant challenges to livestock production full recovery.,Disaster
community syndromic surveillance reported a total of 20 livestock disease syndromes across the county affecting all livestock species.,Disaster
"The eight (8) most commonly reported syndromes in all livestock species were; Nasal discharges 17.5%, Discharge from eyes 12.7%, Abortions 11.5%, Skin swellings 11.3%, Difficulty breathing 9.3%, Swollen glands 9.2%, Diarrhoea 7.1% and Wounds on Legs & mouth 6.8%.",Disaster
form (ND1) recorded 8 notifiable livestock diseases.,Disaster
"The four most prevalent ones include Peste des Petit Ruminants (PPR) 23.5%, Brucellosis 15.7%, Contagious Caprine Pleuropneumonia (CCPP) 13.7% and Rabies 9.8%.",Disaster
Sheep 13.5% and Cattle 6.2% indicating a consistently high incidences of diseases of goats and camels over time compared to sheep and cattle.,Disaster
"Considering the above described most common syndromes reported, their frequencies and the species of livestock affected, they seem to be consistency with clinical disease presentations for PPR, CCPP and Brucellosis.",Disaster
Active cases of PPR have been observed particularly in goats across the county.,Disaster
"The presenting symptoms include diarrhoea, bilateral eye discharge, nasal discharges, sores in the mouth, emaciation and death.",Disaster
"Although PPR affects both sheep and goats, severe disease has been observed among goats while the disease in sheep is mild.",Disaster
